forecast_id,corridor_id,forecast_date,forecast_goods_trains,peak_period,confidence_pct
GTF000066,C00028,2025-06-20,4,Peak,79
GTF000067,C00076,2025-06-16,2,Normal,87
GTF000068,C00022,2025-06-27,3,Normal,74
GTF000069,C00015,2025-06-14,3,Peak,86
GTF000070,C00049,2025-06-23,7,Normal,71
GTF000071,C00058,2025-06-19,5,Normal,71
GTF000072,C00039,2025-06-14,4,Normal,73
GTF000073,C00069,2025-06-28,1,Off-Peak,78
GTF000074,C00097,2025-06-07,4,Normal,91
GTF000075,C00065,2025-06-06,4,Off-Peak,92
GTF000076,C00030,2025-06-22,7,Peak,89
GTF000077,C00087,2025-06-18,5,Normal,80
GTF000078,C00096,2025-06-01,5,Normal,72
GTF000079,C00038,2025-06-07,1,Normal,87
GTF000080,C00006,2025-06-28,8,Normal,80
GTF000081,C00030,2025-06-27,6,Normal,89
GTF000082,C00017,2025-06-13,5,Off-Peak,80
GTF000083,C00036,2025-06-30,3,Normal,85
GTF000084,C00059,2025-06-12,4,Off-Peak,73
GTF000085,C00078,2025-06-03,6,Off-Peak,76
GTF000086,C00017,2025-06-28,6,Normal,74
GTF000087,C00008,2025-06-22,3,Peak,84
GTF000088,C00073,2025-06-17,5,Normal,72
GTF000089,C00009,2025-06-23,6,Off-Peak,88
GTF000090,C00100,2025-06-20,5,Off-Peak,74
GTF000091,C00057,2025-06-03,3,Normal,87
GTF000092,C00029,2025-06-14,4,Normal,70
GTF000093,C00047,2025-06-22,5,Normal,81
GTF000094,C00063,2025-06-13,6,Normal,85
GTF000095,C00032,2025-06-28,4,Off-Peak,74
GTF000096,C00003,2025-06-06,4,Normal,93
GTF000097,C00030,2025-06-06,7,Peak,72
GTF000098,C00080,2025-06-19,9,Normal,70
GTF000099,C00068,2025-06-29,4,Normal,71
GTF000100,C00052,2025-06-18,8,Normal,85
GTF000101,C00003,2025-06-02,6,Normal,92
GTF000102,C00089,2025-06-10,3,Normal,84
GTF000103,C00063,2025-06-03,2,Normal,94
GTF000104,C00066,2025-06-04,2,Normal,91
GTF000105,C00092,2025-06-21,4,Off-Peak,87
GTF000106,C00055,2025-06-27,7,Normal,90
GTF000107,C00077,2025-06-07,6,Off-Peak,85
GTF000108,C00068,2025-06-18,6,Normal,80
GTF000109,C00002,2025-06-06,6,Normal,75
GTF000110,C00039,2025-06-17,6,Normal,87
GTF000111,C00083,2025-06-05,5,Off-Peak,82
GTF000112,C00050,2025-06-19,5,Normal,94
GTF000113,C00040,2025-06-23,8,Off-Peak,72
GTF000114,C00090,2025-06-22,4,Normal,75
GTF000115,C00063,2025-06-10,4,Off-Peak,78
GTF000116,C00013,2025-06-29,5,Normal,75
GTF000117,C00079,2025-06-17,5,Normal,91
GTF000118,C00018,2025-06-05,2,Normal,88
GTF000119,C00066,2025-06-17,1,Normal,72
GTF000120,C00027,2025-06-22,4,Peak,87
GTF000121,C00088,2025-06-26,3,Normal,77
GTF000122,C00018,2025-06-23,5,Normal,82
GTF000123,C00011,2025-06-22,3,Peak,88
GTF000124,C00015,2025-06-06,2,Normal,77
GTF000125,C00019,2025-06-05,5,Off-Peak,87
GTF000126,C00036,2025-06-10,6,Peak,76
GTF000127,C00029,2025-06-03,10,Off-Peak,87
GTF000128,C00015,2025-06-26,3,Peak,80
GTF000129,C00082,2025-06-10,3,Peak,74
GTF000130,C00023,2025-06-24,5,Normal,91
GTF000131,C00088,2025-06-08,3,Off-Peak,94
GTF000132,C00062,2025-06-15,5,Normal,76
GTF000133,C00047,2025-06-16,8,Normal,78
GTF000134,C00079,2025-06-29,6,Off-Peak,89
GTF000135,C00043,2025-06-22,6,Normal,87
GTF000136,C00037,2025-06-27,1,Normal,72
GTF000137,C00092,2025-06-03,8,Normal,95
GTF000138,C00034,2025-06-29,1,Normal,87
GTF000139,C00084,2025-06-17,4,Normal,71
GTF000140,C00048,2025-06-16,5,Normal,73
GTF000141,C00039,2025-06-11,6,Normal,87
GTF000142,C00029,2025-06-05,2,Peak,75
GTF000143,C00083,2025-06-22,2,Normal,95
GTF000144,C00014,2025-06-02,2,Off-Peak,70
GTF000145,C00079,2025-06-02,8,Off-Peak,95
GTF000146,C00077,2025-06-20,6,Off-Peak,79
GTF000147,C00021,2025-06-01,4,Normal,70
GTF000148,C00021,2025-06-26,6,Peak,92
GTF000149,C00093,2025-06-08,5,Normal,70
GTF000150,C00066,2025-06-03,4,Normal,73
GTF000151,C00046,2025-06-22,5,Normal,86
GTF000152,C00094,2025-06-28,7,Normal,77
GTF000153,C00091,2025-06-25,3,Normal,79
GTF000154,C00012,2025-06-04,9,Off-Peak,86
GTF000155,C00072,2025-06-01,2,Off-Peak,86
GTF000156,C00058,2025-06-27,4,Normal,72
GTF000157,C00004,2025-06-15,5,Normal,80
GTF000158,C00037,2025-06-01,1,Normal,76
GTF000159,C00047,2025-06-20,9,Normal,94
GTF000160,C00090,2025-06-12,1,Off-Peak,74
GTF000161,C00015,2025-06-06,4,Peak,74
GTF000162,C00092,2025-06-15,7,Off-Peak,91
GTF000163,C00064,2025-06-18,4,Normal,73
GTF000164,C00052,2025-06-02,5,Normal,95
GTF000165,C00034,2025-06-09,8,Peak,84
GTF000166,C00025,2025-06-21,7,Normal,71
GTF000167,C00008,2025-06-04,5,Peak,82
GTF000168,C00041,2025-06-25,9,Peak,84
GTF000169,C00034,2025-06-29,3,Off-Peak,95
GTF000170,C00046,2025-06-20,4,Normal,82
GTF000171,C00043,2025-06-17,5,Peak,81
GTF000172,C00058,2025-06-29,3,Peak,76
GTF000173,C00023,2025-06-18,7,Peak,78
GTF000174,C00016,2025-06-12,5,Normal,73
GTF000175,C00060,2025-06-16,2,Normal,94
GTF000176,C00084,2025-06-24,5,Off-Peak,72
GTF000177,C00064,2025-06-03,6,Normal,91
GTF000178,C00068,2025-06-07,4,Normal,71
GTF000179,C00017,2025-06-16,4,Normal,89
GTF000180,C00025,2025-06-28,5,Off-Peak,82
GTF000181,C00013,2025-06-27,5,Normal,92
GTF000182,C00011,2025-06-01,3,Normal,79
GTF000183,C00090,2025-06-17,10,Off-Peak,74
GTF000184,C00008,2025-06-12,4,Peak,85
GTF000185,C00051,2025-06-16,3,Normal,83
GTF000186,C00045,2025-06-09,4,Off-Peak,70
GTF000187,C00075,2025-06-16,4,Peak,74
GTF000188,C00044,2025-06-30,4,Normal,91
GTF000189,C00065,2025-06-07,5,Peak,90
GTF000190,C00059,2025-06-04,2,Normal,72
GTF000191,C00014,2025-06-24,5,Peak,82
GTF000192,C00038,2025-06-16,3,Normal,85
GTF000193,C00085,2025-06-29,7,Off-Peak,94
GTF000194,C00011,2025-06-10,8,Normal,90
GTF000195,C00061,2025-06-10,1,Normal,70
GTF000196,C00008,2025-06-19,13,Peak,89
GTF000197,C00056,2025-06-15,5,Normal,73
GTF000198,C00092,2025-06-17,3,Peak,82
GTF000199,C00091,2025-06-09,4,Off-Peak,92
GTF000200,C00056,2025-06-07,2,Normal,85
GTF000201,C00046,2025-06-03,6,Normal,93
GTF000202,C00010,2025-06-01,3,Normal,73
GTF000203,C00088,2025-06-28,2,Normal,92
GTF000204,C00098,2025-06-03,6,Normal,75
GTF000205,C00050,2025-06-20,8,Off-Peak,82
GTF000206,C00063,2025-06-02,6,Normal,74
GTF000207,C00063,2025-06-12,12,Normal,73
GTF000208,C00008,2025-06-02,3,Normal,78
GTF000209,C00023,2025-06-16,6,Normal,70
GTF000210,C00048,2025-06-25,5,Peak,90
GTF000211,C00035,2025-06-09,8,Normal,90
GTF000212,C00001,2025-06-09,6,Normal,80
GTF000213,C00096,2025-06-16,3,Off-Peak,76
GTF000214,C00018,2025-06-12,4,Peak,76
GTF000215,C00063,2025-06-04,6,Peak,78
GTF000216,C00012,2025-06-25,6,Normal,83
GTF000217,C00074,2025-06-30,5,Off-Peak,77
GTF000218,C00099,2025-06-29,7,Off-Peak,94
GTF000219,C00043,2025-06-05,4,Normal,73
GTF000220,C00018,2025-06-14,4,Peak,73
GTF000221,C00002,2025-06-14,5,Normal,84
GTF000222,C00087,2025-06-07,2,Off-Peak,89
GTF000223,C00065,2025-06-13,6,Normal,91
GTF000224,C00095,2025-06-25,3,Normal,92
GTF000225,C00015,2025-06-06,6,Normal,72
GTF000226,C00079,2025-06-16,7,Peak,94
GTF000227,C00078,2025-06-11,5,Off-Peak,92
GTF000228,C00067,2025-06-18,9,Normal,90
GTF000229,C00019,2025-06-09,6,Normal,91
GTF000230,C00006,2025-06-03,10,Off-Peak,86
GTF000231,C00018,2025-06-24,5,Peak,90
GTF000232,C00088,2025-06-14,5,Peak,79
GTF000233,C00001,2025-06-20,7,Normal,87
GTF000234,C00051,2025-06-12,6,Normal,91
GTF000235,C00098,2025-06-26,3,Off-Peak,72
GTF000236,C00071,2025-06-14,4,Normal,94
GTF000237,C00052,2025-06-01,8,Peak,71
GTF000238,C00056,2025-06-15,8,Normal,94
GTF000239,C00096,2025-06-02,2,Off-Peak,78
GTF000240,C00092,2025-06-07,2,Normal,89
GTF000241,C00079,2025-06-18,10,Off-Peak,75
GTF000242,C00028,2025-06-04,7,Off-Peak,86
GTF000243,C00042,2025-06-16,6,Normal,86
GTF000244,C00085,2025-06-23,8,Peak,89
GTF000245,C00089,2025-06-23,8,Peak,89
GTF000246,C00085,2025-06-10,6,Off-Peak,75
GTF000247,C00005,2025-06-05,4,Peak,75
GTF000248,C00083,2025-06-16,4,Peak,95
GTF000249,C00031,2025-06-08,3,Peak,86
GTF000250,C00044,2025-06-29,6,Normal,71
GTF000251,C00039,2025-06-21,8,Peak,72
GTF000252,C00009,2025-06-10,6,Normal,88
GTF000253,C00049,2025-06-26,4,Normal,72
GTF000254,C00043,2025-06-21,8,Normal,75
GTF000255,C00068,2025-06-05,7,Normal,90
GTF000256,C00035,2025-06-22,6,Normal,79
GTF000257,C00073,2025-06-17,1,Off-Peak,82
GTF000258,C00057,2025-06-15,6,Normal,81
GTF000259,C00058,2025-06-21,8,Peak,71
GTF000260,C00041,2025-06-08,3,Normal,85
GTF000261,C00071,2025-06-09,7,Peak,76
GTF000262,C00062,2025-06-09,3,Off-Peak,77
GTF000263,C00029,2025-06-02,4,Peak,95
GTF000264,C00001,2025-06-13,9,Peak,79
GTF000265,C00024,2025-06-05,3,Normal,73
GTF000266,C00064,2025-06-30,8,Normal,81
GTF000267,C00015,2025-06-23,5,Off-Peak,93
GTF000268,C00045,2025-06-12,3,Off-Peak,72
GTF000269,C00089,2025-06-24,8,Normal,95
GTF000270,C00015,2025-06-30,4,Normal,86
GTF000271,C00018,2025-06-22,4,Peak,89
GTF000272,C00060,2025-06-13,5,Normal,80
GTF000273,C00006,2025-06-09,5,Off-Peak,70
GTF000274,C00055,2025-06-20,1,Off-Peak,80
GTF000275,C00065,2025-06-12,5,Peak,86
GTF000276,C00069,2025-06-21,3,Peak,72
GTF000277,C00033,2025-06-06,4,Normal,85
GTF000278,C00076,2025-06-11,10,Peak,94
GTF000279,C00068,2025-06-11,3,Off-Peak,75
GTF000280,C00063,2025-06-25,4,Normal,79
GTF000281,C00092,2025-06-29,7,Off-Peak,81
GTF000282,C00044,2025-06-10,9,Off-Peak,75
GTF000283,C00017,2025-06-07,3,Normal,84
GTF000284,C00047,2025-06-07,5,Normal,80
GTF000285,C00090,2025-06-05,2,Peak,80
GTF000286,C00015,2025-06-23,3,Peak,71
GTF000287,C00090,2025-06-07,3,Peak,82
GTF000288,C00072,2025-06-02,9,Normal,84
GTF000289,C00078,2025-06-09,4,Peak,77
GTF000290,C00035,2025-06-02,3,Normal,80
GTF000291,C00048,2025-06-20,7,Off-Peak,70
GTF000292,C00089,2025-06-04,1,Normal,70
GTF000293,C00044,2025-06-12,10,Normal,81
GTF000294,C00018,2025-06-27,7,Off-Peak,87
GTF000295,C00031,2025-06-10,3,Normal,77
GTF000296,C00069,2025-06-30,8,Off-Peak,94
GTF000297,C00077,2025-06-22,5,Normal,80
GTF000298,C00044,2025-06-12,3,Normal,72
GTF000299,C00086,2025-06-22,2,Normal,86
GTF000300,C00032,2025-06-12,11,Off-Peak,73
GTF000301,C00071,2025-06-11,4,Normal,82
GTF000302,C00043,2025-06-11,4,Normal,75
GTF000303,C00072,2025-06-15,5,Off-Peak,75
GTF000304,C00054,2025-06-02,5,Normal,73
GTF000305,C00015,2025-06-13,2,Normal,72
GTF000306,C00089,2025-06-05,4,Normal,70
GTF000307,C00027,2025-06-25,10,Off-Peak,83
GTF000308,C00030,2025-06-20,6,Peak,70
GTF000309,C00049,2025-06-13,7,Off-Peak,71
GTF000310,C00052,2025-06-22,4,Peak,81
GTF000311,C00039,2025-06-18,9,Peak,85
GTF000312,C00044,2025-06-12,6,Off-Peak,89
GTF000313,C00056,2025-06-02,10,Peak,75
GTF000314,C00080,2025-06-14,6,Off-Peak,76
GTF000315,C00089,2025-06-28,4,Normal,70
GTF000316,C00068,2025-06-29,5,Off-Peak,76
GTF000317,C00076,2025-06-06,7,Normal,85
GTF000318,C00076,2025-06-09,5,Normal,95
GTF000319,C00051,2025-06-28,5,Peak,85
GTF000320,C00095,2025-06-04,9,Peak,77
GTF000321,C00051,2025-06-18,6,Normal,77
GTF000322,C00052,2025-06-12,4,Off-Peak,73
GTF000323,C00050,2025-06-04,4,Normal,85
GTF000324,C00012,2025-06-08,4,Normal,79
GTF000325,C00018,2025-06-20,6,Off-Peak,87
GTF000326,C00011,2025-06-17,1,Peak,75
GTF000327,C00006,2025-06-21,2,Normal,77
GTF000328,C00035,2025-06-27,5,Normal,72
GTF000329,C00007,2025-06-25,2,Normal,90
GTF000330,C00006,2025-06-04,6,Peak,73
GTF000331,C00059,2025-06-11,4,Peak,88
GTF000332,C00023,2025-06-23,5,Normal,89
GTF000333,C00023,2025-06-09,8,Normal,94
GTF000334,C00040,2025-06-30,5,Off-Peak,77
GTF000335,C00073,2025-06-22,3,Normal,76
GTF000336,C00078,2025-06-02,4,Normal,72
GTF000337,C00031,2025-06-08,2,Normal,71
GTF000338,C00090,2025-06-29,5,Off-Peak,72
GTF000339,C00048,2025-06-11,6,Off-Peak,77
GTF000340,C00068,2025-06-06,6,Off-Peak,79
GTF000341,C00089,2025-06-13,6,Normal,81
GTF000342,C00090,2025-06-13,3,Normal,77
GTF000343,C00009,2025-06-30,5,Off-Peak,76
GTF000344,C00008,2025-06-06,5,Normal,77
GTF000345,C00035,2025-06-30,5,Normal,70
GTF000346,C00090,2025-06-09,4,Normal,76
GTF000347,C00023,2025-06-05,10,Normal,80
GTF000348,C00001,2025-06-22,5,Normal,85
GTF000349,C00015,2025-06-04,10,Normal,80
GTF000350,C00069,2025-06-02,2,Normal,93
GTF000351,C00088,2025-06-27,5,Normal,88
GTF000352,C00068,2025-06-07,5,Normal,74
GTF000353,C00049,2025-06-08,4,Normal,91
GTF000354,C00041,2025-06-23,3,Normal,78
GTF000355,C00006,2025-06-29,2,Off-Peak,94
GTF000356,C00074,2025-06-19,6,Off-Peak,87
GTF000357,C00082,2025-06-27,6,Normal,74
GTF000358,C00071,2025-06-12,9,Normal,79
GTF000359,C00023,2025-06-28,3,Normal,93
GTF000360,C00008,2025-06-18,6,Off-Peak,92
GTF000361,C00027,2025-06-19,4,Peak,84
GTF000362,C00037,2025-06-14,8,Normal,84
GTF000363,C00099,2025-06-01,8,Off-Peak,70
GTF000364,C00078,2025-06-07,6,Normal,79
GTF000365,C00062,2025-06-07,7,Off-Peak,71
GTF000366,C00094,2025-06-03,2,Normal,87
GTF000367,C00049,2025-06-24,5,Normal,73
GTF000368,C00091,2025-06-15,7,Off-Peak,79
GTF000369,C00031,2025-06-01,6,Peak,88
GTF000370,C00014,2025-06-15,4,Normal,95
GTF000371,C00004,2025-06-23,6,Normal,78
GTF000372,C00017,2025-06-13,10,Peak,73
GTF000373,C00022,2025-06-20,5,Normal,85
GTF000374,C00032,2025-06-04,5,Peak,90
GTF000375,C00071,2025-06-27,4,Normal,79
GTF000376,C00011,2025-06-23,0,Normal,84
GTF000377,C00026,2025-06-10,5,Normal,90
GTF000378,C00035,2025-06-07,2,Peak,82
GTF000379,C00002,2025-06-28,2,Off-Peak,80
GTF000380,C00073,2025-06-16,6,Off-Peak,72
GTF000381,C00085,2025-06-11,5,Peak,82
GTF000382,C00054,2025-06-26,5,Normal,90
GTF000383,C00088,2025-06-21,2,Normal,74
GTF000384,C00096,2025-06-11,2,Normal,93
GTF000385,C00077,2025-06-23,6,Peak,87
GTF000386,C00093,2025-06-15,5,Normal,88
GTF000387,C00040,2025-06-09,3,Normal,88
GTF000388,C00007,2025-06-03,4,Normal,77
GTF000389,C00088,2025-06-19,5,Normal,84
GTF000390,C00064,2025-06-02,0,Peak,95
GTF000391,C00005,2025-06-29,3,Normal,77
GTF000392,C00035,2025-06-27,4,Normal,92
GTF000393,C00094,2025-06-09,7,Normal,79
GTF000394,C00094,2025-06-14,4,Peak,90
GTF000395,C00014,2025-06-26,4,Normal,73
GTF000396,C00033,2025-06-19,4,Peak,86
GTF000397,C00021,2025-06-10,6,Peak,86
GTF000398,C00027,2025-06-30,10,Normal,80
GTF000399,C00076,2025-06-07,7,Normal,79
GTF000400,C00009,2025-06-08,7,Normal,83
GTF000401,C00016,2025-06-25,7,Peak,74
GTF000402,C00005,2025-06-27,5,Normal,78
GTF000403,C00045,2025-06-22,9,Peak,95
GTF000404,C00052,2025-06-29,7,Peak,84
GTF000405,C00039,2025-06-15,4,Normal,72
GTF000406,C00035,2025-06-13,4,Normal,91
GTF000407,C00081,2025-06-29,8,Normal,85
GTF000408,C00028,2025-06-30,4,Peak,78
GTF000409,C00085,2025-06-29,3,Normal,94
GTF000410,C00011,2025-06-06,5,Normal,86
GTF000411,C00045,2025-06-15,7,Off-Peak,79
GTF000412,C00018,2025-06-15,6,Peak,91
GTF000413,C00019,2025-06-05,2,Peak,86
GTF000414,C00082,2025-06-27,4,Normal,84
GTF000415,C00087,2025-06-17,7,Normal,73
GTF000416,C00031,2025-06-03,6,Normal,95
GTF000417,C00084,2025-06-08,10,Peak,94
GTF000418,C00075,2025-06-12,3,Normal,72
GTF000419,C00092,2025-06-15,7,Off-Peak,72
GTF000420,C00050,2025-06-13,9,Normal,78
GTF000421,C00040,2025-06-21,6,Normal,71
GTF000422,C00045,2025-06-20,1,Normal,79
GTF000423,C00061,2025-06-16,6,Off-Peak,85
GTF000424,C00096,2025-06-25,4,Normal,75
GTF000425,C00002,2025-06-17,7,Off-Peak,77
GTF000426,C00067,2025-06-27,11,Peak,95
GTF000427,C00057,2025-06-08,5,Normal,73
GTF000428,C00070,2025-06-24,8,Peak,80
GTF000429,C00091,2025-06-03,5,Normal,77
GTF000430,C00039,2025-06-21,6,Normal,95
GTF000431,C00046,2025-06-14,3,Peak,87
GTF000432,C00006,2025-06-23,1,Normal,88
GTF000433,C00003,2025-06-01,3,Normal,90
GTF000434,C00051,2025-06-25,0,Normal,72
GTF000435,C00011,2025-06-15,5,Off-Peak,80
GTF000436,C00093,2025-06-04,1,Off-Peak,93
GTF000437,C00034,2025-06-14,3,Peak,79
GTF000438,C00020,2025-06-07,5,Peak,73
GTF000439,C00003,2025-06-05,10,Normal,79
GTF000440,C00087,2025-06-08,2,Normal,85
GTF000441,C00003,2025-06-16,4,Peak,94
GTF000442,C00071,2025-06-09,7,Normal,76
GTF000443,C00013,2025-06-19,3,Peak,78
GTF000444,C00043,2025-06-01,7,Off-Peak,89
GTF000445,C00008,2025-06-20,5,Normal,89
GTF000446,C00002,2025-06-14,7,Off-Peak,81
GTF000447,C00069,2025-06-17,6,Peak,71
GTF000448,C00031,2025-06-05,2,Normal,86
GTF000449,C00072,2025-06-18,6,Normal,91
GTF000450,C00044,2025-06-03,6,Normal,87
GTF000451,C00038,2025-06-30,7,Peak,93
GTF000452,C00092,2025-06-08,3,Off-Peak,76
GTF000453,C00021,2025-06-26,5,Off-Peak,80
GTF000454,C00086,2025-06-27,5,Off-Peak,73
GTF000455,C00087,2025-06-20,8,Normal,94
GTF000456,C00080,2025-06-09,9,Normal,70
GTF000457,C00063,2025-06-28,2,Normal,89
GTF000458,C00064,2025-06-20,6,Peak,78
GTF000459,C00093,2025-06-08,6,Off-Peak,84
GTF000460,C00051,2025-06-05,2,Normal,95
GTF000461,C00100,2025-06-29,2,Normal,75
GTF000462,C00079,2025-06-18,8,Normal,79
GTF000463,C00097,2025-06-19,3,Off-Peak,80
GTF000464,C00096,2025-06-17,6,Normal,76
GTF000465,C00062,2025-06-09,6,Normal,88
GTF000466,C00030,2025-06-06,7,Normal,78
GTF000467,C00061,2025-06-10,7,Normal,74
GTF000468,C00014,2025-06-01,8,Off-Peak,90
GTF000469,C00090,2025-06-07,4,Peak,72
GTF000470,C00024,2025-06-11,4,Off-Peak,72
GTF000471,C00060,2025-06-28,3,Normal,90
GTF000472,C00090,2025-06-23,5,Normal,83
GTF000473,C00063,2025-06-06,4,Peak,83
GTF000474,C00072,2025-06-18,2,Normal,73
GTF000475,C00085,2025-06-07,4,Peak,91
GTF000476,C00044,2025-06-18,6,Normal,74
GTF000477,C00045,2025-06-06,6,Off-Peak,95
GTF000478,C00045,2025-06-20,1,Normal,94
GTF000479,C00039,2025-06-25,7,Normal,94
GTF000480,C00042,2025-06-13,7,Normal,95
GTF000481,C00016,2025-06-24,4,Normal,76
GTF000482,C00028,2025-06-22,2,Peak,75
GTF000483,C00075,2025-06-20,4,Peak,76
GTF000484,C00025,2025-06-19,9,Peak,84
GTF000485,C00063,2025-06-01,2,Normal,70
GTF000486,C00009,2025-06-18,6,Normal,85
GTF000487,C00074,2025-06-22,0,Normal,94
GTF000488,C00090,2025-06-26,5,Normal,84
GTF000489,C00006,2025-06-03,6,Normal,87
GTF000490,C00092,2025-06-11,7,Peak,91
GTF000491,C00086,2025-06-25,3,Peak,87
GTF000492,C00081,2025-06-06,5,Peak,84
GTF000493,C00067,2025-06-12,3,Off-Peak,86
GTF000494,C00092,2025-06-06,7,Normal,90
GTF000495,C00083,2025-06-26,6,Normal,86
GTF000496,C00061,2025-06-30,2,Peak,92
GTF000497,C00033,2025-06-05,5,Normal,73
GTF000498,C00097,2025-06-03,9,Off-Peak,77
GTF000499,C00079,2025-06-11,4,Normal,91
GTF000500,C00055,2025-06-18,3,Off-Peak,73
GTF000501,C00048,2025-06-16,6,Normal,79
GTF000502,C00019,2025-06-25,5,Off-Peak,71
GTF000503,C00094,2025-06-03,4,Off-Peak,78
GTF000504,C00065,2025-06-03,5,Normal,86
GTF000505,C00088,2025-06-11,5,Normal,75
GTF000506,C00083,2025-06-17,8,Off-Peak,93
GTF000507,C00030,2025-06-09,10,Normal,82
GTF000508,C00097,2025-06-21,3,Normal,93
GTF000509,C00097,2025-06-19,6,Off-Peak,93
GTF000510,C00095,2025-06-25,3,Off-Peak,85
GTF000511,C00034,2025-06-10,5,Normal,83
GTF000512,C00096,2025-06-09,5,Normal,72
GTF000513,C00075,2025-06-10,6,Off-Peak,75
GTF000514,C00011,2025-06-08,4,Off-Peak,78
GTF000515,C00078,2025-06-16,4,Normal,82
GTF000516,C00035,2025-06-13,5,Normal,81
GTF000517,C00063,2025-06-05,5,Normal,70
GTF000518,C00008,2025-06-07,4,Off-Peak,77
GTF000519,C00076,2025-06-13,6,Peak,83
GTF000520,C00078,2025-06-04,7,Normal,85
GTF000521,C00007,2025-06-23,6,Normal,91
GTF000522,C00099,2025-06-21,3,Normal,76
GTF000523,C00012,2025-06-17,7,Off-Peak,81
GTF000524,C00057,2025-06-09,8,Normal,75
GTF000525,C00083,2025-06-10,1,Peak,92
GTF000526,C00093,2025-06-22,4,Normal,94
GTF000527,C00015,2025-06-11,8,Off-Peak,92
GTF000528,C00076,2025-06-09,5,Peak,78
GTF000529,C00026,2025-06-13,5,Off-Peak,80
GTF000530,C00024,2025-06-11,3,Normal,81
GTF000531,C00032,2025-06-04,3,Peak,88
GTF000532,C00036,2025-06-28,6,Off-Peak,85
GTF000533,C00003,2025-06-30,5,Normal,95
GTF000534,C00079,2025-06-06,9,Off-Peak,74
GTF000535,C00071,2025-06-16,5,Normal,76
GTF000536,C00076,2025-06-23,2,Peak,75
GTF000537,C00084,2025-06-29,4,Normal,74
GTF000538,C00074,2025-06-01,1,Peak,75
GTF000539,C00007,2025-06-23,5,Normal,89
GTF000540,C00029,2025-06-26,8,Normal,78
