task_id,asset_id,asset_type,corridor_id,location_km,equipment_type,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,power_isolation_required,possession_required,status
TDMS000030,AST010497,Pantograph Interaction Zone,C00041,35.8,Pantograph Interaction Zone,OHE wear,High,3,4,4,2025-05-13,2025-05-24,0,139,3,Corrective,Yes,Yes,Completed
TDMS000031,AST009664,Jumper,C00058,9.7,Jumper Wire,Loose jumper,Medium,4,3,1,2025-06-22,2025-07-18,0,147,4,Preventive,Yes,No,Completed
TDMS000032,AST009376,OHE,C00051,54.7,Overhead Equipment,Preventive OHE maintenance,High,4,3,4,2025-06-18,2025-06-27,4,37,3,Preventive,Yes,Yes,Open
TDMS000033,AST011896,Transformer,C00071,6.3,Traction Transformer,Transformer inspection,Medium,2,2,2,2025-06-11,2025-07-03,0,156,2,Inspection,Yes,No,Open
TDMS000034,AST011694,Catenary,C00025,275.2,Catenary Wire,Catenary sag,Critical,4,5,1,2025-06-21,2025-06-25,6,198,6,Corrective,No,No,Open
TDMS000035,AST011892,OHE,C00058,63.0,Overhead Equipment,Preventive OHE maintenance,High,2,4,2,2025-05-02,2025-05-10,0,184,5,Preventive,Yes,No,Completed
TDMS000036,AST010910,Transformer,C00023,32.1,Traction Transformer,Transformer inspection,High,4,3,4,2025-06-18,2025-06-26,5,290,4,Inspection,Yes,Yes,Open
TDMS000037,AST010760,Feeder,C00058,14.4,Feeder Line,Feeder fault,High,3,4,4,2025-03-25,2025-03-30,0,127,4,Corrective,Yes,Yes,Completed
TDMS000038,AST010889,Insulator,C00083,36.2,Insulator,Insulator defect,Low,2,2,1,2025-05-28,2025-06-27,0,109,3,Preventive,Yes,Yes,Completed
TDMS000039,AST010121,Jumper,C00054,29.7,Jumper Wire,Loose jumper,Medium,1,3,3,2025-06-22,2025-07-11,0,72,1,Preventive,Yes,Yes,Completed
TDMS000040,AST008740,Pantograph Interaction Zone,C00100,1.6,Pantograph Interaction Zone,OHE wear,Low,3,1,2,2025-05-22,2025-06-30,1,118,4,Preventive,Yes,Yes,Open
TDMS000041,AST010988,Insulator,C00020,72.1,Insulator,Insulator defect,Low,1,1,2,2025-05-27,2025-07-13,0,104,2,Preventive,Yes,Yes,In Progress
TDMS000042,AST011394,Mast,C00099,5.6,OHE Mast,Mast defect,Medium,4,1,3,2025-06-11,2025-06-25,6,77,2,Preventive,No,Yes,Open
TDMS000043,AST011125,Section Insulator,C00091,156.4,Section Insulator,Section insulator wear,Critical,5,5,3,2025-06-11,2025-06-13,18,148,6,Corrective,Yes,Yes,Open
TDMS000044,AST009929,Transformer,C00025,58.4,Traction Transformer,Transformer inspection,Medium,3,3,2,2025-06-18,2025-07-14,0,218,4,Inspection,Yes,Yes,Open
TDMS000045,AST011441,Catenary,C00042,24.9,Catenary Wire,Catenary sag,Medium,2,3,3,2025-06-25,2025-07-16,0,192,3,Preventive,Yes,Yes,Open
TDMS000046,AST010807,Jumper,C00017,3.6,Jumper Wire,Loose jumper,Medium,3,3,2,2025-06-06,2025-06-21,10,146,4,Preventive,Yes,Yes,Open
TDMS000047,AST011476,Jumper,C00051,13.0,Jumper Wire,Loose jumper,Low,2,2,2,2025-06-21,2025-07-31,0,61,3,Preventive,Yes,No,Open
TDMS000048,AST009019,OHE,C00054,31.6,Overhead Equipment,Preventive OHE maintenance,Medium,2,3,1,2025-06-29,2025-07-23,0,122,3,Preventive,Yes,No,In Progress
TDMS000049,AST009243,Transformer,C00020,63.0,Traction Transformer,Transformer inspection,Medium,3,2,2,2025-05-01,2025-05-22,0,223,4,Inspection,Yes,Yes,Completed
TDMS000050,AST011171,Insulator,C00058,48.3,Insulator,Insulator defect,Critical,4,4,3,2025-06-14,2025-06-18,13,65,5,Corrective,Yes,Yes,Open
TDMS000051,AST009461,Insulator,C00001,279.5,Insulator,Insulator defect,Medium,5,2,1,2025-06-25,2025-07-17,0,69,3,Preventive,Yes,Yes,Open
TDMS000052,AST011361,Insulator,C00078,71.9,Insulator,Insulator defect,High,5,4,3,2025-06-05,2025-06-10,21,111,2,Corrective,Yes,Yes,Open
TDMS000053,AST011753,Catenary,C00004,25.8,Catenary Wire,Catenary sag,Medium,3,2,2,2025-06-10,2025-07-01,0,235,4,Preventive,Yes,Yes,Scheduled
TDMS000054,AST009019,OHE,C00054,31.6,Overhead Equipment,Preventive OHE maintenance,Low,3,2,2,2025-06-12,2025-07-21,0,192,3,Preventive,Yes,Yes,Open
TDMS000055,AST009912,OHE,C00013,33.9,Overhead Equipment,OHE wear,Low,2,2,1,2025-06-26,2025-08-02,0,227,3,Preventive,Yes,Yes,Open
TDMS000056,AST011707,Insulator,C00044,40.7,Insulator,Insulator defect,Low,3,3,1,2025-06-24,2025-08-12,0,131,5,Preventive,Yes,Yes,Completed
TDMS000057,AST011218,Mast,C00055,19.9,OHE Mast,Mast defect,High,3,4,1,2025-05-21,2025-05-31,31,219,4,Corrective,No,Yes,In Progress
TDMS000058,AST011147,Pantograph Interaction Zone,C00058,66.2,Pantograph Interaction Zone,OHE wear,Low,3,2,2,2025-06-06,2025-07-11,0,152,3,Preventive,Yes,Yes,Open
TDMS000059,AST011583,Feeder,C00035,94.4,Feeder Line,Feeder fault,Low,3,2,1,2025-06-24,2025-08-04,0,98,3,Preventive,No,Yes,Open
TDMS000060,AST009424,OHE,C00036,50.3,Overhead Equipment,Preventive OHE maintenance,Medium,3,2,3,2025-06-12,2025-07-01,0,152,4,Preventive,Yes,Yes,In Progress
TDMS000061,AST011000,OHE,C00031,21.0,Overhead Equipment,Preventive OHE maintenance,Medium,2,3,2,2025-06-24,2025-07-13,0,69,4,Preventive,Yes,Yes,Scheduled
TDMS000062,AST009245,Catenary,C00016,47.4,Catenary Wire,Catenary sag,Low,3,2,2,2025-05-21,2025-07-01,0,190,5,Preventive,No,Yes,Deferred
TDMS000063,AST010176,Section Insulator,C00090,76.2,Section Insulator,Section insulator wear,Low,4,2,1,2025-05-24,2025-07-02,0,127,3,Preventive,Yes,Yes,Open
TDMS000064,AST009579,Pantograph Interaction Zone,C00025,327.2,Pantograph Interaction Zone,OHE wear,Critical,4,5,4,2025-06-14,2025-06-20,11,278,4,Corrective,Yes,Yes,Open
TDMS000065,AST011777,Section Insulator,C00035,70.7,Section Insulator,Section insulator wear,Low,4,2,1,2025-06-06,2025-07-15,0,75,3,Preventive,Yes,Yes,Open
TDMS000066,AST011602,Section Insulator,C00073,92.0,Section Insulator,Section insulator wear,Medium,3,4,3,2025-06-10,2025-07-03,0,162,3,Preventive,Yes,Yes,Scheduled
TDMS000067,AST009907,Feeder,C00018,56.5,Feeder Line,Feeder fault,Medium,3,3,3,2025-06-28,2025-07-14,0,142,5,Preventive,Yes,Yes,Open
TDMS000068,AST011276,Feeder,C00095,27.2,Feeder Line,Feeder fault,High,4,4,4,2025-06-23,2025-06-30,1,154,4,Corrective,Yes,Yes,Open
TDMS000069,AST009073,Insulator,C00079,31.5,Insulator,Insulator defect,Medium,4,3,2,2025-06-08,2025-06-24,0,125,2,Preventive,Yes,Yes,Completed
TDMS000070,AST011314,Insulator,C00034,25.1,Insulator,Insulator defect,High,4,3,4,2025-06-16,2025-06-26,5,151,4,Corrective,Yes,Yes,Scheduled
TDMS000071,AST010194,Jumper,C00078,47.7,Jumper Wire,Loose jumper,Medium,2,2,2,2025-05-22,2025-06-13,18,47,4,Preventive,Yes,No,Deferred
TDMS000072,AST009458,Jumper,C00062,28.7,Jumper Wire,Loose jumper,Critical,3,5,4,2025-06-29,2025-07-03,0,63,3,Corrective,Yes,Yes,Scheduled
TDMS000073,AST011435,OHE,C00004,43.0,Overhead Equipment,Preventive OHE maintenance,Low,3,2,2,2025-06-28,2025-08-02,0,116,2,Preventive,Yes,No,Completed
TDMS000074,AST009920,Jumper,C00045,25.8,Jumper Wire,Loose jumper,Low,2,1,2,2025-05-31,2025-07-01,0,32,4,Preventive,Yes,Yes,Scheduled
TDMS000075,AST009507,Pantograph Interaction Zone,C00075,55.7,Pantograph Interaction Zone,OHE wear,Low,3,2,2,2025-06-06,2025-07-22,0,201,2,Preventive,Yes,No,Open
TDMS000076,AST008667,Transformer,C00011,152.6,Traction Transformer,Transformer inspection,Low,3,1,1,2025-04-25,2025-06-04,27,212,4,Inspection,Yes,Yes,Scheduled
TDMS000077,AST009002,Transformer,C00058,9.3,Traction Transformer,Transformer inspection,High,5,4,3,2025-05-21,2025-06-01,30,244,4,Inspection,Yes,Yes,Open
TDMS000078,AST010838,Feeder,C00068,127.5,Feeder Line,Feeder fault,Medium,3,2,3,2025-06-04,2025-06-24,7,210,2,Preventive,Yes,No,Scheduled
TDMS000079,AST009234,OHE,C00041,24.3,Overhead Equipment,OHE wear,Medium,3,4,4,2025-06-24,2025-07-14,0,151,4,Preventive,Yes,Yes,Open
TDMS000080,AST010259,Section Insulator,C00044,7.2,Section Insulator,Section insulator wear,Low,2,1,1,2025-04-26,2025-06-01,30,103,4,Preventive,Yes,No,Open
TDMS000081,AST011105,Feeder,C00082,121.8,Feeder Line,Feeder fault,Critical,3,5,2,2025-06-11,2025-06-15,0,192,3,Corrective,Yes,Yes,Completed
TDMS000082,AST011638,Jumper,C00029,39.6,Jumper Wire,Loose jumper,High,4,3,3,2025-05-17,2025-05-26,36,37,1,Corrective,Yes,Yes,Open
TDMS000083,AST010046,Mast,C00091,85.7,OHE Mast,Mast defect,High,4,4,3,2025-06-23,2025-07-03,0,141,4,Corrective,Yes,No,Scheduled
TDMS000084,AST008681,Catenary,C00047,10.4,Catenary Wire,Catenary sag,Critical,4,5,4,2025-06-28,2025-07-01,0,242,3,Corrective,Yes,Yes,Open
TDMS000085,AST011834,Insulator,C00048,36.1,Insulator,Insulator defect,High,5,4,3,2025-04-09,2025-04-19,0,140,4,Corrective,Yes,Yes,Completed
TDMS000086,AST009485,Pantograph Interaction Zone,C00049,13.2,Pantograph Interaction Zone,OHE wear,Low,2,4,1,2025-05-11,2025-06-28,3,212,4,Preventive,Yes,Yes,Scheduled
TDMS000087,AST009397,Transformer,C00012,22.1,Traction Transformer,Transformer inspection,Low,1,2,1,2025-06-19,2025-07-24,0,256,6,Inspection,Yes,No,Completed
TDMS000088,AST010837,Mast,C00048,75.7,OHE Mast,Mast defect,Critical,2,5,3,2025-06-25,2025-07-01,0,150,4,Corrective,No,No,Open
TDMS000089,AST011461,Catenary,C00021,20.5,Catenary Wire,Catenary sag,Critical,1,5,3,2025-05-01,2025-05-06,56,261,2,Corrective,Yes,Yes,Scheduled
TDMS000090,AST010119,Catenary,C00009,28.5,Catenary Wire,Catenary sag,Medium,3,2,1,2025-05-30,2025-06-19,0,192,4,Preventive,Yes,Yes,Completed
TDMS000091,AST009880,Section Insulator,C00054,21.9,Section Insulator,Section insulator wear,Low,4,2,1,2025-06-09,2025-07-17,0,63,2,Preventive,Yes,Yes,In Progress
TDMS000092,AST010059,Mast,C00024,28.9,OHE Mast,Mast defect,Low,3,2,1,2025-06-19,2025-08-01,0,162,4,Preventive,No,Yes,Deferred
TDMS000093,AST010390,Pantograph Interaction Zone,C00047,51.5,Pantograph Interaction Zone,OHE wear,Low,2,1,1,2025-06-29,2025-08-13,0,174,4,Preventive,Yes,Yes,Scheduled
TDMS000094,AST011657,Jumper,C00024,82.8,Jumper Wire,Loose jumper,High,3,4,2,2025-05-19,2025-05-29,33,95,5,Corrective,Yes,Yes,Scheduled
TDMS000095,AST009805,OHE,C00090,42.4,Overhead Equipment,OHE wear,Critical,4,4,4,2025-05-30,2025-06-03,28,312,5,Corrective,Yes,Yes,In Progress
TDMS000096,AST009053,Insulator,C00084,270.3,Insulator,Insulator defect,High,3,3,2,2025-06-20,2025-07-01,0,115,3,Corrective,Yes,Yes,Open
TDMS000097,AST008682,OHE,C00094,84.3,Overhead Equipment,Preventive OHE maintenance,Medium,3,3,1,2025-05-31,2025-06-27,0,85,2,Preventive,Yes,Yes,Completed
TDMS000098,AST011021,Feeder,C00075,0.6,Feeder Line,Feeder fault,Low,1,1,2,2025-05-18,2025-07-10,0,180,3,Preventive,No,Yes,Open
TDMS000099,AST011101,Catenary,C00091,80.5,Catenary Wire,Catenary sag,Low,3,2,1,2025-06-15,2025-07-20,0,175,4,Preventive,Yes,Yes,Completed
TDMS000100,AST009085,Insulator,C00047,29.7,Insulator,Insulator defect,Low,2,2,2,2025-06-03,2025-07-15,0,93,3,Preventive,Yes,Yes,Open
TDMS000101,AST011418,OHE,C00041,4.4,Overhead Equipment,Preventive OHE maintenance,Medium,4,2,3,2025-06-18,2025-07-07,0,174,3,Preventive,Yes,No,Scheduled
TDMS000102,AST008802,Feeder,C00055,106.2,Feeder Line,Feeder fault,Low,1,2,2,2025-06-20,2025-07-31,0,134,4,Preventive,Yes,Yes,Scheduled
TDMS000103,AST011770,Pantograph Interaction Zone,C00088,53.9,Pantograph Interaction Zone,OHE wear,Low,3,2,2,2025-06-24,2025-07-30,0,149,4,Preventive,Yes,Yes,Scheduled
TDMS000104,AST011630,Feeder,C00053,86.3,Feeder Line,Feeder fault,Critical,4,5,3,2025-06-28,2025-07-02,0,209,2,Corrective,No,Yes,Open
TDMS000105,AST009453,Catenary,C00021,104.5,Catenary Wire,Catenary sag,Low,2,1,1,2025-06-15,2025-07-31,0,175,2,Preventive,Yes,No,Deferred
TDMS000106,AST010671,Transformer,C00040,13.5,Traction Transformer,Transformer inspection,High,3,4,3,2025-05-28,2025-06-05,26,253,5,Inspection,Yes,No,In Progress
TDMS000107,AST011805,Transformer,C00087,86.0,Traction Transformer,Transformer inspection,Medium,3,3,3,2025-04-21,2025-05-07,55,282,4,Inspection,No,Yes,In Progress
TDMS000108,AST009544,Section Insulator,C00007,189.7,Section Insulator,Section insulator wear,High,4,3,2,2025-03-07,2025-03-17,0,168,3,Corrective,Yes,Yes,Completed
TDMS000109,AST011563,Jumper,C00093,40.4,Jumper Wire,Loose jumper,Medium,4,3,3,2025-06-25,2025-07-15,0,107,4,Preventive,Yes,Yes,Completed
TDMS000110,AST010033,Pantograph Interaction Zone,C00007,116.1,Pantograph Interaction Zone,OHE wear,High,4,5,3,2025-06-17,2025-06-29,2,136,2,Corrective,Yes,Yes,Open
TDMS000111,AST010918,Pantograph Interaction Zone,C00016,51.6,Pantograph Interaction Zone,OHE wear,High,5,3,4,2025-06-12,2025-06-24,7,171,4,Corrective,Yes,Yes,Open
TDMS000112,AST010816,Section Insulator,C00046,17.4,Section Insulator,Section insulator wear,Medium,4,3,3,2025-06-17,2025-07-05,0,56,2,Preventive,Yes,Yes,In Progress
TDMS000113,AST011205,Mast,C00019,145.9,OHE Mast,Mast defect,Critical,4,4,4,2025-06-12,2025-06-16,0,129,4,Corrective,No,Yes,Completed
TDMS000114,AST010151,Jumper,C00034,22.7,Jumper Wire,Loose jumper,Medium,2,4,3,2025-03-27,2025-04-13,0,117,3,Preventive,Yes,No,Completed
TDMS000115,AST009856,Transformer,C00093,68.7,Traction Transformer,Transformer inspection,Low,4,2,1,2025-03-04,2025-04-16,76,293,5,Inspection,No,No,Scheduled
TDMS000116,AST010633,OHE,C00029,45.3,Overhead Equipment,Preventive OHE maintenance,Critical,4,3,5,2025-05-10,2025-05-14,48,140,4,Preventive,Yes,Yes,In Progress
TDMS000117,AST011712,Feeder,C00055,106.5,Feeder Line,Feeder fault,Low,3,1,1,2025-03-08,2025-04-21,71,112,3,Preventive,Yes,Yes,Open
TDMS000118,AST011617,Feeder,C00066,3.4,Feeder Line,Feeder fault,Medium,2,2,2,2025-06-18,2025-07-09,0,177,4,Preventive,Yes,Yes,Scheduled
TDMS000119,AST011091,Feeder,C00028,42.5,Feeder Line,Feeder fault,Medium,3,3,2,2025-06-19,2025-07-07,0,181,5,Preventive,Yes,Yes,Completed
TDMS000120,AST008864,Feeder,C00017,3.3,Feeder Line,Feeder fault,Low,5,1,1,2025-06-27,2025-07-29,0,115,3,Preventive,Yes,Yes,Scheduled
TDMS000121,AST009089,Insulator,C00054,34.4,Insulator,Insulator defect,Critical,3,5,3,2025-03-13,2025-03-16,107,75,4,Corrective,No,Yes,In Progress
TDMS000122,AST009364,OHE,C00085,168.8,Overhead Equipment,Preventive OHE maintenance,High,3,4,3,2025-06-19,2025-06-28,3,129,4,Preventive,Yes,Yes,In Progress
TDMS000123,AST009593,Section Insulator,C00092,48.3,Section Insulator,Section insulator wear,High,3,4,4,2025-03-03,2025-03-14,0,122,3,Corrective,No,Yes,Completed
TDMS000124,AST009972,Jumper,C00085,191.2,Jumper Wire,Loose jumper,High,4,2,3,2025-06-05,2025-06-16,15,41,5,Corrective,Yes,Yes,Open
TDMS000125,AST011113,Catenary,C00059,152.1,Catenary Wire,Catenary sag,Medium,2,4,2,2025-06-23,2025-07-13,0,207,4,Preventive,Yes,Yes,Completed
TDMS000126,AST011821,Section Insulator,C00029,19.5,Section Insulator,Section insulator wear,Low,3,1,1,2025-06-16,2025-07-16,0,71,1,Preventive,No,Yes,Completed
TDMS000127,AST009824,Pantograph Interaction Zone,C00090,73.6,Pantograph Interaction Zone,OHE wear,Critical,4,4,4,2025-06-17,2025-06-20,0,191,3,Corrective,Yes,Yes,Completed
TDMS000128,AST011812,Jumper,C00060,45.0,Jumper Wire,Loose jumper,Medium,2,3,1,2025-06-30,2025-07-22,0,68,2,Preventive,Yes,Yes,Open
TDMS000129,AST010188,Mast,C00070,2.8,OHE Mast,Mast defect,Medium,2,3,3,2025-05-22,2025-06-08,23,154,3,Preventive,No,Yes,Open
TDMS000130,AST011517,Feeder,C00062,29.2,Feeder Line,Feeder fault,Medium,2,2,3,2025-06-30,2025-07-25,0,167,4,Preventive,Yes,No,Completed
TDMS000131,AST009992,Feeder,C00063,84.4,Feeder Line,Feeder fault,Low,2,2,1,2025-03-18,2025-05-06,56,139,3,Preventive,Yes,Yes,Open
TDMS000132,AST010713,Transformer,C00015,42.4,Traction Transformer,Transformer inspection,High,4,4,3,2025-06-26,2025-07-06,0,229,5,Inspection,Yes,Yes,Open
TDMS000133,AST011466,Catenary,C00068,76.5,Catenary Wire,Catenary sag,Low,3,3,3,2025-04-12,2025-06-04,27,282,3,Preventive,Yes,Yes,Open
TDMS000134,AST010537,Mast,C00098,1.4,OHE Mast,Mast defect,Medium,3,2,4,2025-06-17,2025-07-14,0,132,4,Preventive,No,Yes,Open
TDMS000135,AST009690,Transformer,C00078,88.9,Traction Transformer,Transformer inspection,Low,2,3,3,2025-05-28,2025-07-12,0,233,3,Inspection,Yes,Yes,Open
TDMS000136,AST010899,Insulator,C00011,295.7,Insulator,Insulator defect,Low,4,2,1,2025-06-19,2025-07-31,0,80,3,Preventive,Yes,Yes,Deferred
TDMS000137,AST010533,Transformer,C00076,5.7,Traction Transformer,Transformer inspection,Medium,3,3,1,2025-04-24,2025-05-15,47,206,4,Inspection,Yes,Yes,Open
TDMS000138,AST010519,Section Insulator,C00010,3.1,Section Insulator,Section insulator wear,Low,3,2,2,2025-05-10,2025-06-11,20,118,2,Preventive,Yes,Yes,Scheduled
TDMS000139,AST008790,Feeder,C00054,29.6,Feeder Line,Feeder fault,Medium,2,2,1,2025-06-27,2025-07-19,0,183,5,Preventive,Yes,Yes,Open
TDMS000140,AST010578,Insulator,C00019,76.9,Insulator,Insulator defect,Medium,3,3,2,2025-06-28,2025-07-13,0,128,2,Preventive,Yes,Yes,Open
TDMS000141,AST011372,Insulator,C00076,6.6,Insulator,Insulator defect,Low,2,2,1,2025-06-07,2025-07-27,0,177,2,Preventive,Yes,Yes,Completed
TDMS000142,AST011242,Mast,C00018,4.0,OHE Mast,Mast defect,Critical,4,4,4,2025-06-19,2025-06-24,0,145,4,Corrective,Yes,No,Completed
TDMS000143,AST009015,Jumper,C00006,10.1,Jumper Wire,Loose jumper,Medium,3,3,1,2025-06-27,2025-07-13,0,55,3,Preventive,Yes,Yes,Completed
TDMS000144,AST008756,Mast,C00006,19.2,OHE Mast,Mast defect,High,3,4,4,2025-06-17,2025-06-28,3,163,4,Corrective,No,Yes,Deferred
TDMS000145,AST008748,Insulator,C00038,137.2,Insulator,Insulator defect,High,4,4,3,2025-06-13,2025-06-23,8,114,3,Corrective,Yes,Yes,Scheduled
TDMS000146,AST011580,Insulator,C00074,16.8,Insulator,Insulator defect,High,3,5,2,2025-05-12,2025-05-23,39,35,2,Corrective,Yes,Yes,In Progress
TDMS000147,AST009400,Mast,C00044,45.3,OHE Mast,Mast defect,Low,2,1,2,2025-06-25,2025-07-25,0,124,4,Preventive,No,Yes,Open
TDMS000148,AST010941,Mast,C00082,130.3,OHE Mast,Mast defect,High,4,2,3,2025-06-26,2025-07-05,0,133,2,Corrective,No,No,In Progress
TDMS000149,AST008768,Section Insulator,C00010,43.0,Section Insulator,Section insulator wear,High,4,4,2,2025-06-22,2025-07-02,0,41,3,Corrective,No,Yes,In Progress
TDMS000150,AST010033,Pantograph Interaction Zone,C00007,116.1,Pantograph Interaction Zone,OHE wear,High,4,4,3,2025-06-24,2025-07-03,0,192,3,Corrective,Yes,Yes,Completed
TDMS000151,AST009974,Pantograph Interaction Zone,C00066,25.6,Pantograph Interaction Zone,OHE wear,Medium,2,2,2,2025-06-16,2025-07-12,0,114,2,Preventive,Yes,Yes,Scheduled
TDMS000152,AST009034,Mast,C00066,40.5,OHE Mast,Mast defect,High,3,3,2,2025-03-08,2025-03-16,107,120,4,Corrective,No,No,Open
TDMS000153,AST011512,OHE,C00001,103.1,Overhead Equipment,OHE wear,Critical,5,4,3,2025-06-12,2025-06-14,17,194,3,Corrective,Yes,Yes,Open
TDMS000154,AST010086,Insulator,C00087,163.3,Insulator,Insulator defect,Low,2,3,1,2025-06-27,2025-08-07,0,65,4,Preventive,Yes,Yes,Scheduled
TDMS000155,AST009199,Jumper,C00061,32.7,Jumper Wire,Loose jumper,Medium,3,2,2,2025-05-07,2025-06-03,0,101,2,Preventive,Yes,Yes,Completed
TDMS000156,AST011942,Feeder,C00024,83.8,Feeder Line,Feeder fault,Medium,3,3,2,2025-06-06,2025-07-01,0,58,1,Preventive,Yes,Yes,Scheduled
TDMS000157,AST009517,Insulator,C00047,58.1,Insulator,Insulator defect,Low,4,2,1,2025-06-13,2025-07-21,0,91,2,Preventive,Yes,Yes,In Progress
TDMS000158,AST010622,Catenary,C00032,16.5,Catenary Wire,Catenary sag,Medium,4,3,1,2025-06-30,2025-07-21,0,209,2,Preventive,Yes,Yes,Open
