task_id,department,asset_id,asset_type,corridor_id,location_km,defect_or_task,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,overdue_days,estimated_duration_min,required_team_size,possession_required,maintenance_type,status,urgency_score,risk_score,asset_downtime_risk,maintenance_priority_score
TMS000043,Engineering,AST003611,Track,C00029,90.1,Rail crack,Low,2,1,2,20,164,4,Yes,Preventive,Open,35.0,17.8,36,28.6
TMS000044,Engineering,AST001486,Crossing,C00083,105.5,Drainage issue,Low,3,2,1,0,87,4,Yes,Preventive,In Progress,5.0,31.8,64,31.7
TMS000045,Engineering,AST002355,Sleeper,C00034,33.6,Sleeper damage,Medium,3,2,2,0,96,3,Yes,Preventive,Completed,12.0,37.0,54,34.2
TMS000046,Engineering,AST002365,Rail,C00061,52.1,Alignment defect,Medium,3,2,1,42,153,3,No,Preventive,Open,75.0,37.0,50,44.4
TMS000047,Engineering,AST003602,Rail,C00079,11.2,Turnout wear,Medium,2,2,1,88,281,3,Yes,Preventive,Open,100.0,37.0,52,50.8
TMS000048,Engineering,AST004781,Weld,C00074,18.3,Rail crack,Low,2,1,1,0,194,5,Yes,Preventive,Completed,5.0,17.8,24,15.9
TMS000049,Engineering,AST003212,Ballast,C00080,24.1,Gauge defect,Medium,3,3,2,12,223,1,Yes,Preventive,Scheduled,30.0,51.0,34,39.6
TMS000050,Engineering,AST000708,Sleeper,C00049,115.1,Rail crack,High,2,4,1,4,163,2,Yes,Corrective,Open,31.0,74.8,60,50.2
TMS000051,Engineering,AST003721,Switch,C00032,9.2,Drainage issue,Medium,3,4,2,0,81,4,Yes,Preventive,Open,12.0,65.0,42,43.8
TMS000052,Engineering,AST002996,Bridge,C00003,14.5,Track geometry defect,Medium,2,3,2,0,262,5,Yes,Preventive,Completed,12.0,51.0,38,37.0
TMS000053,Engineering,AST004534,Crossing,C00086,237.3,Alignment defect,Low,2,1,2,0,129,1,Yes,Preventive,In Progress,5.0,17.8,44,24.1
TMS000054,Engineering,AST002207,Bridge,C00064,44.7,Sleeper damage,Medium,2,2,2,0,117,1,Yes,Preventive,Completed,12.0,37.0,52,33.8
TMS000055,Engineering,AST004019,Rail,C00066,12.3,Sleeper damage,Medium,3,2,1,0,33,3,Yes,Preventive,Deferred,12.0,37.0,30,25.8
TMS000056,Engineering,AST005271,Ballast,C00028,79.2,Scheduled inspection,Medium,3,2,2,0,49,4,Yes,Inspection,Completed,12.0,37.0,56,35.2
TMS000057,Engineering,AST004744,Crossing,C00005,85.3,Ballast deficiency,High,3,3,3,34,142,5,No,Corrective,Scheduled,76.0,60.8,64,61.0
TMS000058,Engineering,AST001983,Weld,C00072,57.0,Alignment defect,Low,3,1,2,35,125,2,Yes,Preventive,Open,57.5,17.8,40,35.0
TMS000059,Engineering,AST005022,Bridge,C00068,136.9,Turnout wear,Medium,5,3,3,91,192,3,Yes,Preventive,Open,100.0,51.0,54,63.8
TMS000060,Engineering,AST005231,Weld,C00075,7.9,Weld defect,Medium,1,3,2,0,208,5,Yes,Preventive,Completed,12.0,51.0,38,36.4
TMS000061,Engineering,AST001018,Ballast,C00035,77.5,Corrective maintenance,Medium,3,3,2,0,238,3,Yes,Corrective,Completed,12.0,51.0,56,41.2
TMS000062,Engineering,AST003864,Switch,C00039,18.1,Corrective maintenance,Critical,4,4,4,15,255,4,Yes,Corrective,Scheduled,62.5,86.0,44,63.6
TMS000063,Engineering,AST004616,Track,C00017,2.8,Rail wear,Medium,2,3,1,96,100,2,No,Preventive,Open,100.0,51.0,50,56.4
TMS000064,Engineering,AST001321,Sleeper,C00038,163.0,Ballast deficiency,Critical,2,4,4,36,72,3,No,Corrective,Open,94.0,86.0,40,69.2
TMS000065,Engineering,AST000013,Bridge,C00001,354.9,Ballast deficiency,Critical,4,4,3,131,63,4,Yes,Corrective,Open,100.0,86.0,52,77.8
TMS000066,Engineering,AST003226,Bridge,C00011,196.0,Track geometry defect,Low,3,1,1,0,169,2,Yes,Preventive,Open,5.0,17.8,60,24.9
TMS000067,Engineering,AST004229,Weld,C00049,72.3,Scheduled inspection,Medium,2,2,1,0,117,4,Yes,Inspection,Scheduled,12.0,37.0,72,36.0
TMS000068,Engineering,AST001106,Switch,C00025,262.9,Ballast deficiency,Low,1,2,1,57,97,4,Yes,Preventive,In Progress,90.5,31.8,50,47.3
TMS000069,Engineering,AST003049,Rail,C00052,113.0,Rail crack,Medium,2,2,3,0,172,4,Yes,Preventive,Open,12.0,37.0,48,36.0
TMS000070,Engineering,AST002612,Sleeper,C00016,38.0,Alignment defect,Low,4,2,1,0,204,4,Yes,Preventive,In Progress,5.0,31.8,70,33.5
TMS000071,Engineering,AST000208,Bridge,C00008,31.5,Preventive maintenance,Critical,2,4,4,34,44,4,Yes,Preventive,In Progress,91.0,86.0,48,70.1
TMS000072,Engineering,AST002687,Ballast,C00024,43.2,Ballast deficiency,Critical,4,4,2,8,274,3,Yes,Corrective,Open,52.0,86.0,38,54.1
TMS000073,Engineering,AST001464,Weld,C00043,11.3,Sleeper damage,Medium,3,2,3,0,101,1,Yes,Preventive,Scheduled,12.0,37.0,62,39.4
TMS000074,Engineering,AST001213,Sleeper,C00041,2.2,Weld defect,Medium,3,1,3,31,85,2,No,Preventive,Open,58.5,23.0,50,41.3
TMS000075,Engineering,AST002223,Rail,C00056,13.6,Drainage issue,High,3,3,3,83,74,1,Yes,Corrective,Open,100.0,60.8,38,63.3
TMS000076,Engineering,AST002317,Ballast,C00046,18.1,Ballast deficiency,Medium,2,4,3,21,119,2,Yes,Preventive,Scheduled,43.5,65.0,46,54.6
TMS000077,Engineering,AST000372,Turnout,C00065,24.3,Scheduled inspection,Medium,2,3,2,0,75,4,Yes,Inspection,Open,12.0,51.0,30,34.8
TMS000078,Engineering,AST000023,Rail,C00089,37.1,Track geometry defect,High,4,3,3,50,189,4,Yes,Corrective,Scheduled,100.0,60.8,30,58.4
TMS000079,Engineering,AST000542,Track,C00096,33.6,Ballast deficiency,Medium,1,2,3,21,118,5,Yes,Preventive,Open,43.5,37.0,30,38.8
TMS000080,Engineering,AST000883,Weld,C00045,66.8,Ballast deficiency,Medium,2,4,3,0,159,4,Yes,Preventive,Completed,12.0,65.0,30,43.8
TMS000081,Engineering,AST003907,Turnout,C00055,6.2,Drainage issue,Medium,1,2,2,40,121,1,Yes,Preventive,Open,72.0,37.0,28,41.7
TMS000082,Engineering,AST004612,Switch,C00008,44.0,Turnout wear,Low,4,2,1,0,156,4,Yes,Preventive,Open,5.0,31.8,44,27.1
TMS000083,Engineering,AST002467,Turnout,C00048,33.7,Gauge defect,High,3,2,4,73,192,2,Yes,Corrective,Open,100.0,46.8,64,67.3
TMS000084,Engineering,AST000990,Weld,C00037,71.0,Gauge defect,High,4,3,4,0,205,5,Yes,Corrective,Completed,25.0,60.8,50,49.3
TMS000085,Engineering,AST002616,Sleeper,C00060,24.6,Rail crack,Low,2,1,2,0,154,2,Yes,Preventive,Open,5.0,17.8,48,24.9
TMS000086,Engineering,AST000036,Crossing,C00017,3.1,Scheduled inspection,Critical,3,4,3,137,53,1,No,Inspection,Open,100.0,86.0,36,73.4
TMS000087,Engineering,AST005195,Rail,C00098,2.3,Alignment defect,Low,3,1,2,0,231,2,Yes,Preventive,Scheduled,5.0,17.8,40,23.3
TMS000088,Engineering,AST004967,Weld,C00044,39.7,Weld defect,Low,2,2,2,0,133,3,No,Preventive,Open,5.0,31.8,44,30.1
TMS000089,Engineering,AST004343,Ballast,C00094,19.7,Preventive maintenance,Medium,4,3,2,0,60,3,Yes,Preventive,In Progress,12.0,51.0,62,42.4
TMS000090,Engineering,AST002572,Turnout,C00012,80.4,Corrective maintenance,Medium,1,3,3,0,271,3,Yes,Corrective,Open,12.0,51.0,26,36.4
TMS000091,Engineering,AST001264,Ballast,C00095,0.2,Gauge defect,Critical,4,5,2,10,154,4,Yes,Corrective,Scheduled,55.0,100.0,46,62.3
TMS000092,Engineering,AST002840,Track,C00071,3.8,Turnout wear,Low,4,1,2,2,189,5,Yes,Preventive,In Progress,8.0,17.8,36,22.6
TMS000093,Engineering,AST004587,Crossing,C00011,27.2,Ballast deficiency,Medium,2,2,2,0,198,4,Yes,Preventive,Open,12.0,37.0,60,36.0
TMS000094,Engineering,AST000655,Switch,C00095,62.8,Rail crack,Low,2,1,2,12,90,4,Yes,Preventive,Deferred,23.0,17.8,60,31.9
TMS000095,Engineering,AST001643,Bridge,C00036,44.5,Gauge defect,Medium,3,3,2,106,113,2,Yes,Preventive,In Progress,100.0,51.0,52,59.8
TMS000096,Engineering,AST000690,Weld,C00086,103.4,Ballast deficiency,Low,2,3,1,0,81,4,Yes,Preventive,Completed,5.0,45.8,40,32.3
TMS000097,Engineering,AST001256,Track,C00045,102.3,Alignment defect,Medium,4,2,2,0,190,4,No,Preventive,Open,12.0,37.0,36,30.6
TMS000098,Engineering,AST003042,Weld,C00006,5.0,Scheduled inspection,Low,3,2,2,13,34,2,No,Inspection,Scheduled,24.5,31.8,60,38.2
TMS000099,Engineering,AST003507,Turnout,C00016,18.5,Preventive maintenance,Low,3,2,3,82,77,3,Yes,Preventive,In Progress,100.0,31.8,52,54.7
TMS000100,Engineering,AST001563,Turnout,C00036,2.4,Weld defect,Medium,4,3,2,25,133,6,Yes,Preventive,Open,49.5,51.0,52,48.7
TMS000101,Engineering,AST002480,Switch,C00067,118.4,Rail wear,Critical,3,4,2,10,171,4,Yes,Corrective,Deferred,55.0,86.0,48,56.1
TMS000102,Engineering,AST000194,Crossing,C00056,8.8,Drainage issue,Critical,3,5,4,78,118,2,Yes,Corrective,In Progress,100.0,100.0,30,81.2
TMS000103,Engineering,AST004028,Turnout,C00050,42.6,Drainage issue,Low,1,2,1,13,47,2,Yes,Preventive,In Progress,24.5,31.8,30,28.0
TMS000104,Engineering,AST002577,Bridge,C00024,10.0,Weld defect,Low,2,2,2,0,138,3,Yes,Preventive,Scheduled,5.0,31.8,54,32.7
TMS000105,Engineering,AST003453,Sleeper,C00023,15.9,Rail crack,Low,3,2,1,0,179,3,Yes,Preventive,Scheduled,5.0,31.8,44,27.1
TMS000106,Engineering,AST005053,Bridge,C00077,12.5,Gauge defect,Low,1,1,1,0,128,3,Yes,Preventive,Open,5.0,17.8,28,17.3
TMS000107,Engineering,AST003987,Sleeper,C00068,61.2,Weld defect,Medium,3,3,2,33,199,4,Yes,Preventive,Scheduled,61.5,51.0,48,50.6
TMS000108,Engineering,AST001610,Ballast,C00097,0.4,Gauge defect,High,4,4,3,15,106,2,Yes,Corrective,In Progress,47.5,74.8,54,58.7
TMS000109,Engineering,AST005051,Turnout,C00032,5.9,Weld defect,High,2,3,3,110,105,3,Yes,Corrective,Open,100.0,60.8,44,65.1
TMS000110,Engineering,AST000217,Rail,C00035,57.8,Weld defect,Medium,3,2,2,0,154,3,Yes,Preventive,Completed,12.0,37.0,56,35.2
TMS000111,Engineering,AST004979,Sleeper,C00010,56.9,Turnout wear,Medium,1,2,1,0,155,4,Yes,Preventive,Completed,12.0,37.0,54,31.8
TMS000112,Engineering,AST004332,Turnout,C00079,17.9,Alignment defect,Medium,3,4,2,88,217,5,Yes,Preventive,Open,100.0,65.0,24,59.0
TMS000113,Engineering,AST004839,Switch,C00038,30.3,Rail wear,Low,2,2,2,63,154,2,Yes,Preventive,Open,99.5,31.8,46,50.5
TMS000114,Engineering,AST002122,Ballast,C00100,4.2,Ballast deficiency,Medium,4,3,3,0,113,3,Yes,Preventive,Scheduled,12.0,51.0,50,43.0
TMS000115,Engineering,AST003502,Bridge,C00033,2.5,Corrective maintenance,Critical,4,5,4,88,356,4,Yes,Corrective,Open,100.0,100.0,40,83.8
TMS000116,Engineering,AST000689,Ballast,C00007,70.2,Sleeper damage,Medium,3,3,2,54,115,2,No,Preventive,Scheduled,93.0,51.0,68,62.2
TMS000117,Engineering,AST000764,Bridge,C00025,186.9,Turnout wear,High,4,3,2,0,209,3,Yes,Corrective,Completed,25.0,60.8,44,42.1
TMS000118,Engineering,AST002531,Sleeper,C00042,35.5,Scheduled inspection,Low,1,2,2,86,44,1,No,Inspection,Open,100.0,31.8,14,42.9
TMS000119,Engineering,AST000395,Bridge,C00087,22.0,Gauge defect,Medium,2,2,2,0,206,1,Yes,Preventive,Open,12.0,37.0,30,28.8
TMS000120,Engineering,AST002718,Switch,C00092,22.4,Weld defect,Critical,4,5,3,11,69,2,Yes,Corrective,Open,56.5,100.0,42,64.9
TMS000121,Engineering,AST003606,Crossing,C00096,123.7,Rail wear,High,4,4,4,0,110,4,Yes,Corrective,Scheduled,25.0,74.8,62,57.7
TMS000122,Engineering,AST001790,Track,C00043,8.1,Turnout wear,Low,4,2,1,0,182,3,Yes,Preventive,Deferred,5.0,31.8,74,34.3
TMS000123,Engineering,AST003131,Bridge,C00064,22.6,Corrective maintenance,Medium,3,2,3,11,190,2,Yes,Corrective,Open,28.5,37.0,40,38.1
TMS000124,Engineering,AST004899,Ballast,C00028,40.2,Weld defect,Critical,4,4,5,32,107,2,Yes,Corrective,Open,88.0,86.0,34,69.7
TMS000125,Engineering,AST004857,Rail,C00095,38.6,Drainage issue,Low,3,2,1,15,54,3,Yes,Preventive,Open,27.5,31.8,44,32.1
TMS000126,Engineering,AST002500,Crossing,C00049,62.4,Rail crack,Critical,3,4,3,0,222,6,Yes,Corrective,Deferred,40.0,86.0,44,55.6
TMS000127,Engineering,AST003651,Switch,C00053,90.4,Ballast deficiency,High,1,3,3,0,153,1,Yes,Corrective,Completed,25.0,60.8,26,40.9
TMS000128,Engineering,AST000136,Rail,C00090,69.2,Corrective maintenance,High,3,3,3,95,223,4,Yes,Corrective,Scheduled,100.0,60.8,50,66.9
TMS000129,Engineering,AST002056,Sleeper,C00042,11.8,Gauge defect,Medium,2,3,3,124,122,3,Yes,Preventive,Open,100.0,51.0,40,59.8
TMS000130,Engineering,AST002555,Track,C00051,57.7,Corrective maintenance,Low,2,2,1,2,289,4,Yes,Corrective,Open,8.0,31.8,44,27.8
TMS000131,Engineering,AST000818,Rail,C00014,50.9,Scheduled inspection,Medium,3,2,2,0,91,2,No,Inspection,Completed,12.0,37.0,36,30.0
TMS000132,Engineering,AST003824,Sleeper,C00008,69.1,Rail wear,Low,2,2,1,0,73,4,Yes,Preventive,Open,5.0,31.8,50,28.3
TMS000133,Engineering,AST001652,Crossing,C00038,156.5,Turnout wear,High,3,3,3,0,293,3,Yes,Corrective,Completed,25.0,60.8,44,45.1
TMS000134,Engineering,AST004716,Ballast,C00086,127.5,Turnout wear,Low,3,2,2,0,163,4,Yes,Preventive,Completed,5.0,31.8,50,31.3
TMS000135,Engineering,AST004687,Bridge,C00036,46.6,Alignment defect,Medium,3,2,2,0,247,2,Yes,Preventive,Scheduled,12.0,37.0,58,35.6
TMS000136,Engineering,AST002210,Weld,C00082,87.1,Weld defect,Low,2,2,1,0,140,2,Yes,Preventive,Open,5.0,31.8,48,27.9
TMS000137,Engineering,AST002565,Bridge,C00040,54.7,Corrective maintenance,Low,2,2,2,0,211,5,Yes,Corrective,In Progress,5.0,31.8,52,31.1
TMS000138,Engineering,AST004015,Turnout,C00090,62.1,Scheduled inspection,High,3,3,3,0,45,2,Yes,Inspection,Completed,25.0,60.8,70,50.9
TMS000139,Engineering,AST001709,Crossing,C00047,9.6,Preventive maintenance,Low,1,1,2,0,71,2,Yes,Preventive,In Progress,5.0,17.8,42,23.1
TMS000140,Engineering,AST004417,Crossing,C00014,93.8,Drainage issue,Medium,2,3,2,0,114,2,Yes,Preventive,Completed,12.0,51.0,46,38.6
TMS000141,Engineering,AST001048,Turnout,C00093,25.3,Sleeper damage,High,4,2,3,8,74,2,Yes,Corrective,In Progress,37.0,46.8,56,44.8
TMS000142,Engineering,AST002923,Ballast,C00082,93.5,Rail crack,Medium,3,2,3,0,189,5,Yes,Preventive,Open,12.0,37.0,50,37.0
TMS000143,Engineering,AST003492,Rail,C00051,16.6,Alignment defect,High,3,4,4,0,230,4,Yes,Corrective,Open,25.0,74.8,42,53.7
TMS000144,Engineering,AST005171,Weld,C00083,29.0,Weld defect,Low,2,1,1,0,81,4,Yes,Preventive,Completed,5.0,17.8,42,20.7
TMS000145,Engineering,AST004611,Crossing,C00055,4.3,Turnout wear,Medium,1,2,2,14,201,3,Yes,Preventive,Open,33.0,37.0,28,33.1
TMS000146,Engineering,AST002900,Turnout,C00010,44.7,Alignment defect,Low,3,2,1,0,189,4,Yes,Preventive,Open,5.0,31.8,44,27.1
TMS000147,Engineering,AST000570,Track,C00078,110.5,Scheduled inspection,Low,1,2,2,62,90,3,Yes,Inspection,In Progress,98.0,31.8,52,51.7
TMS000148,Engineering,AST003920,Bridge,C00012,101.9,Ballast deficiency,High,4,4,1,12,134,3,Yes,Corrective,Open,43.0,74.8,44,49.1
TMS000149,Engineering,AST003119,Weld,C00020,76.4,Corrective maintenance,Low,2,1,2,38,262,5,Yes,Corrective,Open,62.0,17.8,40,35.4
TMS000150,Engineering,AST005059,Crossing,C00055,23.8,Alignment defect,Medium,4,3,2,0,156,3,No,Preventive,Completed,12.0,51.0,66,43.2
TMS000151,Engineering,AST000316,Switch,C00063,140.9,Rail crack,Medium,3,3,2,6,168,4,Yes,Preventive,Open,21.0,51.0,54,42.2
TMS000152,Engineering,AST000128,Switch,C00056,33.0,Gauge defect,Medium,2,3,2,14,139,2,Yes,Preventive,In Progress,33.0,51.0,18,36.5
TMS000153,Engineering,AST000769,Switch,C00085,216.8,Sleeper damage,Low,2,1,1,0,121,2,Yes,Preventive,Scheduled,5.0,17.8,44,21.1
TMS000154,Engineering,AST004799,Weld,C00032,6.7,Sleeper damage,Critical,5,4,3,0,121,3,Yes,Corrective,Completed,40.0,86.0,42,55.2
TMS000155,Engineering,AST004058,Bridge,C00030,15.6,Drainage issue,Low,3,2,2,0,66,2,Yes,Preventive,Completed,5.0,31.8,46,30.5
TMS000156,Engineering,AST000582,Switch,C00010,24.4,Ballast deficiency,High,4,3,3,0,112,2,Yes,Corrective,Scheduled,25.0,60.8,28,41.3
TMS000157,Engineering,AST004404,Switch,C00087,55.3,Track geometry defect,Low,4,1,1,0,171,3,Yes,Preventive,Open,5.0,17.8,52,23.3
TMS000158,Engineering,AST000948,Weld,C00044,49.8,Corrective maintenance,High,3,4,3,12,223,4,Yes,Corrective,Open,43.0,74.8,48,55.9
TMS000159,Engineering,AST005133,Bridge,C00055,7.9,Preventive maintenance,Medium,5,4,1,0,36,2,Yes,Preventive,Scheduled,12.0,65.0,48,42.0
TMS000160,Engineering,AST005088,Crossing,C00006,10.9,Rail wear,High,4,3,5,33,148,3,Yes,Corrective,Deferred,74.5,60.8,56,64.5
TMS000161,Engineering,AST000706,Bridge,C00081,77.5,Rail wear,High,2,4,3,10,133,2,Yes,Corrective,Open,40.0,74.8,46,54.8
TMS000162,Engineering,AST001332,Crossing,C00013,114.6,Weld defect,Low,1,2,1,0,122,4,No,Preventive,Scheduled,5.0,31.8,28,23.3
TMS000163,Engineering,AST001035,Turnout,C00097,20.8,Weld defect,Low,1,3,1,0,63,3,Yes,Preventive,Scheduled,5.0,45.8,34,30.5
TMS000164,Engineering,AST001391,Bridge,C00092,38.6,Preventive maintenance,Medium,2,2,2,0,52,3,Yes,Preventive,Open,12.0,37.0,54,34.2
TMS000165,Engineering,AST000070,Track,C00046,11.9,Ballast deficiency,Low,3,2,2,0,205,4,Yes,Preventive,Open,5.0,31.8,70,36.5
TMS000166,Engineering,AST004730,Turnout,C00043,16.8,Gauge defect,High,2,4,3,0,179,1,Yes,Corrective,Completed,25.0,74.8,32,47.5
TMS000167,Engineering,AST004586,Sleeper,C00008,10.1,Scheduled inspection,Medium,3,3,1,38,103,3,Yes,Inspection,Open,69.0,51.0,40,47.1
TMS000168,Engineering,AST001665,Crossing,C00034,18.3,Rail wear,Medium,1,3,2,15,190,3,Yes,Preventive,Open,34.5,51.0,20,37.2
TMS000169,Engineering,AST003293,Ballast,C00033,63.8,Rail crack,Low,1,1,2,0,215,5,Yes,Preventive,Scheduled,5.0,17.8,44,24.1
TMS000170,Engineering,AST004309,Sleeper,C00010,38.7,Turnout wear,Critical,5,4,3,41,242,2,Yes,Corrective,Open,100.0,86.0,48,70.1
TMS000171,Engineering,AST003865,Rail,C00063,55.2,Scheduled inspection,Critical,3,4,3,47,41,3,No,Inspection,Open,100.0,86.0,36,69.1
TMS000172,Engineering,AST002249,Ballast,C00053,75.7,Sleeper damage,Low,2,3,2,36,72,2,Yes,Preventive,Open,59.0,45.8,64,52.7
TMS000173,Engineering,AST003789,Turnout,C00067,73.2,Track geometry defect,Medium,3,3,1,13,236,3,Yes,Preventive,Open,31.5,51.0,34,36.9
TMS000174,Engineering,AST002847,Crossing,C00013,56.9,Ballast deficiency,Critical,4,4,3,0,157,4,No,Corrective,Deferred,40.0,86.0,36,53.4
TMS000175,Engineering,AST004849,Rail,C00033,10.9,Drainage issue,Low,2,1,1,0,126,3,Yes,Preventive,Scheduled,5.0,17.8,20,15.1
