asset_id,asset_type,department,corridor_id,location_km,installation_year,asset_age_years,condition_score_1_5,criticality_1_5,last_maintenance_date,next_due_date,failure_history_count,availability_pct,operational_dependency,active_status
AST000070,Track,Engineering,C00046,11.9,2003,22,3,5,2025-04-05,2026-01-02,5,95.4,High,Active
AST000071,Weld,Engineering,C00078,88.2,1997,28,3,1,2024-08-11,2025-06-02,6,93.1,Low,Active
AST000072,Bridge,Engineering,C00055,92.4,1994,31,4,4,2025-02-20,2025-11-05,4,93.9,High,Active
AST000073,Bridge,Engineering,C00021,65.7,2020,5,4,2,2025-04-18,2026-02-28,3,97.4,Low,Active
AST000074,Rail,Engineering,C00041,12.0,1995,30,2,3,2024-03-05,2025-01-16,11,93.0,Medium,Active
AST000075,Turnout,Engineering,C00044,23.4,1995,30,4,4,2024-12-28,2025-08-27,4,94.6,High,Active
AST000076,Switch,Engineering,C00063,71.0,2014,11,4,2,2024-07-20,2025-07-08,3,96.6,Low,Active
AST000077,Bridge,Engineering,C00068,72.8,2024,1,5,4,2025-04-21,2025-12-23,0,100.3,High,Active
AST000078,Rail,Engineering,C00090,84.1,2024,1,5,3,2025-04-13,2026-03-03,2,99.3,Medium,Active
AST000079,Switch,Engineering,C00076,26.4,1985,40,3,3,2025-06-11,2026-05-03,7,91.8,Medium,Active
AST000080,Crossing,Engineering,C00051,21.8,2012,13,3,2,2024-09-17,2025-07-29,7,95.8,Low,Active
AST000081,Switch,Engineering,C00024,28.0,2020,5,4,3,2024-03-30,2024-11-26,2,98.1,Medium,Active
AST000082,Ballast,Engineering,C00057,38.3,1995,30,4,3,2024-10-28,2025-06-01,4,94.2,Medium,Active
AST000083,Crossing,Engineering,C00024,4.5,2005,20,3,2,2024-11-03,2025-09-19,6,94.6,Low,Active
AST000084,Bridge,Engineering,C00056,19.9,2020,5,4,1,2025-03-07,2026-04-06,1,98.1,Low,Active
AST000085,Turnout,Engineering,C00025,397.2,2013,12,3,2,2024-03-01,2025-02-25,4,94.9,Low,Active
AST000086,Turnout,Engineering,C00042,10.1,2022,3,4,1,2024-08-14,2025-08-28,0,98.1,Low,Active
AST000087,Bridge,Engineering,C00097,20.6,1996,29,3,3,2024-05-20,2025-03-08,7,92.9,Medium,Decommissioned
AST000088,Crossing,Engineering,C00052,86.4,2010,15,3,2,2024-01-05,2025-01-08,5,95.6,Low,Active
AST000089,Sleeper,Engineering,C00090,33.8,2009,16,4,2,2025-06-15,2026-05-19,0,97.2,Low,Active
AST000090,Turnout,Engineering,C00057,129.5,2002,23,3,4,2025-04-14,2026-02-09,6,93.6,High,Active
AST000091,Turnout,Engineering,C00012,12.1,2011,14,5,2,2024-02-15,2025-01-23,2,98.4,Low,Active
AST000092,Ballast,Engineering,C00097,3.1,2008,17,4,3,2024-04-30,2025-04-07,3,96.6,Medium,Active
AST000093,Bridge,Engineering,C00007,39.1,1981,44,2,2,2024-05-09,2025-05-11,10,90.3,Low,Active
AST000094,Weld,Engineering,C00078,85.3,2024,1,5,3,2025-03-23,2026-01-23,2,100.3,Medium,Active
AST000095,Ballast,Engineering,C00057,56.4,1976,49,2,4,2024-10-29,2025-08-18,12,90.7,High,Active
AST000096,Bridge,Engineering,C00072,50.3,2015,10,5,4,2024-05-29,2025-03-14,3,98.7,High,Active
AST000097,Ballast,Engineering,C00041,27.8,2011,14,4,5,2025-05-28,2025-12-23,4,96.4,High,Active
AST000098,Ballast,Engineering,C00095,51.2,2017,8,4,3,2024-01-10,2024-07-19,3,97.3,Medium,Active
AST000099,Rail,Engineering,C00017,2.1,2023,2,3,4,2024-04-05,2024-11-26,5,96.6,High,Active
AST000100,Sleeper,Engineering,C00029,94.8,2018,7,5,5,2024-06-11,2024-12-10,1,98.1,High,Active
AST000101,Crossing,Engineering,C00052,74.4,2006,19,5,3,2025-01-28,2025-09-28,3,97.3,Medium,Active
AST000102,Turnout,Engineering,C00039,30.8,1999,26,4,3,2025-02-07,2025-10-24,5,95.1,Medium,Active
AST000103,Weld,Engineering,C00004,19.8,2001,24,4,4,2025-05-26,2025-12-19,1,95.6,High,Active
AST000104,Ballast,Engineering,C00078,11.0,2004,21,4,2,2025-05-05,2026-03-03,6,94.8,Low,Decommissioned
AST000105,Ballast,Engineering,C00045,67.5,2005,20,4,3,2024-04-07,2025-03-17,6,96.4,Medium,Active
AST000106,Switch,Engineering,C00010,58.1,1997,28,4,3,2024-12-14,2025-09-05,5,94.1,Medium,Active
AST000107,Track,Engineering,C00010,13.1,2013,12,4,5,2025-04-27,2025-12-02,0,97.5,High,Active
AST000108,Ballast,Engineering,C00084,181.2,2019,6,4,4,2024-11-27,2025-10-20,2,97.6,High,Active
AST000109,Switch,Engineering,C00008,56.3,1997,28,3,2,2024-01-23,2024-09-05,4,93.8,Low,Active
AST000110,Sleeper,Engineering,C00032,13.1,2022,3,5,4,2024-01-17,2024-09-12,1,99.4,High,Active
AST000111,Ballast,Engineering,C00098,3.6,2015,10,5,2,2025-02-08,2026-01-20,3,97.4,Low,Active
AST000112,Bridge,Engineering,C00091,199.3,2021,4,4,5,2025-02-01,2025-08-06,3,98.4,High,Active
AST000113,Sleeper,Engineering,C00086,88.0,2021,4,5,3,2024-10-20,2025-08-21,0,99.8,Medium,Active
AST000114,Sleeper,Engineering,C00002,48.8,2001,24,4,2,2025-05-20,2026-05-09,3,95.7,Low,Active
AST000115,Sleeper,Engineering,C00075,4.3,2001,24,2,2,2024-08-20,2025-07-11,7,92.3,Low,Active
AST000116,Sleeper,Engineering,C00050,30.2,2007,18,4,5,2024-12-08,2025-06-07,5,96.2,High,Active
AST000117,Rail,Engineering,C00030,69.6,1979,46,4,1,2025-06-11,2026-06-27,8,93.2,Low,Decommissioned
AST000118,Weld,Engineering,C00006,1.0,2015,10,4,5,2024-05-01,2024-11-19,2,98.1,High,Active
AST000119,Weld,Engineering,C00001,276.9,2012,13,5,4,2025-04-26,2025-10-29,0,98.4,High,Active
AST000120,Sleeper,Engineering,C00074,9.8,2011,14,4,2,2025-06-04,2026-06-08,1,96.6,Low,Active
AST000121,Crossing,Engineering,C00091,140.3,2012,13,4,4,2024-09-27,2025-06-06,4,97.7,High,Active
AST000122,Turnout,Engineering,C00040,79.9,2000,25,3,1,2025-03-10,2026-03-06,6,93.4,Low,Active
AST000123,Rail,Engineering,C00037,49.2,2011,14,4,5,2024-11-30,2025-05-13,2,96.8,High,Active
AST000124,Sleeper,Engineering,C00003,70.7,2010,15,5,4,2024-03-15,2024-08-19,3,96.9,High,Active
AST000125,Crossing,Engineering,C00014,94.7,2002,23,5,3,2025-05-26,2026-03-25,2,96.1,Medium,Active
AST000126,Track,Engineering,C00058,65.1,2021,4,4,4,2025-04-05,2025-12-25,5,97.2,High,Active
AST000127,Crossing,Engineering,C00086,118.1,2006,19,5,3,2025-04-26,2026-03-09,3,96.9,Medium,Active
AST000128,Switch,Engineering,C00056,33.0,2018,7,5,1,2024-04-08,2025-03-14,3,99.5,Low,Active
AST000129,Crossing,Engineering,C00053,113.4,2021,4,4,2,2024-03-31,2025-02-22,0,97.4,Low,Active
AST000130,Turnout,Engineering,C00065,57.0,2017,8,5,3,2025-06-16,2026-03-12,1,97.6,Medium,Active
AST000131,Sleeper,Engineering,C00094,165.2,1976,49,3,4,2024-06-13,2025-01-04,9,90.4,High,Decommissioned
AST000132,Weld,Engineering,C00095,8.9,2022,3,4,4,2025-04-17,2025-11-27,2,98.6,High,Active
AST000133,Weld,Engineering,C00055,39.2,2020,5,4,4,2025-01-16,2025-10-24,1,98.6,High,Active
AST000134,Ballast,Engineering,C00062,26.7,2024,1,3,3,2024-07-16,2025-05-01,3,96.0,Medium,Active
AST000135,Crossing,Engineering,C00075,32.2,2016,9,4,2,2025-03-30,2026-02-23,1,97.3,Low,Active
AST000136,Rail,Engineering,C00090,69.2,2012,13,5,4,2024-11-26,2025-06-18,1,97.7,High,Active
AST000137,Bridge,Engineering,C00063,75.5,2021,4,5,4,2025-05-28,2025-11-19,0,99.3,High,Active
AST000138,Crossing,Engineering,C00028,3.5,1989,36,3,2,2025-03-08,2025-12-09,7,92.8,Low,Active
AST000139,Weld,Engineering,C00071,23.4,2010,15,4,4,2025-05-14,2026-03-14,4,96.2,High,Active
AST000140,Switch,Engineering,C00081,34.7,1976,49,3,2,2025-03-21,2026-01-15,8,90.5,Low,Active
AST000141,Ballast,Engineering,C00020,5.7,2001,24,5,2,2024-12-06,2025-12-29,5,96.4,Low,Active
AST000142,Weld,Engineering,C00008,98.0,1982,43,3,3,2025-03-26,2025-12-19,9,91.8,Medium,Active
AST000143,Turnout,Engineering,C00098,3.7,2023,2,5,4,2025-03-19,2025-12-05,3,100.2,High,Active
AST000144,Sleeper,Engineering,C00085,37.0,2016,9,4,3,2024-09-01,2025-05-08,2,96.6,Medium,Active
AST000145,Switch,Engineering,C00051,52.8,1993,32,4,4,2024-07-09,2025-03-15,7,94.3,High,Active
AST000146,Rail,Engineering,C00058,17.8,1987,38,2,3,2024-06-06,2025-03-15,8,90.8,Medium,Active
AST000147,Weld,Engineering,C00013,84.3,2014,11,5,4,2025-02-04,2025-09-24,2,97.3,High,Active
AST000148,Sleeper,Engineering,C00099,1.7,2014,11,4,2,2025-02-18,2025-12-14,2,97.6,Low,Active
AST000149,Rail,Engineering,C00090,56.6,1997,28,3,4,2024-06-23,2025-03-07,6,93.3,High,Active
AST000150,Sleeper,Engineering,C00057,115.3,2021,4,4,1,2025-03-22,2026-02-12,1,98.7,Low,Active
AST000151,Turnout,Engineering,C00076,78.4,2024,1,4,4,2024-12-24,2025-09-21,1,97.8,High,Active
AST000152,Sleeper,Engineering,C00080,13.1,2024,1,5,2,2025-04-25,2026-01-15,0,99.9,Low,Active
AST000153,Sleeper,Engineering,C00051,9.9,2009,16,4,4,2024-11-15,2025-06-14,0,95.9,High,Active
AST000154,Ballast,Engineering,C00088,43.1,2012,13,4,3,2025-06-03,2026-02-09,4,96.8,Medium,Active
AST000155,Crossing,Engineering,C00048,45.7,2021,4,5,3,2024-06-11,2025-03-08,1,98.8,Medium,Active
AST000156,Crossing,Engineering,C00053,0.7,2005,20,5,2,2025-05-31,2026-04-07,4,96.1,Low,Decommissioned
AST000157,Track,Engineering,C00004,98.9,1993,32,3,3,2025-04-10,2025-12-23,8,92.7,Medium,Active
AST000158,Track,Engineering,C00051,7.3,2018,7,4,2,2024-08-08,2025-06-10,2,97.6,Low,Active
AST000159,Bridge,Engineering,C00006,17.9,2017,8,5,5,2024-12-03,2025-06-01,2,98.8,High,Active
AST000160,Track,Engineering,C00025,250.9,2013,12,4,4,2024-12-19,2025-06-18,1,96.4,High,Active
AST000161,Track,Engineering,C00081,38.3,2012,13,5,2,2025-06-05,2026-06-03,2,97.3,Low,Active
AST000162,Ballast,Engineering,C00044,49.1,2022,3,4,4,2025-04-11,2025-10-19,4,98.0,High,Active
AST000163,Track,Engineering,C00033,61.0,2001,24,4,3,2025-04-13,2025-12-27,3,95.8,Medium,Active
AST000164,Turnout,Engineering,C00033,44.8,2017,8,5,2,2025-02-19,2025-11-04,2,99.5,Low,Active
AST000165,Crossing,Engineering,C00026,196.8,2019,6,4,4,2025-04-23,2025-10-21,0,98.0,High,Active
AST000166,Crossing,Engineering,C00033,15.7,2007,18,3,2,2025-04-19,2026-03-02,5,95.8,Low,Active
AST000167,Sleeper,Engineering,C00034,5.3,1989,36,3,2,2025-06-14,2026-03-29,9,93.0,Low,Active
AST000168,Turnout,Engineering,C00012,58.3,1979,46,3,2,2024-12-14,2025-10-12,5,92.4,Low,Active
AST000169,Bridge,Engineering,C00009,71.4,2022,3,4,2,2025-02-16,2025-12-18,1,97.7,Low,Active
AST000170,Switch,Engineering,C00045,91.0,1981,44,3,3,2024-10-15,2025-07-31,7,91.8,Medium,Active
AST000171,Switch,Engineering,C00056,30.2,2000,25,3,2,2024-03-23,2025-01-30,3,94.8,Low,Decommissioned
AST000172,Rail,Engineering,C00096,82.5,2015,10,4,2,2025-01-24,2025-12-16,0,97.9,Low,Active
AST000173,Sleeper,Engineering,C00092,36.4,2021,4,4,4,2025-05-23,2026-01-12,2,97.7,High,Active
AST000174,Crossing,Engineering,C00032,11.7,2007,18,4,3,2024-02-02,2024-10-26,4,96.7,Medium,Active
AST000175,Turnout,Engineering,C00019,89.3,2013,12,5,4,2024-05-31,2025-02-02,1,98.5,High,Active
AST000176,Rail,Engineering,C00066,6.4,1978,47,2,2,2025-05-26,2026-03-12,9,90.1,Low,Active
AST000177,Ballast,Engineering,C00079,18.1,2016,9,4,2,2025-03-29,2026-02-13,2,96.6,Low,Active
AST000178,Sleeper,Engineering,C00083,39.4,2013,12,4,3,2024-10-05,2025-07-02,1,97.3,Medium,Active
AST000179,Track,Engineering,C00063,115.0,2011,14,5,2,2024-01-21,2024-11-23,1,98.5,Low,Active
AST000180,Weld,Engineering,C00056,37.1,2023,2,5,2,2025-05-01,2026-02-19,1,99.8,Low,Active
AST000181,Sleeper,Engineering,C00078,19.9,2016,9,5,1,2025-02-22,2026-01-31,1,98.4,Low,Active
AST000182,Weld,Engineering,C00051,46.6,2000,25,4,3,2025-06-02,2026-03-26,4,94.7,Medium,Active
AST000183,Switch,Engineering,C00007,100.6,2001,24,3,3,2024-12-04,2025-09-22,4,93.7,Medium,Active
AST000184,Crossing,Engineering,C00063,152.6,1985,40,4,2,2025-02-09,2025-12-20,6,93.2,Low,Active
AST000185,Track,Engineering,C00029,32.3,1996,29,3,3,2025-05-01,2026-02-23,6,93.9,Medium,Active
AST000186,Ballast,Engineering,C00028,9.8,2007,18,4,2,2024-11-16,2025-09-18,3,95.9,Low,Active
AST000187,Crossing,Engineering,C00031,7.4,2014,11,4,3,2025-05-06,2026-02-07,2,97.4,Medium,Active
AST000188,Crossing,Engineering,C00083,23.4,2002,23,4,3,2024-07-09,2025-02-13,4,96.1,Medium,Active
AST000189,Track,Engineering,C00001,414.5,1978,47,2,3,2025-04-12,2025-11-22,7,89.9,Medium,Active
AST000190,Ballast,Engineering,C00087,72.3,2013,12,3,3,2025-05-30,2026-03-25,7,94.7,Medium,Active
AST000191,Weld,Engineering,C00097,13.7,2015,10,5,4,2024-10-21,2025-07-29,1,98.2,High,Active
AST000192,Sleeper,Engineering,C00050,46.3,2001,24,4,2,2025-06-04,2026-05-13,5,95.6,Low,Active
AST000193,Switch,Engineering,C00001,250.7,2024,1,5,4,2025-01-18,2025-10-26,2,100.2,High,Active
AST000194,Crossing,Engineering,C00056,8.8,2020,5,4,2,2025-01-01,2025-11-27,3,98.0,Low,Active
AST000195,Crossing,Engineering,C00013,83.7,2018,7,5,5,2025-04-04,2026-01-12,1,98.3,High,Active
AST000196,Crossing,Engineering,C00022,101.4,2016,9,4,1,2024-05-09,2025-04-21,3,98.0,Low,Active
AST000197,Turnout,Engineering,C00055,52.1,2016,9,4,2,2025-02-26,2025-12-30,2,96.9,Low,Active
AST000198,Track,Engineering,C00062,1.3,1979,46,3,2,2024-07-26,2025-06-18,10,91.9,Low,Active
AST000199,Track,Engineering,C00070,28.7,2013,12,4,3,2025-04-10,2026-02-13,1,97.1,Medium,Active
AST000200,Turnout,Engineering,C00046,21.2,2009,16,5,4,2025-02-05,2025-09-05,3,96.7,High,Active
AST000201,Ballast,Engineering,C00003,54.9,2013,12,4,4,2024-12-27,2025-08-15,4,96.7,High,Active
AST000202,Sleeper,Engineering,C00023,2.4,1986,39,2,3,2024-06-19,2025-03-24,9,92.0,Medium,Active
AST000203,Track,Engineering,C00032,2.0,2012,13,5,2,2024-02-23,2024-12-10,2,97.0,Low,Active
AST000204,Crossing,Engineering,C00079,28.2,2013,12,4,1,2025-05-04,2026-04-09,3,97.4,Low,Active
AST000205,Rail,Engineering,C00050,27.4,2012,13,4,3,2024-02-03,2024-10-31,3,96.3,Medium,Active
AST000206,Crossing,Engineering,C00031,38.4,2009,16,3,1,2025-05-16,2026-03-18,3,95.5,Low,Active
AST000207,Switch,Engineering,C00083,85.2,1988,37,3,3,2025-06-15,2026-03-07,8,92.4,Medium,Active
AST000208,Bridge,Engineering,C00008,31.5,1975,50,3,2,2024-12-22,2025-11-01,12,90.5,Low,Active
AST000209,Turnout,Engineering,C00028,20.1,2002,23,4,2,2025-05-22,2026-05-15,5,95.1,Low,Active
AST000210,Bridge,Engineering,C00039,28.2,1988,37,4,4,2025-06-13,2026-01-15,5,94.0,High,Active
AST000211,Weld,Engineering,C00043,6.5,2007,18,4,3,2025-05-08,2026-02-11,4,96.6,Medium,Active
AST000212,Sleeper,Engineering,C00052,9.8,2015,10,4,2,2024-03-13,2024-12-17,1,96.3,Low,Active
AST000213,Bridge,Engineering,C00063,72.4,1996,29,4,2,2025-05-19,2026-05-03,5,94.3,Low,Active
AST000214,Switch,Engineering,C00027,17.3,2022,3,4,3,2024-05-30,2025-03-07,3,98.3,Medium,Active
AST000215,Bridge,Engineering,C00075,7.1,1986,39,4,2,2024-10-16,2025-10-13,5,93.8,Low,Active
AST000216,Turnout,Engineering,C00053,22.0,2005,20,4,3,2024-04-12,2024-11-27,0,95.0,Medium,Active
AST000217,Rail,Engineering,C00035,57.8,2001,24,3,4,2024-01-17,2024-08-11,4,94.0,High,Active
AST000218,Crossing,Engineering,C00056,26.6,1985,40,2,2,2025-01-17,2026-01-06,8,91.7,Low,Active
AST000219,Switch,Engineering,C00090,32.7,2005,20,2,3,2025-02-15,2025-12-16,5,93.8,Medium,Active
AST000220,Ballast,Engineering,C00025,300.3,2012,13,4,3,2025-01-14,2025-09-20,5,97.6,Medium,Active
AST000221,Weld,Engineering,C00036,36.1,2004,21,4,2,2025-04-06,2026-02-04,4,95.6,Low,Active
AST000222,Track,Engineering,C00055,81.1,2014,11,5,3,2025-03-16,2025-12-31,0,98.3,Medium,Active
AST000223,Weld,Engineering,C00029,66.4,2013,12,4,2,2024-07-19,2025-07-11,2,96.6,Low,Active
AST000224,Weld,Engineering,C00083,1.4,2013,12,5,3,2025-05-30,2026-01-18,0,97.3,Medium,Active
AST000225,Track,Engineering,C00048,44.7,1987,38,3,4,2024-04-17,2024-12-15,7,92.9,High,Active
AST000226,Switch,Engineering,C00009,75.5,2018,7,5,3,2024-05-16,2025-01-28,1,98.2,Medium,Active
AST000227,Bridge,Engineering,C00067,45.0,2011,14,4,2,2025-02-21,2025-12-15,2,97.0,Low,Active
AST000228,Track,Engineering,C00030,50.9,1998,27,4,3,2025-05-08,2026-04-08,5,95.8,Medium,Active
AST000229,Track,Engineering,C00063,82.4,2023,2,5,3,2025-06-08,2026-03-31,1,100.0,Medium,Active
AST000230,Switch,Engineering,C00029,68.3,1999,26,4,4,2024-08-17,2025-03-22,6,95.9,High,Active
AST000231,Sleeper,Engineering,C00025,254.1,1985,40,4,2,2025-06-02,2026-04-05,6,93.9,Low,Active
AST000232,Crossing,Engineering,C00002,113.7,2019,6,4,2,2024-11-28,2025-10-27,2,96.8,Low,Active
AST000233,Ballast,Engineering,C00068,131.3,2017,8,3,4,2025-05-07,2026-01-27,4,95.5,High,Active
AST000234,Ballast,Engineering,C00088,25.0,2012,13,4,5,2025-05-30,2025-12-09,5,96.6,High,Active
AST000235,Ballast,Engineering,C00084,140.9,2015,10,4,2,2024-10-06,2025-09-28,5,96.9,Low,Active
AST000236,Rail,Engineering,C00079,43.5,1981,44,3,2,2025-01-11,2026-01-27,10,91.4,Low,Active
AST000237,Crossing,Engineering,C00046,13.9,2012,13,4,5,2025-05-10,2026-01-24,2,96.7,High,Active
AST000238,Rail,Engineering,C00070,28.0,2019,6,4,2,2024-12-02,2025-11-04,2,97.9,Low,Active
AST000239,Rail,Engineering,C00070,28.4,2020,5,5,2,2024-05-05,2025-03-10,0,98.4,Low,Active
