task_id,asset_id,asset_type,corridor_id,location_km,defect_or_task,defect_category,severity,criticality_1_5,safety_risk_1_5,operational_impact_1_5,reported_date,due_date,overdue_days,estimated_duration_min,required_team_size,maintenance_type,weather_sensitive,possession_required,status
TMS000023,AST003204,Switch,C00037,62.8,Rail wear,Rail Defect,Low,3,2,1,2025-05-12,2025-06-17,14,132,3,Preventive,No,Yes,Open
TMS000024,AST001773,Bridge,C00065,54.5,Sleeper damage,Sleeper Defect,Low,2,2,2,2025-02-11,2025-03-18,0,136,4,Preventive,Yes,Yes,Completed
TMS000025,AST000233,Ballast,C00068,131.3,Alignment defect,Track Geometry,Medium,3,3,2,2025-02-13,2025-02-27,124,148,3,Preventive,No,Yes,Scheduled
TMS000026,AST002056,Sleeper,C00042,11.8,Alignment defect,Track Geometry,Critical,5,5,5,2025-05-21,2025-05-28,34,287,3,Corrective,No,Yes,Open
TMS000027,AST003894,Switch,C00093,68.9,Preventive maintenance,Preventive,Low,4,2,1,2025-02-07,2025-03-24,99,36,4,Preventive,No,Yes,Scheduled
TMS000028,AST001133,Switch,C00076,100.4,Rail wear,Rail Defect,Medium,3,3,2,2025-03-06,2025-03-26,97,110,3,Preventive,No,Yes,Open
TMS000029,AST000749,Ballast,C00052,158.0,Corrective maintenance,Corrective,Low,1,1,1,2025-06-09,2025-07-13,0,212,3,Corrective,No,Yes,Scheduled
TMS000030,AST001263,Sleeper,C00063,130.7,Corrective maintenance,Corrective,Medium,3,2,1,2025-03-27,2025-04-24,68,244,3,Corrective,No,Yes,Open
TMS000031,AST001568,Rail,C00041,30.5,Track geometry defect,Track Geometry,Medium,3,3,5,2025-05-23,2025-06-16,15,226,4,Preventive,No,Yes,Open
TMS000032,AST002076,Track,C00037,70.1,Gauge defect,Track Geometry,High,3,4,3,2025-05-04,2025-05-17,45,49,2,Corrective,No,Yes,Scheduled
TMS000033,AST001251,Turnout,C00022,63.0,Weld defect,Rail Defect,Low,2,2,2,2025-06-07,2025-07-19,0,73,3,Preventive,No,No,In Progress
TMS000034,AST001159,Bridge,C00056,34.6,Rail crack,Rail Defect,Low,2,3,2,2025-05-10,2025-06-24,7,156,4,Preventive,Yes,Yes,Scheduled
TMS000035,AST004022,Crossing,C00012,16.0,Rail crack,Rail Defect,Low,1,1,1,2025-06-21,2025-08-13,0,168,2,Preventive,Yes,Yes,Open
TMS000036,AST004868,Turnout,C00038,101.8,Turnout wear,Turnout/Switch Defect,Low,3,2,2,2025-06-07,2025-07-25,0,229,3,Preventive,No,No,Open
TMS000037,AST001130,Track,C00069,8.4,Scheduled inspection,Inspection,Medium,2,2,1,2025-02-22,2025-03-16,0,62,2,Inspection,No,No,Completed
TMS000038,AST001584,Weld,C00081,31.3,Rail crack,Rail Defect,Low,2,1,1,2025-05-30,2025-07-06,0,201,4,Preventive,Yes,Yes,Open
TMS000039,AST000711,Bridge,C00012,7.4,Alignment defect,Track Geometry,Medium,1,3,2,2025-06-22,2025-07-17,0,143,3,Preventive,Yes,Yes,Completed
TMS000040,AST003550,Sleeper,C00038,138.4,Drainage issue,Drainage,Medium,2,2,2,2025-02-25,2025-03-20,103,100,2,Preventive,Yes,No,Open
TMS000041,AST000131,Sleeper,C00094,165.2,Alignment defect,Track Geometry,Low,3,1,1,2025-06-12,2025-08-03,0,157,3,Preventive,Yes,Yes,Completed
TMS000042,AST000138,Crossing,C00028,3.5,Preventive maintenance,Preventive,Low,2,1,3,2025-05-22,2025-07-03,0,75,3,Preventive,No,Yes,Completed
TMS000043,AST003611,Track,C00029,90.1,Rail crack,Rail Defect,Low,2,1,2,2025-05-12,2025-06-11,20,164,4,Preventive,No,Yes,Open
TMS000044,AST001486,Crossing,C00083,105.5,Drainage issue,Drainage,Low,3,2,1,2025-06-16,2025-07-28,0,87,4,Preventive,Yes,Yes,In Progress
TMS000045,AST002355,Sleeper,C00034,33.6,Sleeper damage,Sleeper Defect,Medium,3,2,2,2025-04-07,2025-04-28,0,96,3,Preventive,No,Yes,Completed
TMS000046,AST002365,Rail,C00061,52.1,Alignment defect,Track Geometry,Medium,3,2,1,2025-04-28,2025-05-20,42,153,3,Preventive,Yes,No,Open
TMS000047,AST003602,Rail,C00079,11.2,Turnout wear,Turnout/Switch Defect,Medium,2,2,1,2025-03-11,2025-04-04,88,281,3,Preventive,No,Yes,Open
TMS000048,AST004781,Weld,C00074,18.3,Rail crack,Rail Defect,Low,2,1,1,2025-05-28,2025-07-06,0,194,5,Preventive,Yes,Yes,Completed
TMS000049,AST003212,Ballast,C00080,24.1,Gauge defect,Track Geometry,Medium,3,3,2,2025-05-23,2025-06-19,12,223,1,Preventive,No,Yes,Scheduled
TMS000050,AST000708,Sleeper,C00049,115.1,Rail crack,Rail Defect,High,2,4,1,2025-06-17,2025-06-27,4,163,2,Corrective,Yes,Yes,Open
TMS000051,AST003721,Switch,C00032,9.2,Drainage issue,Drainage,Medium,3,4,2,2025-06-21,2025-07-16,0,81,4,Preventive,No,Yes,Open
TMS000052,AST002996,Bridge,C00003,14.5,Track geometry defect,Track Geometry,Medium,2,3,2,2025-06-12,2025-07-07,0,262,5,Preventive,Yes,Yes,Completed
TMS000053,AST004534,Crossing,C00086,237.3,Alignment defect,Track Geometry,Low,2,1,2,2025-06-03,2025-07-09,0,129,1,Preventive,Yes,Yes,In Progress
TMS000054,AST002207,Bridge,C00064,44.7,Sleeper damage,Sleeper Defect,Medium,2,2,2,2025-06-17,2025-07-08,0,117,1,Preventive,No,Yes,Completed
TMS000055,AST004019,Rail,C00066,12.3,Sleeper damage,Sleeper Defect,Medium,3,2,1,2025-06-12,2025-07-04,0,33,3,Preventive,No,Yes,Deferred
TMS000056,AST005271,Ballast,C00028,79.2,Scheduled inspection,Inspection,Medium,3,2,2,2025-04-14,2025-05-10,0,49,4,Inspection,No,Yes,Completed
TMS000057,AST004744,Crossing,C00005,85.3,Ballast deficiency,Ballast Defect,High,3,3,3,2025-05-19,2025-05-28,34,142,5,Corrective,Yes,No,Scheduled
TMS000058,AST001983,Weld,C00072,57.0,Alignment defect,Track Geometry,Low,3,1,2,2025-04-10,2025-05-27,35,125,2,Preventive,Yes,Yes,Open
TMS000059,AST005022,Bridge,C00068,136.9,Turnout wear,Turnout/Switch Defect,Medium,5,3,3,2025-03-03,2025-04-01,91,192,3,Preventive,No,Yes,Open
TMS000060,AST005231,Weld,C00075,7.9,Weld defect,Rail Defect,Medium,1,3,2,2025-05-07,2025-05-27,0,208,5,Preventive,No,Yes,Completed
TMS000061,AST001018,Ballast,C00035,77.5,Corrective maintenance,Corrective,Medium,3,3,2,2025-03-17,2025-04-11,0,238,3,Corrective,Yes,Yes,Completed
TMS000062,AST003864,Switch,C00039,18.1,Corrective maintenance,Corrective,Critical,4,4,4,2025-06-11,2025-06-16,15,255,4,Corrective,No,Yes,Scheduled
TMS000063,AST004616,Track,C00017,2.8,Rail wear,Rail Defect,Medium,2,3,1,2025-03-02,2025-03-27,96,100,2,Preventive,No,No,Open
TMS000064,AST001321,Sleeper,C00038,163.0,Ballast deficiency,Ballast Defect,Critical,2,4,4,2025-05-24,2025-05-26,36,72,3,Corrective,No,No,Open
TMS000065,AST000013,Bridge,C00001,354.9,Ballast deficiency,Ballast Defect,Critical,4,4,3,2025-02-16,2025-02-20,131,63,4,Corrective,Yes,Yes,Open
TMS000066,AST003226,Bridge,C00011,196.0,Track geometry defect,Track Geometry,Low,3,1,1,2025-06-30,2025-08-19,0,169,2,Preventive,No,Yes,Open
TMS000067,AST004229,Weld,C00049,72.3,Scheduled inspection,Inspection,Medium,2,2,1,2025-06-22,2025-07-09,0,117,4,Inspection,No,Yes,Scheduled
TMS000068,AST001106,Switch,C00025,262.9,Ballast deficiency,Ballast Defect,Low,1,2,1,2025-03-18,2025-05-05,57,97,4,Preventive,Yes,Yes,In Progress
TMS000069,AST003049,Rail,C00052,113.0,Rail crack,Rail Defect,Medium,2,2,3,2025-06-23,2025-07-10,0,172,4,Preventive,Yes,Yes,Open
TMS000070,AST002612,Sleeper,C00016,38.0,Alignment defect,Track Geometry,Low,4,2,1,2025-06-25,2025-08-17,0,204,4,Preventive,Yes,Yes,In Progress
TMS000071,AST000208,Bridge,C00008,31.5,Preventive maintenance,Preventive,Critical,2,4,4,2025-05-22,2025-05-28,34,44,4,Preventive,No,Yes,In Progress
TMS000072,AST002687,Ballast,C00024,43.2,Ballast deficiency,Ballast Defect,Critical,4,4,2,2025-06-17,2025-06-23,8,274,3,Corrective,No,Yes,Open
TMS000073,AST001464,Weld,C00043,11.3,Sleeper damage,Sleeper Defect,Medium,3,2,3,2025-06-16,2025-07-06,0,101,1,Preventive,No,Yes,Scheduled
TMS000074,AST001213,Sleeper,C00041,2.2,Weld defect,Rail Defect,Medium,3,1,3,2025-05-07,2025-05-31,31,85,2,Preventive,No,No,Open
TMS000075,AST002223,Rail,C00056,13.6,Drainage issue,Drainage,High,3,3,3,2025-04-02,2025-04-09,83,74,1,Corrective,Yes,Yes,Open
TMS000076,AST002317,Ballast,C00046,18.1,Ballast deficiency,Ballast Defect,Medium,2,4,3,2025-05-16,2025-06-10,21,119,2,Preventive,Yes,Yes,Scheduled
TMS000077,AST000372,Turnout,C00065,24.3,Scheduled inspection,Inspection,Medium,2,3,2,2025-06-27,2025-07-22,0,75,4,Inspection,No,Yes,Open
TMS000078,AST000023,Rail,C00089,37.1,Track geometry defect,Track Geometry,High,4,3,3,2025-04-28,2025-05-12,50,189,4,Corrective,Yes,Yes,Scheduled
TMS000079,AST000542,Track,C00096,33.6,Ballast deficiency,Ballast Defect,Medium,1,2,3,2025-05-21,2025-06-10,21,118,5,Preventive,Yes,Yes,Open
TMS000080,AST000883,Weld,C00045,66.8,Ballast deficiency,Ballast Defect,Medium,2,4,3,2025-03-16,2025-04-01,0,159,4,Preventive,Yes,Yes,Completed
TMS000081,AST003907,Turnout,C00055,6.2,Drainage issue,Drainage,Medium,1,2,2,2025-05-02,2025-05-22,40,121,1,Preventive,Yes,Yes,Open
TMS000082,AST004612,Switch,C00008,44.0,Turnout wear,Turnout/Switch Defect,Low,4,2,1,2025-05-16,2025-07-07,0,156,4,Preventive,Yes,Yes,Open
TMS000083,AST002467,Turnout,C00048,33.7,Gauge defect,Track Geometry,High,3,2,4,2025-04-08,2025-04-19,73,192,2,Corrective,No,Yes,Open
TMS000084,AST000990,Weld,C00037,71.0,Gauge defect,Track Geometry,High,4,3,4,2025-06-01,2025-06-09,0,205,5,Corrective,No,Yes,Completed
TMS000085,AST002616,Sleeper,C00060,24.6,Rail crack,Rail Defect,Low,2,1,2,2025-06-20,2025-08-02,0,154,2,Preventive,Yes,Yes,Open
TMS000086,AST000036,Crossing,C00017,3.1,Scheduled inspection,Inspection,Critical,3,4,3,2025-02-07,2025-02-14,137,53,1,Inspection,No,No,Open
TMS000087,AST005195,Rail,C00098,2.3,Alignment defect,Track Geometry,Low,3,1,2,2025-06-29,2025-08-18,0,231,2,Preventive,No,Yes,Scheduled
TMS000088,AST004967,Weld,C00044,39.7,Weld defect,Rail Defect,Low,2,2,2,2025-06-18,2025-08-02,0,133,3,Preventive,No,No,Open
TMS000089,AST004343,Ballast,C00094,19.7,Preventive maintenance,Preventive,Medium,4,3,2,2025-06-25,2025-07-21,0,60,3,Preventive,No,Yes,In Progress
TMS000090,AST002572,Turnout,C00012,80.4,Corrective maintenance,Corrective,Medium,1,3,3,2025-06-13,2025-07-01,0,271,3,Corrective,Yes,Yes,Open
TMS000091,AST001264,Ballast,C00095,0.2,Gauge defect,Track Geometry,Critical,4,5,2,2025-06-16,2025-06-21,10,154,4,Corrective,No,Yes,Scheduled
TMS000092,AST002840,Track,C00071,3.8,Turnout wear,Turnout/Switch Defect,Low,4,1,2,2025-05-11,2025-06-29,2,189,5,Preventive,No,Yes,In Progress
TMS000093,AST004587,Crossing,C00011,27.2,Ballast deficiency,Ballast Defect,Medium,2,2,2,2025-06-13,2025-07-08,0,198,4,Preventive,Yes,Yes,Open
TMS000094,AST000655,Switch,C00095,62.8,Rail crack,Rail Defect,Low,2,1,2,2025-04-24,2025-06-19,12,90,4,Preventive,Yes,Yes,Deferred
TMS000095,AST001643,Bridge,C00036,44.5,Gauge defect,Track Geometry,Medium,3,3,2,2025-03-01,2025-03-17,106,113,2,Preventive,No,Yes,In Progress
TMS000096,AST000690,Weld,C00086,103.4,Ballast deficiency,Ballast Defect,Low,2,3,1,2025-06-21,2025-07-28,0,81,4,Preventive,Yes,Yes,Completed
TMS000097,AST001256,Track,C00045,102.3,Alignment defect,Track Geometry,Medium,4,2,2,2025-06-27,2025-07-20,0,190,4,Preventive,Yes,No,Open
TMS000098,AST003042,Weld,C00006,5.0,Scheduled inspection,Inspection,Low,3,2,2,2025-05-20,2025-06-18,13,34,2,Inspection,No,No,Scheduled
TMS000099,AST003507,Turnout,C00016,18.5,Preventive maintenance,Preventive,Low,3,2,3,2025-02-19,2025-04-10,82,77,3,Preventive,No,Yes,In Progress
TMS000100,AST001563,Turnout,C00036,2.4,Weld defect,Rail Defect,Medium,4,3,2,2025-05-15,2025-06-06,25,133,6,Preventive,Yes,Yes,Open
TMS000101,AST002480,Switch,C00067,118.4,Rail wear,Rail Defect,Critical,3,4,2,2025-06-15,2025-06-21,10,171,4,Corrective,No,Yes,Deferred
TMS000102,AST000194,Crossing,C00056,8.8,Drainage issue,Drainage,Critical,3,5,4,2025-04-09,2025-04-14,78,118,2,Corrective,No,Yes,In Progress
TMS000103,AST004028,Turnout,C00050,42.6,Drainage issue,Drainage,Low,1,2,1,2025-05-07,2025-06-18,13,47,2,Preventive,Yes,Yes,In Progress
TMS000104,AST002577,Bridge,C00024,10.0,Weld defect,Rail Defect,Low,2,2,2,2025-06-04,2025-07-08,0,138,3,Preventive,Yes,Yes,Scheduled
TMS000105,AST003453,Sleeper,C00023,15.9,Rail crack,Rail Defect,Low,3,2,1,2025-06-20,2025-07-21,0,179,3,Preventive,Yes,Yes,Scheduled
TMS000106,AST005053,Bridge,C00077,12.5,Gauge defect,Track Geometry,Low,1,1,1,2025-06-23,2025-08-08,0,128,3,Preventive,No,Yes,Open
TMS000107,AST003987,Sleeper,C00068,61.2,Weld defect,Rail Defect,Medium,3,3,2,2025-05-06,2025-05-29,33,199,4,Preventive,No,Yes,Scheduled
TMS000108,AST001610,Ballast,C00097,0.4,Gauge defect,Track Geometry,High,4,4,3,2025-06-08,2025-06-16,15,106,2,Corrective,No,Yes,In Progress
TMS000109,AST005051,Turnout,C00032,5.9,Weld defect,Rail Defect,High,2,3,3,2025-03-03,2025-03-13,110,105,3,Corrective,No,Yes,Open
TMS000110,AST000217,Rail,C00035,57.8,Weld defect,Rail Defect,Medium,3,2,2,2025-06-07,2025-06-29,0,154,3,Preventive,Yes,Yes,Completed
TMS000111,AST004979,Sleeper,C00010,56.9,Turnout wear,Turnout/Switch Defect,Medium,1,2,1,2025-05-19,2025-06-10,0,155,4,Preventive,No,Yes,Completed
TMS000112,AST004332,Turnout,C00079,17.9,Alignment defect,Track Geometry,Medium,3,4,2,2025-03-12,2025-04-04,88,217,5,Preventive,No,Yes,Open
TMS000113,AST004839,Switch,C00038,30.3,Rail wear,Rail Defect,Low,2,2,2,2025-03-20,2025-04-29,63,154,2,Preventive,Yes,Yes,Open
TMS000114,AST002122,Ballast,C00100,4.2,Ballast deficiency,Ballast Defect,Medium,4,3,3,2025-06-29,2025-07-25,0,113,3,Preventive,Yes,Yes,Scheduled
TMS000115,AST003502,Bridge,C00033,2.5,Corrective maintenance,Corrective,Critical,4,5,4,2025-03-31,2025-04-04,88,356,4,Corrective,Yes,Yes,Open
TMS000116,AST000689,Ballast,C00007,70.2,Sleeper damage,Sleeper Defect,Medium,3,3,2,2025-04-24,2025-05-08,54,115,2,Preventive,No,No,Scheduled
TMS000117,AST000764,Bridge,C00025,186.9,Turnout wear,Turnout/Switch Defect,High,4,3,2,2025-06-07,2025-06-14,0,209,3,Corrective,No,Yes,Completed
TMS000118,AST002531,Sleeper,C00042,35.5,Scheduled inspection,Inspection,Low,1,2,2,2025-02-28,2025-04-06,86,44,1,Inspection,No,No,Open
TMS000119,AST000395,Bridge,C00087,22.0,Gauge defect,Track Geometry,Medium,2,2,2,2025-06-12,2025-07-01,0,206,1,Preventive,No,Yes,Open
TMS000120,AST002718,Switch,C00092,22.4,Weld defect,Rail Defect,Critical,4,5,3,2025-06-16,2025-06-20,11,69,2,Corrective,No,Yes,Open
TMS000121,AST003606,Crossing,C00096,123.7,Rail wear,Rail Defect,High,4,4,4,2025-06-23,2025-07-03,0,110,4,Corrective,No,Yes,Scheduled
TMS000122,AST001790,Track,C00043,8.1,Turnout wear,Turnout/Switch Defect,Low,4,2,1,2025-06-21,2025-08-03,0,182,3,Preventive,No,Yes,Deferred
TMS000123,AST003131,Bridge,C00064,22.6,Corrective maintenance,Corrective,Medium,3,2,3,2025-05-25,2025-06-20,11,190,2,Corrective,No,Yes,Open
TMS000124,AST004899,Ballast,C00028,40.2,Weld defect,Rail Defect,Critical,4,4,5,2025-05-25,2025-05-30,32,107,2,Corrective,No,Yes,Open
TMS000125,AST004857,Rail,C00095,38.6,Drainage issue,Drainage,Low,3,2,1,2025-05-07,2025-06-16,15,54,3,Preventive,No,Yes,Open
TMS000126,AST002500,Crossing,C00049,62.4,Rail crack,Rail Defect,Critical,3,4,3,2025-06-30,2025-07-05,0,222,6,Corrective,No,Yes,Deferred
TMS000127,AST003651,Switch,C00053,90.4,Ballast deficiency,Ballast Defect,High,1,3,3,2025-06-23,2025-07-01,0,153,1,Corrective,Yes,Yes,Completed
TMS000128,AST000136,Rail,C00090,69.2,Corrective maintenance,Corrective,High,3,3,3,2025-03-15,2025-03-28,95,223,4,Corrective,No,Yes,Scheduled
TMS000129,AST002056,Sleeper,C00042,11.8,Gauge defect,Track Geometry,Medium,2,3,3,2025-02-05,2025-02-27,124,122,3,Preventive,No,Yes,Open
TMS000130,AST002555,Track,C00051,57.7,Corrective maintenance,Corrective,Low,2,2,1,2025-05-25,2025-06-29,2,289,4,Corrective,No,Yes,Open
TMS000131,AST000818,Rail,C00014,50.9,Scheduled inspection,Inspection,Medium,3,2,2,2025-05-03,2025-05-26,0,91,2,Inspection,No,No,Completed
TMS000132,AST003824,Sleeper,C00008,69.1,Rail wear,Rail Defect,Low,2,2,1,2025-06-16,2025-08-01,0,73,4,Preventive,No,Yes,Open
TMS000133,AST001652,Crossing,C00038,156.5,Turnout wear,Turnout/Switch Defect,High,3,3,3,2025-06-04,2025-06-15,0,293,3,Corrective,No,Yes,Completed
TMS000134,AST004716,Ballast,C00086,127.5,Turnout wear,Turnout/Switch Defect,Low,3,2,2,2025-05-17,2025-06-25,0,163,4,Preventive,No,Yes,Completed
TMS000135,AST004687,Bridge,C00036,46.6,Alignment defect,Track Geometry,Medium,3,2,2,2025-06-11,2025-07-05,0,247,2,Preventive,Yes,Yes,Scheduled
TMS000136,AST002210,Weld,C00082,87.1,Weld defect,Rail Defect,Low,2,2,1,2025-06-11,2025-07-18,0,140,2,Preventive,No,Yes,Open
TMS000137,AST002565,Bridge,C00040,54.7,Corrective maintenance,Corrective,Low,2,2,2,2025-06-15,2025-08-06,0,211,5,Corrective,No,Yes,In Progress
TMS000138,AST004015,Turnout,C00090,62.1,Scheduled inspection,Inspection,High,3,3,3,2025-06-08,2025-06-16,0,45,2,Inspection,No,Yes,Completed
TMS000139,AST001709,Crossing,C00047,9.6,Preventive maintenance,Preventive,Low,1,1,2,2025-06-19,2025-07-22,0,71,2,Preventive,No,Yes,In Progress
TMS000140,AST004417,Crossing,C00014,93.8,Drainage issue,Drainage,Medium,2,3,2,2025-05-04,2025-06-02,0,114,2,Preventive,No,Yes,Completed
TMS000141,AST001048,Turnout,C00093,25.3,Sleeper damage,Sleeper Defect,High,4,2,3,2025-06-15,2025-06-23,8,74,2,Corrective,No,Yes,In Progress
TMS000142,AST002923,Ballast,C00082,93.5,Rail crack,Rail Defect,Medium,3,2,3,2025-06-25,2025-07-17,0,189,5,Preventive,Yes,Yes,Open
TMS000143,AST003492,Rail,C00051,16.6,Alignment defect,Track Geometry,High,3,4,4,2025-06-28,2025-07-07,0,230,4,Corrective,Yes,Yes,Open
TMS000144,AST005171,Weld,C00083,29.0,Weld defect,Rail Defect,Low,2,1,1,2025-03-30,2025-05-15,0,81,4,Preventive,No,Yes,Completed
TMS000145,AST004611,Crossing,C00055,4.3,Turnout wear,Turnout/Switch Defect,Medium,1,2,2,2025-05-31,2025-06-17,14,201,3,Preventive,No,Yes,Open
TMS000146,AST002900,Turnout,C00010,44.7,Alignment defect,Track Geometry,Low,3,2,1,2025-06-25,2025-08-13,0,189,4,Preventive,No,Yes,Open
TMS000147,AST000570,Track,C00078,110.5,Scheduled inspection,Inspection,Low,1,2,2,2025-03-09,2025-04-30,62,90,3,Inspection,No,Yes,In Progress
TMS000148,AST003920,Bridge,C00012,101.9,Ballast deficiency,Ballast Defect,High,4,4,1,2025-06-09,2025-06-19,12,134,3,Corrective,Yes,Yes,Open
TMS000149,AST003119,Weld,C00020,76.4,Corrective maintenance,Corrective,Low,2,1,2,2025-04-24,2025-05-24,38,262,5,Corrective,No,Yes,Open
TMS000150,AST005059,Crossing,C00055,23.8,Alignment defect,Track Geometry,Medium,4,3,2,2025-06-16,2025-07-15,0,156,3,Preventive,Yes,No,Completed
TMS000151,AST000316,Switch,C00063,140.9,Rail crack,Rail Defect,Medium,3,3,2,2025-06-03,2025-06-25,6,168,4,Preventive,Yes,Yes,Open
TMS000152,AST000128,Switch,C00056,33.0,Gauge defect,Track Geometry,Medium,2,3,2,2025-06-01,2025-06-17,14,139,2,Preventive,No,Yes,In Progress
TMS000153,AST000769,Switch,C00085,216.8,Sleeper damage,Sleeper Defect,Low,2,1,1,2025-06-19,2025-07-29,0,121,2,Preventive,No,Yes,Scheduled
TMS000154,AST004799,Weld,C00032,6.7,Sleeper damage,Sleeper Defect,Critical,5,4,3,2025-05-24,2025-05-29,0,121,3,Corrective,No,Yes,Completed
TMS000155,AST004058,Bridge,C00030,15.6,Drainage issue,Drainage,Low,3,2,2,2025-06-17,2025-08-12,0,66,2,Preventive,No,Yes,Completed
TMS000156,AST000582,Switch,C00010,24.4,Ballast deficiency,Ballast Defect,High,4,3,3,2025-06-29,2025-07-07,0,112,2,Corrective,Yes,Yes,Scheduled
TMS000157,AST004404,Switch,C00087,55.3,Track geometry defect,Track Geometry,Low,4,1,1,2025-05-11,2025-07-05,0,171,3,Preventive,No,Yes,Open
TMS000158,AST000948,Weld,C00044,49.8,Corrective maintenance,Corrective,High,3,4,3,2025-06-10,2025-06-19,12,223,4,Corrective,No,Yes,Open
TMS000159,AST005133,Bridge,C00055,7.9,Preventive maintenance,Preventive,Medium,5,4,1,2025-06-21,2025-07-17,0,36,2,Preventive,No,Yes,Scheduled
TMS000160,AST005088,Crossing,C00006,10.9,Rail wear,Rail Defect,High,4,3,5,2025-05-19,2025-05-29,33,148,3,Corrective,No,Yes,Deferred
TMS000161,AST000706,Bridge,C00081,77.5,Rail wear,Rail Defect,High,2,4,3,2025-06-10,2025-06-21,10,133,2,Corrective,No,Yes,Open
TMS000162,AST001332,Crossing,C00013,114.6,Weld defect,Rail Defect,Low,1,2,1,2025-06-28,2025-08-16,0,122,4,Preventive,No,No,Scheduled
TMS000163,AST001035,Turnout,C00097,20.8,Weld defect,Rail Defect,Low,1,3,1,2025-06-01,2025-07-04,0,63,3,Preventive,No,Yes,Scheduled
TMS000164,AST001391,Bridge,C00092,38.6,Preventive maintenance,Preventive,Medium,2,2,2,2025-06-19,2025-07-04,0,52,3,Preventive,No,Yes,Open
TMS000165,AST000070,Track,C00046,11.9,Ballast deficiency,Ballast Defect,Low,3,2,2,2025-06-18,2025-08-01,0,205,4,Preventive,Yes,Yes,Open
