block_window_id,block_date,corridor_id,window_start,window_end,available_duration_min,task_id,asset_id,task_duration_min,predicted_priority,request_priority,severity,safety_risk,maintenance_type
COA001149,2025-06-23,C00078,04:39,05:34,55,SMMS000570,AST006641,52,58.94286346435547,Medium,Medium,3,Corrective
COA000476,2025-06-14,C00077,08:38,10:11,93,TMS005872,AST000267,31,58.520450592041016,Medium,Medium,3,Preventive
COA000276,2025-06-24,C00040,17:59,19:53,114,TMS004998,AST002798,110,58.27979278564453,High,High,4,Corrective
COA000001,2025-06-28,C00027,18:27,19:42,75,SMMS000041,AST006087,53,58.257930755615234,Medium,Medium,3,Corrective
COA000569,2025-06-19,C00020,07:55,10:26,151,TMS004118,AST002459,144,58.147151947021484,High,High,3,Corrective
COA000308,2025-06-22,C00041,15:53,17:14,81,TMS005616,AST004809,54,57.94357681274414,High,High,3,Inspection
COA000417,2025-06-07,C00027,12:05,14:41,156,TMS001912,AST001424,99,57.886085510253906,Medium,Medium,3,Preventive
COA000015,2025-06-09,C00031,18:04,21:02,178,SMMS001251,AST006933,103,57.6995849609375,High,High,4,Preventive
COA000074,2025-06-13,C00049,15:28,17:54,146,TMS000250,AST000688,95,57.683082580566406,High,High,3,Corrective
COA000178,2025-06-25,C00060,10:44,12:07,83,TMS004182,AST002571,81,57.678619384765625,Medium,Medium,3,Preventive
COA000430,2025-06-14,C00049,13:28,15:56,148,TMS000678,AST003725,99,57.56301498413086,Low,Low,3,Preventive
COA000694,2025-06-16,C00011,04:11,05:59,108,TMS001727,AST002833,78,57.51044464111328,High,High,2,Preventive
COA000189,2025-06-24,C00041,04:13,06:52,159,TMS000914,AST001373,82,57.4510612487793,Medium,Medium,3,Preventive
COA001024,2025-06-02,C00058,04:07,05:39,92,TMS002761,AST001071,53,57.41082000732422,High,High,3,Preventive
COA000462,2025-06-25,C00027,16:50,19:18,148,TMS004977,AST003540,84,57.290771484375,High,High,4,Preventive
COA000409,2025-06-25,C00097,11:45,14:16,151,SMMS000690,AST007490,106,57.23863220214844,Critical,Critical,4,Corrective
COA000344,2025-06-07,C00077,04:25,07:22,177,TMS003413,AST004989,44,57.190460205078125,Medium,Medium,4,Preventive
COA001372,2025-06-15,C00051,14:33,17:16,163,TMS003908,AST004556,162,57.10578918457031,Medium,Medium,3,Preventive
COA000765,2025-06-24,C00035,07:33,10:18,165,TMS000596,AST000513,135,57.095848083496094,Medium,Medium,3,Preventive
COA001393,2025-06-23,C00068,11:45,14:16,151,SMMS001537,AST008316,100,56.729305267333984,Medium,Medium,3,Preventive
COA001242,2025-06-04,C00019,19:51,20:41,50,TMS000679,AST004908,34,56.72065353393555,Medium,Medium,2,Preventive
COA000110,2025-06-05,C00062,02:43,05:28,165,TMS003472,AST003872,39,56.4355354309082,High,High,3,Inspection
COA001287,2025-06-16,C00013,06:00,08:34,154,TMS003171,AST000439,98,56.40998840332031,High,High,4,Corrective
COA000298,2025-06-07,C00065,01:12,03:27,135,TMS004038,AST003091,111,56.386688232421875,Medium,Medium,3,Preventive
COA000021,2025-06-17,C00086,14:38,15:25,47,TMS005366,AST004534,40,56.265625,Medium,Medium,3,Inspection
COA001021,2025-06-13,C00066,00:39,03:30,171,TMS003978,AST004804,143,56.17666244506836,High,High,3,Corrective
COA000823,2025-06-18,C00088,13:22,15:05,103,SMMS001260,AST008064,98,56.04319763183594,Low,Low,2,Corrective
COA001116,2025-06-23,C00090,09:45,10:40,55,SMMS000265,AST007469,36,55.85950469970703,Medium,Medium,2,Preventive
COA000680,2025-06-04,C00010,01:24,03:49,145,SMMS001286,AST007781,123,55.847782135009766,High,High,3,Corrective
COA001464,2025-06-28,C00030,14:42,17:18,156,TMS000255,AST003583,95,55.71949768066406,High,High,4,Corrective
COA000705,2025-06-10,C00069,09:41,12:23,162,SMMS000953,AST007814,140,55.61651611328125,High,High,3,Preventive
COA000737,2025-06-05,C00038,15:15,18:03,168,TMS003122,AST003013,125,55.59790802001953,High,High,3,Corrective
COA000553,2025-06-10,C00007,00:02,02:22,140,SMMS001332,AST008114,70,55.557518005371094,High,High,4,Corrective
COA000808,2025-06-16,C00073,13:53,14:38,45,TMS004382,AST004907,43,55.524269104003906,Medium,Medium,3,Inspection
COA000020,2025-06-18,C00057,04:00,06:56,176,TMS005531,AST000150,93,55.36039733886719,High,High,4,Inspection
COA001053,2025-06-20,C00047,18:02,21:01,179,TMS003929,AST003689,79,55.190147399902344,High,High,3,Inspection
COA001087,2025-06-24,C00019,08:31,11:10,159,TMS002938,AST002764,100,55.133548736572266,High,High,4,Corrective
COA001033,2025-06-18,C00016,02:11,04:53,162,TMS002471,AST001662,138,54.9481201171875,High,High,4,Corrective
COA001325,2025-06-05,C00006,15:10,17:28,138,TMS002490,AST001964,94,54.928680419921875,Medium,Medium,2,Preventive
COA000368,2025-06-16,C00075,15:54,17:58,124,TMS001386,AST002942,116,54.760711669921875,Medium,Medium,3,Preventive
COA000888,2025-06-12,C00077,10:07,11:20,73,TMS004445,AST004842,71,54.74857711791992,High,High,4,Inspection
COA001065,2025-06-12,C00060,00:28,02:49,141,TMS002826,AST003510,52,54.53652572631836,High,High,4,Preventive
COA000796,2025-06-15,C00046,05:59,08:28,149,TMS000076,AST002317,119,54.495582580566406,Medium,Medium,4,Preventive
COA000408,2025-06-21,C00078,02:35,04:56,141,TMS000003,AST000826,91,54.48744583129883,Medium,Medium,3,Preventive
COA001053,2025-06-20,C00047,18:02,21:01,179,TMS001327,AST000705,66,54.43936538696289,Medium,Medium,2,Preventive
COA000734,2025-06-08,C00014,05:48,08:38,170,TMS005599,AST000714,64,54.423580169677734,High,High,4,Corrective
COA000119,2025-06-02,C00003,16:37,19:11,154,SMMS000067,AST006065,137,54.33694076538086,Medium,Medium,2,Corrective
COA001205,2025-06-07,C00044,03:29,05:36,127,TMS003446,AST004597,50,54.28020095825195,High,High,3,Inspection
COA000150,2025-06-29,C00087,05:19,07:45,146,SMMS001647,AST008149,77,54.1649284362793,Critical,Critical,4,Corrective
COA000922,2025-06-11,C00006,09:30,11:53,143,SMMS001472,AST005979,134,53.902748107910156,Critical,Critical,3,Corrective
COA000203,2025-06-01,C00091,13:06,15:49,163,SMMS001382,AST008242,117,53.81276321411133,High,High,4,Corrective
COA000087,2025-06-28,C00100,01:20,02:47,87,TMS001187,AST000019,78,53.65614318847656,High,High,4,Preventive
COA001288,2025-06-22,C00085,11:29,14:04,155,SMMS000934,AST006378,83,53.4997673034668,High,High,4,Corrective
COA000063,2025-06-07,C00085,06:04,08:08,124,TMS001000,AST002413,106,53.43265914916992,Medium,Medium,3,Preventive
COA000484,2025-06-23,C00018,13:35,15:38,123,TMS000470,AST002160,110,53.39499282836914,High,High,4,Corrective
COA000649,2025-06-27,C00033,11:58,13:07,69,TMS001623,AST003068,69,53.35737609863281,Medium,Medium,2,Inspection
COA001249,2025-06-12,C00083,00:16,03:04,168,TMS002689,AST003446,51,53.32011795043945,Medium,Medium,2,Preventive
COA000614,2025-06-04,C00099,10:04,11:27,83,TMS000824,AST002230,72,53.29069519042969,Medium,Medium,2,Inspection
COA000682,2025-06-30,C00001,12:03,13:41,98,TMS002516,AST003528,67,53.00009536743164,Low,Low,2,Preventive
COA000936,2025-06-29,C00069,13:34,15:41,127,TMS003685,AST000375,122,52.9931640625,High,High,4,Corrective
COA000248,2025-06-13,C00064,05:20,07:27,127,TMS001551,AST004760,125,52.97574996948242,Low,Low,3,Preventive
COA000189,2025-06-24,C00041,04:13,06:52,159,TMS003840,AST005220,37,52.87538528442383,Medium,Medium,2,Preventive
COA000685,2025-06-29,C00100,05:10,07:48,158,TMS004536,AST002695,86,52.674137115478516,Medium,Medium,2,Preventive
COA000243,2025-06-09,C00008,10:05,10:40,35,TMS003412,AST001419,34,52.5659294128418,High,High,4,Inspection
COA000347,2025-06-26,C00002,01:12,02:46,94,TMS000306,AST001532,48,52.46213150024414,Medium,Medium,2,Preventive
COA000294,2025-06-16,C00091,00:05,02:25,140,SMMS001445,AST008406,93,52.36604690551758,High,High,4,Corrective
COA000938,2025-06-25,C00083,18:33,20:59,146,TMS002283,AST000497,97,52.06298828125,High,High,3,Corrective
COA001023,2025-06-06,C00003,00:41,03:17,156,TMS000210,AST000269,135,52.04310989379883,Medium,Medium,2,Preventive
COA000525,2025-06-28,C00007,09:49,11:40,111,SMMS001071,AST006870,67,51.94669723510742,Critical,Critical,4,Corrective
COA001423,2025-06-07,C00049,05:20,08:06,166,TMS001861,AST001732,162,51.936798095703125,High,High,4,Corrective
COA000379,2025-06-04,C00017,18:06,20:20,134,TMS002071,AST000099,90,51.87996292114258,High,High,3,Corrective
COA000838,2025-06-12,C00060,05:30,07:56,146,TMS005423,AST004823,97,51.830345153808594,Low,Low,2,Inspection
COA000943,2025-06-09,C00022,13:15,15:23,128,TMS001558,AST001089,114,51.77443313598633,Medium,Medium,3,Preventive
COA000895,2025-06-13,C00040,05:22,06:06,44,SMMS001256,AST005844,37,51.68353271484375,High,High,3,Corrective
COA001463,2025-06-04,C00026,09:46,11:50,124,TMS005583,AST004708,106,51.62028121948242,Medium,Medium,4,Inspection
COA000296,2025-06-21,C00041,08:54,11:29,155,TMS002568,AST003525,148,51.395870208740234,Low,Low,2,Preventive
COA001144,2025-06-10,C00009,09:01,11:29,148,TMS005076,AST001204,126,51.17865753173828,High,High,3,Corrective
COA000752,2025-06-24,C00001,05:38,08:07,149,TMS003674,AST002058,111,51.093788146972656,Low,Low,2,Preventive
COA000898,2025-06-26,C00002,03:16,05:33,137,SMMS000251,AST007881,96,50.94520950317383,High,High,2,Preventive
COA000479,2025-06-25,C00074,01:12,03:54,162,TMS005117,AST004841,115,50.91147232055664,Medium,Medium,2,Preventive
COA000532,2025-06-06,C00081,08:54,11:11,137,SMMS000567,AST006574,61,50.8848991394043,Medium,Medium,3,Corrective
COA000068,2025-06-01,C00023,06:59,09:49,170,TMS005827,AST001507,136,50.8027229309082,Low,Low,2,Preventive
COA000849,2025-06-29,C00033,19:38,20:48,70,TMS004496,AST004849,51,50.64079666137695,High,High,4,Preventive
COA000369,2025-06-07,C00004,04:27,06:00,93,TMS004749,AST002241,50,50.6214714050293,Medium,Medium,2,Preventive
COA001196,2025-06-24,C00003,19:29,22:27,178,SMMS001407,AST005289,128,50.61925506591797,High,High,4,Corrective
COA001226,2025-06-06,C00014,04:48,06:25,97,TMS005602,AST000378,77,50.50447463989258,Medium,Medium,2,Preventive
COA000764,2025-06-19,C00004,08:12,11:08,176,TMS001043,AST003413,149,50.48440170288086,High,High,3,Corrective
COA000939,2025-06-05,C00041,07:12,09:57,165,TMS001047,AST000257,155,50.37519454956055,Medium,Medium,3,Preventive
COA001128,2025-06-08,C00042,14:23,16:37,134,TMS001381,AST000086,121,50.189666748046875,High,High,4,Preventive
COA000477,2025-06-26,C00050,18:24,21:06,162,TMS004251,AST002047,117,50.11505889892578,High,High,3,Corrective
COA000151,2025-06-22,C00064,17:08,20:07,179,TMS003347,AST004770,96,50.09159851074219,Low,Low,2,Preventive
COA000997,2025-06-30,C00096,05:47,07:21,94,SMMS000533,AST008586,81,50.03873062133789,Medium,Medium,3,Preventive
COA000668,2025-06-24,C00014,15:59,18:58,179,TMS001472,AST004387,147,49.85633087158203,Medium,Medium,2,Preventive
COA000753,2025-06-09,C00009,15:09,16:52,103,SMMS001517,AST005807,55,49.760868072509766,Medium,Medium,2,Corrective
COA000572,2025-06-12,C00076,03:38,05:51,133,TMS000810,AST000056,81,49.691978454589844,Medium,Medium,4,Preventive
COA000589,2025-06-17,C00092,00:54,03:11,137,TMS004123,AST002310,88,49.68241500854492,Low,Low,2,Preventive
COA000622,2025-06-13,C00022,02:24,05:24,180,SMMS000900,AST007586,174,49.633541107177734,Medium,Medium,3,Inspection
COA000843,2025-06-19,C00051,13:13,15:00,107,TMS002937,AST002120,80,49.61964416503906,Low,Low,2,Preventive
COA001317,2025-06-02,C00091,04:52,06:39,107,TMS000360,AST000112,74,49.593055725097656,Low,Low,2,Preventive
COA000380,2025-06-30,C00089,00:11,02:02,111,TMS001875,AST003128,104,49.432804107666016,High,High,3,Preventive
COA000139,2025-06-25,C00093,10:08,11:25,77,TMS000027,AST003894,36,49.29445266723633,Low,Low,2,Preventive
COA001080,2025-06-18,C00091,16:16,18:46,150,TMS001283,AST000281,119,49.01292037963867,High,High,2,Corrective
COA001340,2025-06-03,C00059,16:36,17:56,80,TMS004885,AST002364,67,48.99598693847656,Medium,Medium,1,Preventive
COA001336,2025-06-11,C00053,01:26,03:44,138,TMS000172,AST002249,72,48.97134780883789,Low,Low,3,Preventive
COA001141,2025-06-13,C00077,07:18,08:19,61,TMS000464,AST002000,48,48.902130126953125,Medium,Medium,2,Preventive
COA000071,2025-06-10,C00034,17:18,19:36,138,TMS003151,AST002355,77,48.7859001159668,Low,Low,2,Preventive
COA000548,2025-06-14,C00031,02:20,04:36,136,TMS002285,AST002785,119,48.71723556518555,Low,Low,2,Preventive
COA000690,2025-06-10,C00011,15:32,17:35,123,TMS000813,AST004263,98,48.62418746948242,Low,Low,3,Preventive
COA000213,2025-06-09,C00013,07:38,10:09,151,TMS003168,AST000195,105,48.4577751159668,Low,Low,2,Preventive
COA001484,2025-06-26,C00017,12:33,14:05,92,TMS005986,AST004110,43,48.45138931274414,Medium,Medium,3,Preventive
COA001415,2025-06-30,C00013,13:30,16:30,180,TMS000510,AST001118,179,48.35883712768555,High,High,3,Corrective
