block_window_id,block_date,corridor_id,window_start,window_end,available_duration_min,tasks_scheduled,total_task_duration,average_priority,maximum_priority,utilization_pct
COA000144,2025-06-01,C00051,06:55,09:47,172,1,110,32.08220672607422,32.08220672607422,63.95348837209303
COA000150,2025-06-29,C00087,05:19,07:45,146,1,77,54.1649284362793,54.1649284362793,52.73972602739726
COA000151,2025-06-22,C00064,17:08,20:07,179,1,96,50.09159851074219,50.09159851074219,53.63128491620112
COA000157,2025-06-30,C00080,18:39,21:31,172,1,50,67.5630874633789,67.5630874633789,29.069767441860467
COA000165,2025-06-22,C00080,06:44,09:10,146,1,97,22.04288673400879,22.04288673400879,66.43835616438356
COA000173,2025-06-23,C00032,08:07,09:50,103,1,47,30.236675262451172,30.236675262451172,45.63106796116505
COA000175,2025-06-14,C00039,06:06,08:49,163,1,104,35.69047164916992,35.69047164916992,63.80368098159509
COA000177,2025-06-28,C00040,09:31,12:08,157,2,137,32.526384353637695,35.81829071044922,87.26114649681529
COA000178,2025-06-25,C00060,10:44,12:07,83,1,81,57.678619384765625,57.678619384765625,97.59036144578313
COA000179,2025-06-27,C00082,10:59,13:44,165,1,93,40.01371383666992,40.01371383666992,56.36363636363636
COA000180,2025-06-29,C00095,04:59,07:33,154,1,136,27.04163360595703,27.04163360595703,88.31168831168831
COA000185,2025-06-14,C00003,13:27,14:53,86,1,73,41.93967819213867,41.93967819213867,84.88372093023256
COA000188,2025-06-24,C00071,07:13,09:52,159,1,125,34.85811996459961,34.85811996459961,78.61635220125787
COA000189,2025-06-24,C00041,04:13,06:52,159,2,119,55.16322326660156,57.4510612487793,74.84276729559748
COA000192,2025-06-01,C00024,00:31,02:14,103,1,101,44.24654006958008,44.24654006958008,98.05825242718447
COA000195,2025-06-19,C00039,16:58,19:19,141,1,131,31.906179428100586,31.906179428100586,92.90780141843972
COA000196,2025-06-13,C00003,11:18,13:19,121,1,86,36.151458740234375,36.151458740234375,71.07438016528926
COA000200,2025-06-18,C00053,14:42,17:13,151,1,138,72.57376861572266,72.57376861572266,91.3907284768212
COA000201,2025-06-12,C00073,15:27,17:32,125,1,61,20.526111602783203,20.526111602783203,48.8
COA000203,2025-06-01,C00091,13:06,15:49,163,1,117,53.81276321411133,53.81276321411133,71.77914110429448
COA000205,2025-06-18,C00042,17:56,19:44,108,1,83,25.038528442382812,25.038528442382812,76.85185185185185
COA000207,2025-06-29,C00015,10:20,13:01,161,1,134,35.54290008544922,35.54290008544922,83.22981366459628
COA000213,2025-06-09,C00013,07:38,10:09,151,1,105,48.4577751159668,48.4577751159668,69.5364238410596
COA000215,2025-06-23,C00087,05:21,06:51,90,1,41,26.677574157714844,26.677574157714844,45.55555555555556
COA000216,2025-06-20,C00097,07:55,10:35,160,1,155,29.898649215698242,29.898649215698242,96.875
COA000218,2025-06-06,C00030,06:33,08:50,137,1,122,47.58542251586914,47.58542251586914,89.05109489051095
COA000222,2025-06-16,C00065,15:27,16:33,66,1,61,47.1363410949707,47.1363410949707,92.42424242424242
COA000229,2025-06-11,C00002,08:40,11:07,147,1,77,40.4484977722168,40.4484977722168,52.38095238095239
COA000231,2025-06-14,C00015,05:36,07:59,143,1,132,26.272706985473633,26.272706985473633,92.3076923076923
COA000234,2025-06-29,C00087,02:59,05:57,178,1,121,30.705110549926758,30.705110549926758,67.97752808988764
COA000235,2025-06-22,C00015,18:11,21:04,173,1,87,34.30342483520508,34.30342483520508,50.28901734104046
COA000236,2025-06-19,C00070,03:48,04:51,63,1,61,45.47441864013672,45.47441864013672,96.82539682539682
COA000239,2025-06-22,C00045,11:36,13:24,108,1,108,61.301177978515625,61.301177978515625,100.0
COA000240,2025-06-12,C00013,10:23,11:42,79,1,78,78.09130859375,78.09130859375,98.73417721518987
COA000241,2025-06-07,C00026,16:32,19:04,152,1,108,29.013450622558594,29.013450622558594,71.05263157894737
COA000243,2025-06-09,C00008,10:05,10:40,35,1,34,52.5659294128418,52.5659294128418,97.14285714285714
COA000248,2025-06-13,C00064,05:20,07:27,127,1,125,52.97574996948242,52.97574996948242,98.4251968503937
COA000249,2025-06-11,C00055,18:27,21:00,153,2,146,39.05423450469971,59.123992919921875,95.42483660130719
COA000250,2025-06-21,C00065,11:25,14:18,173,1,99,36.62614822387695,36.62614822387695,57.22543352601156
COA000253,2025-06-06,C00063,09:43,11:49,126,1,72,38.76649856567383,38.76649856567383,57.14285714285714
COA000254,2025-06-07,C00094,15:36,18:19,163,1,119,30.68692970275879,30.68692970275879,73.00613496932516
COA000256,2025-06-05,C00013,13:48,16:43,175,1,128,60.651615142822266,60.651615142822266,73.14285714285714
COA000269,2025-06-28,C00016,11:41,12:46,65,1,65,63.23378372192383,63.23378372192383,100.0
COA000270,2025-06-14,C00056,12:58,15:57,179,1,156,36.63232421875,36.63232421875,87.15083798882681
COA000275,2025-06-10,C00013,18:46,21:40,174,1,130,47.91828918457031,47.91828918457031,74.71264367816092
COA000276,2025-06-24,C00040,17:59,19:53,114,1,110,58.27979278564453,58.27979278564453,96.49122807017544
COA000277,2025-06-15,C00010,01:51,03:59,128,1,90,40.427886962890625,40.427886962890625,70.3125
COA000289,2025-06-11,C00014,06:15,09:02,167,1,138,65.1375732421875,65.1375732421875,82.63473053892216
COA000291,2025-06-12,C00023,05:56,07:20,84,1,34,31.043508529663086,31.043508529663086,40.476190476190474
COA000292,2025-06-16,C00060,17:25,19:50,145,1,126,35.433143615722656,35.433143615722656,86.89655172413792
COA000293,2025-06-05,C00078,03:28,05:36,128,1,76,29.119583129882812,29.119583129882812,59.375
COA000294,2025-06-16,C00091,00:05,02:25,140,1,93,52.36604690551758,52.36604690551758,66.42857142857143
COA000296,2025-06-21,C00041,08:54,11:29,155,1,148,51.395870208740234,51.395870208740234,95.48387096774194
COA000298,2025-06-07,C00065,01:12,03:27,135,1,111,56.386688232421875,56.386688232421875,82.22222222222221
COA000300,2025-06-01,C00100,07:18,08:18,60,1,43,62.04521179199219,62.04521179199219,71.66666666666667
COA000306,2025-06-28,C00031,10:00,11:59,119,1,31,36.257686614990234,36.257686614990234,26.05042016806723
COA000308,2025-06-22,C00041,15:53,17:14,81,1,54,57.94357681274414,57.94357681274414,66.66666666666666
COA000309,2025-06-24,C00014,16:20,17:44,84,1,74,33.35560607910156,33.35560607910156,88.09523809523809
COA000310,2025-06-09,C00094,14:22,17:21,179,1,132,34.51018524169922,34.51018524169922,73.74301675977654
COA000311,2025-06-30,C00005,02:36,05:20,164,1,145,71.67794799804688,71.67794799804688,88.41463414634147
COA000313,2025-06-06,C00097,09:52,12:46,174,1,60,40.7564582824707,40.7564582824707,34.48275862068966
COA000318,2025-06-03,C00009,00:13,02:37,144,1,106,70.98066711425781,70.98066711425781,73.61111111111111
COA000325,2025-06-28,C00029,17:15,19:47,152,1,75,76.82542419433594,76.82542419433594,49.34210526315789
COA000326,2025-06-22,C00001,08:25,11:16,171,1,127,31.41425895690918,31.41425895690918,74.26900584795322
COA000327,2025-06-28,C00026,06:16,07:39,83,1,71,35.898990631103516,35.898990631103516,85.54216867469879
COA000328,2025-06-16,C00066,03:47,04:54,67,1,49,28.93509864807129,28.93509864807129,73.13432835820896
COA000332,2025-06-10,C00051,15:47,18:36,169,1,87,36.18301773071289,36.18301773071289,51.4792899408284
COA000338,2025-06-25,C00005,15:56,16:54,58,1,49,32.843353271484375,32.843353271484375,84.48275862068965
COA000340,2025-06-09,C00023,16:16,16:54,38,1,36,72.37390899658203,72.37390899658203,94.73684210526315
COA000341,2025-06-03,C00052,10:46,12:09,83,1,32,40.626731872558594,40.626731872558594,38.55421686746988
COA000343,2025-06-25,C00029,06:45,08:17,92,1,84,45.822113037109375,45.822113037109375,91.30434782608695
COA000344,2025-06-07,C00077,04:25,07:22,177,2,141,58.842105865478516,60.493751525878906,79.66101694915254
COA000347,2025-06-26,C00002,01:12,02:46,94,1,48,52.46213150024414,52.46213150024414,51.06382978723404
COA000353,2025-06-06,C00023,01:24,03:58,154,1,104,63.39552307128906,63.39552307128906,67.53246753246754
COA000354,2025-06-07,C00003,09:38,12:01,143,1,113,32.87678146362305,32.87678146362305,79.02097902097903
COA000356,2025-06-19,C00033,03:50,06:17,147,1,135,69.61712646484375,69.61712646484375,91.83673469387756
COA000368,2025-06-16,C00075,15:54,17:58,124,1,116,54.760711669921875,54.760711669921875,93.54838709677419
COA000369,2025-06-07,C00004,04:27,06:00,93,1,50,50.6214714050293,50.6214714050293,53.76344086021505
COA000379,2025-06-04,C00017,18:06,20:20,134,1,90,51.87996292114258,51.87996292114258,67.16417910447761
COA000380,2025-06-30,C00089,00:11,02:02,111,1,104,49.432804107666016,49.432804107666016,93.69369369369369
COA000390,2025-06-28,C00003,03:26,04:47,81,1,43,62.8548583984375,62.8548583984375,53.086419753086425
COA000394,2025-06-28,C00009,12:52,15:10,138,1,79,35.9761848449707,35.9761848449707,57.2463768115942
COA000405,2025-06-29,C00043,07:32,10:24,172,1,127,44.80398941040039,44.80398941040039,73.83720930232558
COA000408,2025-06-21,C00078,02:35,04:56,141,1,91,54.48744583129883,54.48744583129883,64.53900709219859
COA000409,2025-06-25,C00097,11:45,14:16,151,1,106,57.23863220214844,57.23863220214844,70.19867549668875
COA000412,2025-06-16,C00025,05:24,07:44,140,1,129,38.92150115966797,38.92150115966797,92.14285714285714
COA000417,2025-06-07,C00027,12:05,14:41,156,2,135,58.773006439208984,59.65992736816406,86.53846153846155
COA000422,2025-06-24,C00095,00:46,03:40,174,1,108,42.35475158691406,42.35475158691406,62.06896551724138
COA000426,2025-06-20,C00075,03:39,04:21,42,1,42,80.47708129882812,80.47708129882812,100.0
COA000427,2025-06-07,C00098,11:14,13:36,142,1,95,30.14762306213379,30.14762306213379,66.90140845070422
COA000429,2025-06-17,C00093,00:22,02:33,131,1,97,38.328102111816406,38.328102111816406,74.04580152671755
COA000430,2025-06-14,C00049,13:28,15:56,148,1,99,57.56301498413086,57.56301498413086,66.8918918918919
COA000432,2025-06-25,C00024,12:29,14:50,141,1,137,72.57096862792969,72.57096862792969,97.16312056737588
COA000435,2025-06-20,C00021,17:27,19:54,147,1,128,27.46466827392578,27.46466827392578,87.07482993197279
COA000437,2025-06-07,C00042,13:15,14:25,70,1,49,59.613616943359375,59.613616943359375,70.0
COA000444,2025-06-06,C00080,00:57,03:50,173,1,161,44.83461380004883,44.83461380004883,93.0635838150289
COA000458,2025-06-20,C00058,02:48,04:54,126,1,40,33.66064453125,33.66064453125,31.746031746031743
COA000460,2025-06-04,C00054,07:49,09:30,101,1,41,34.594215393066406,34.594215393066406,40.5940594059406
COA000462,2025-06-25,C00027,16:50,19:18,148,1,84,57.290771484375,57.290771484375,56.75675675675676
COA000465,2025-06-12,C00025,14:35,16:26,111,1,63,36.89158630371094,36.89158630371094,56.75675675675676
COA000466,2025-06-11,C00066,00:30,01:49,79,1,46,36.407814025878906,36.407814025878906,58.22784810126582
COA000467,2025-06-28,C00097,17:18,20:12,174,1,96,39.23550796508789,39.23550796508789,55.172413793103445
COA000470,2025-06-27,C00019,08:59,10:40,101,1,95,27.485952377319336,27.485952377319336,94.05940594059405
COA000471,2025-06-18,C00025,13:39,15:27,108,1,103,32.420658111572266,32.420658111572266,95.37037037037037
COA000475,2025-06-16,C00012,12:38,15:31,173,1,44,24.784048080444336,24.784048080444336,25.43352601156069
COA000476,2025-06-14,C00077,08:38,10:11,93,1,31,58.520450592041016,58.520450592041016,33.33333333333333
COA000477,2025-06-26,C00050,18:24,21:06,162,1,117,50.11505889892578,50.11505889892578,72.22222222222221
COA000478,2025-06-24,C00065,14:47,17:02,135,1,89,60.01978302001953,60.01978302001953,65.92592592592592
COA000479,2025-06-25,C00074,01:12,03:54,162,1,115,50.91147232055664,50.91147232055664,70.98765432098766
COA000481,2025-06-14,C00081,18:55,21:14,139,1,69,43.32364273071289,43.32364273071289,49.64028776978417
COA000484,2025-06-23,C00018,13:35,15:38,123,1,110,53.39499282836914,53.39499282836914,89.43089430894308
COA000488,2025-06-17,C00061,09:19,10:24,65,1,51,26.48268699645996,26.48268699645996,78.46153846153847
COA000491,2025-06-26,C00012,19:19,20:39,80,1,66,47.0804557800293,47.0804557800293,82.5
COA000492,2025-06-27,C00100,01:33,02:54,81,1,68,23.667530059814453,23.667530059814453,83.9506172839506
COA000503,2025-06-30,C00085,10:18,11:25,67,1,63,44.965476989746094,44.965476989746094,94.02985074626866
COA000505,2025-06-16,C00028,11:05,13:53,168,1,123,44.482051849365234,44.482051849365234,73.21428571428571
COA000507,2025-06-30,C00057,01:40,04:34,174,1,85,28.141267776489258,28.141267776489258,48.85057471264368
COA000508,2025-06-06,C00037,11:49,14:16,147,1,56,47.81586837768555,47.81586837768555,38.095238095238095
COA000511,2025-06-07,C00078,19:33,21:40,127,1,108,74.82841491699219,74.82841491699219,85.03937007874016
COA000517,2025-06-28,C00088,19:49,21:55,126,1,117,59.67974090576172,59.67974090576172,92.85714285714286
COA000521,2025-06-01,C00080,17:50,19:07,77,1,62,29.377161026000977,29.377161026000977,80.51948051948052
COA000525,2025-06-28,C00007,09:49,11:40,111,1,67,51.94669723510742,51.94669723510742,60.36036036036037
COA000527,2025-06-17,C00086,04:51,07:44,173,1,125,67.68404388427734,67.68404388427734,72.25433526011561
COA000528,2025-06-07,C00025,12:35,15:01,146,1,98,76.28248596191406,76.28248596191406,67.12328767123287
COA000529,2025-06-05,C00033,00:20,03:02,162,1,99,63.50034713745117,63.50034713745117,61.111111111111114
COA000530,2025-06-19,C00050,03:16,04:59,103,1,47,30.329280853271484,30.329280853271484,45.63106796116505
COA000532,2025-06-06,C00081,08:54,11:11,137,1,61,50.8848991394043,50.8848991394043,44.52554744525548
COA000535,2025-06-21,C00056,15:26,16:58,92,1,73,28.330303192138672,28.330303192138672,79.34782608695652
COA000536,2025-06-30,C00062,14:55,17:48,173,2,125,46.87040710449219,47.25896072387695,72.25433526011561
COA000542,2025-06-04,C00039,19:42,22:05,143,2,111,28.81871509552002,30.932390213012695,77.62237762237763
COA000548,2025-06-14,C00031,02:20,04:36,136,1,119,48.71723556518555,48.71723556518555,87.5
COA000551,2025-06-28,C00025,18:46,21:05,139,1,111,63.234676361083984,63.234676361083984,79.85611510791367
COA000553,2025-06-10,C00007,00:02,02:22,140,1,70,55.557518005371094,55.557518005371094,50.0
COA000554,2025-06-01,C00016,15:21,17:35,134,1,91,25.94085693359375,25.94085693359375,67.91044776119402
COA000556,2025-06-30,C00069,06:27,09:26,179,2,170,26.803768157958984,29.409297943115234,94.97206703910615
COA000558,2025-06-29,C00046,19:03,21:50,167,1,45,36.749366760253906,36.749366760253906,26.94610778443114
COA000564,2025-06-18,C00014,11:32,12:54,82,1,77,30.091768264770508,30.091768264770508,93.90243902439023
COA000566,2025-06-04,C00047,06:17,07:27,70,1,57,36.77566909790039,36.77566909790039,81.42857142857143
COA000569,2025-06-19,C00020,07:55,10:26,151,1,144,58.147151947021484,58.147151947021484,95.36423841059603
COA000572,2025-06-12,C00076,03:38,05:51,133,1,81,49.691978454589844,49.691978454589844,60.902255639097746
COA000577,2025-06-25,C00016,05:04,07:44,160,1,117,40.58940887451172,40.58940887451172,73.125
COA000578,2025-06-06,C00060,00:44,03:16,152,1,108,27.841440200805664,27.841440200805664,71.05263157894737
COA000580,2025-06-08,C00005,09:24,11:20,116,1,103,73.2059555053711,73.2059555053711,88.79310344827587
COA000584,2025-06-13,C00047,05:40,08:25,165,1,165,40.92325210571289,40.92325210571289,100.0
COA000586,2025-06-23,C00006,16:33,19:26,173,1,127,84.33378601074219,84.33378601074219,73.41040462427746
COA000587,2025-06-18,C00097,05:17,06:16,59,1,44,65.391845703125,65.391845703125,74.57627118644068
COA000589,2025-06-17,C00092,00:54,03:11,137,1,88,49.68241500854492,49.68241500854492,64.23357664233576
COA000590,2025-06-20,C00023,08:23,11:15,172,1,164,36.178646087646484,36.178646087646484,95.34883720930233
COA000591,2025-06-04,C00008,02:03,03:55,112,2,92,33.2528018951416,38.94441223144531,82.14285714285714
COA000596,2025-06-22,C00002,09:06,10:56,110,1,96,36.27513122558594,36.27513122558594,87.27272727272727
COA000597,2025-06-25,C00066,01:08,03:30,142,1,33,26.74348258972168,26.74348258972168,23.239436619718308
COA000599,2025-06-07,C00030,11:41,14:22,161,1,120,33.009239196777344,33.009239196777344,74.53416149068323
COA000600,2025-06-25,C00030,05:27,08:04,157,1,152,34.83108901977539,34.83108901977539,96.81528662420382
COA000605,2025-06-03,C00086,06:37,08:59,142,1,116,65.4158706665039,65.4158706665039,81.69014084507043
COA000609,2025-06-27,C00064,13:11,14:52,101,1,76,30.147443771362305,30.147443771362305,75.24752475247524
COA000613,2025-06-12,C00081,06:50,08:04,74,1,68,26.505712509155273,26.505712509155273,91.8918918918919
COA000614,2025-06-04,C00099,10:04,11:27,83,1,72,53.29069519042969,53.29069519042969,86.74698795180723
COA000617,2025-06-19,C00092,11:24,14:06,162,1,138,65.91727447509766,65.91727447509766,85.18518518518519
COA000618,2025-06-28,C00017,05:32,08:32,180,1,162,72.1465835571289,72.1465835571289,90.0
COA000620,2025-06-12,C00013,06:18,08:37,139,1,139,71.52735137939453,71.52735137939453,100.0
COA000622,2025-06-13,C00022,02:24,05:24,180,1,174,49.633541107177734,49.633541107177734,96.66666666666667
COA000623,2025-06-21,C00082,16:05,17:39,94,1,49,37.83534622192383,37.83534622192383,52.12765957446809
COA000626,2025-06-20,C00088,10:43,13:01,138,1,74,30.57219886779785,30.57219886779785,53.62318840579711
COA000627,2025-06-24,C00024,09:07,10:30,83,1,38,59.953311920166016,59.953311920166016,45.78313253012048
COA000630,2025-06-23,C00012,02:28,05:04,156,1,118,44.244239807128906,44.244239807128906,75.64102564102564
COA000631,2025-06-30,C00056,00:03,01:30,87,1,52,44.819732666015625,44.819732666015625,59.77011494252874
COA000634,2025-06-29,C00060,06:25,09:19,174,1,134,63.177677154541016,63.177677154541016,77.01149425287356
COA000635,2025-06-02,C00035,15:11,17:37,146,1,113,33.792537689208984,33.792537689208984,77.3972602739726
COA000636,2025-06-06,C00020,00:14,02:34,140,1,97,68.6058349609375,68.6058349609375,69.28571428571428
COA000642,2025-06-11,C00086,08:49,09:36,47,1,44,37.70026779174805,37.70026779174805,93.61702127659575
COA000643,2025-06-24,C00085,18:41,20:36,115,1,62,23.15127944946289,23.15127944946289,53.91304347826087
COA000645,2025-06-28,C00013,19:03,21:12,129,1,71,63.75917053222656,63.75917053222656,55.03875968992248
COA000648,2025-06-15,C00086,09:01,10:32,91,1,87,37.110191345214844,37.110191345214844,95.6043956043956
COA000649,2025-06-27,C00033,11:58,13:07,69,1,69,53.35737609863281,53.35737609863281,100.0
COA000650,2025-06-26,C00077,06:39,08:08,89,1,55,70.0226058959961,70.0226058959961,61.79775280898876
COA000651,2025-06-17,C00054,17:50,20:49,179,1,144,37.316837310791016,37.316837310791016,80.44692737430168
COA000652,2025-06-10,C00094,04:21,06:12,111,1,87,62.094093322753906,62.094093322753906,78.37837837837837
COA000655,2025-06-26,C00008,04:43,07:36,173,1,155,38.239173889160156,38.239173889160156,89.59537572254335
COA000658,2025-06-19,C00055,04:19,05:44,85,1,58,28.120792388916016,28.120792388916016,68.23529411764706
COA000661,2025-06-08,C00082,14:22,15:06,44,1,41,72.79035186767578,72.79035186767578,93.18181818181817
COA000665,2025-06-11,C00010,05:43,07:42,119,1,70,38.39919662475586,38.39919662475586,58.82352941176471
COA000666,2025-06-26,C00091,10:23,12:36,133,1,103,76.96382141113281,76.96382141113281,77.44360902255639
COA000668,2025-06-24,C00014,15:59,18:58,179,1,147,49.85633087158203,49.85633087158203,82.12290502793296
COA000669,2025-06-11,C00067,02:09,03:58,109,1,96,21.339155197143555,21.339155197143555,88.07339449541286
COA000680,2025-06-04,C00010,01:24,03:49,145,1,123,55.847782135009766,55.847782135009766,84.82758620689656
COA000682,2025-06-30,C00001,12:03,13:41,98,1,67,53.00009536743164,53.00009536743164,68.36734693877551
COA000685,2025-06-29,C00100,05:10,07:48,158,1,86,52.674137115478516,52.674137115478516,54.43037974683544
COA000690,2025-06-10,C00011,15:32,17:35,123,1,98,48.62418746948242,48.62418746948242,79.67479674796748
COA000691,2025-06-18,C00097,19:15,21:16,121,1,78,63.03180694580078,63.03180694580078,64.46280991735537
COA000693,2025-06-03,C00007,01:29,04:18,169,1,118,64.08495330810547,64.08495330810547,69.8224852071006
COA000694,2025-06-16,C00011,04:11,05:59,108,1,78,57.51044464111328,57.51044464111328,72.22222222222221
COA000698,2025-06-19,C00035,19:20,22:18,178,1,163,30.169498443603516,30.169498443603516,91.57303370786516
COA000705,2025-06-10,C00069,09:41,12:23,162,1,140,55.61651611328125,55.61651611328125,86.41975308641975
COA000707,2025-06-28,C00099,08:50,11:28,158,1,108,35.883113861083984,35.883113861083984,68.35443037974683
COA000715,2025-06-17,C00053,11:17,13:15,118,1,91,39.996795654296875,39.996795654296875,77.11864406779661
COA000718,2025-06-28,C00008,10:12,11:32,80,1,49,48.16788101196289,48.16788101196289,61.25000000000001
COA000722,2025-06-04,C00078,16:28,18:20,112,1,78,67.6893539428711,67.6893539428711,69.64285714285714
COA000724,2025-06-04,C00001,13:05,15:57,172,1,135,22.76352882385254,22.76352882385254,78.48837209302324
COA000730,2025-06-18,C00058,16:20,18:16,116,1,115,28.56182861328125,28.56182861328125,99.13793103448276
COA000731,2025-06-19,C00071,09:29,10:51,82,1,30,33.518157958984375,33.518157958984375,36.58536585365854
