block_request_id,task_id,asset_id,corridor_id,block_window_id,block_date,start_min,end_min,duration_min,predicted_priority,priority_category,department,possession_required,candidate_id,train_conflicts,total_conflict_duration_min,forecast_date,forecast_goods_trains,peak_period,confidence_pct
BR000221,TMS000273,AST004477,C00052,COA001399,2025-06-16,1028,1097,69,63.24244689941406,High,Engineering,Yes,36,1,35.0,2025-06-16,4.0,Normal,81.0
BR000221,TMS000273,AST004477,C00052,COA001399,2025-06-16,1028,1097,69,63.24244689941406,High,Engineering,Yes,36,1,35.0,2025-06-16,2.0,Normal,92.0
BR000221,TMS000273,AST004477,C00052,COA001399,2025-06-16,1028,1097,69,63.24244689941406,High,Engineering,Yes,36,1,35.0,2025-06-16,2.0,Peak,77.0
BR000221,TMS000273,AST004477,C00052,COA001399,2025-06-16,1028,1097,69,63.24244689941406,High,Engineering,Yes,36,1,35.0,2025-06-16,5.0,Normal,87.0
BR000223,TMS000275,AST001732,C00049,COA001043,2025-06-25,20,54,34,32.53102493286133,Low,Engineering,Yes,37,0,0.0,2025-06-25,3.0,Normal,87.0
BR000225,TMS000277,AST003848,C00081,COA001426,2025-06-02,953,1036,83,18.87638282775879,Low,Engineering,Yes,38,1,45.0,,0.0,,0.0
BR000227,TMS000279,AST002253,C00034,COA000039,2025-06-11,40,87,47,29.0541934967041,Low,Engineering,Yes,39,0,0.0,2025-06-11,4.0,Normal,82.0
BR000227,TMS000279,AST002253,C00034,COA001223,2025-06-11,696,743,47,29.0541934967041,Low,Engineering,Yes,40,0,0.0,2025-06-11,4.0,Normal,82.0
BR000228,TMS000280,AST000646,C00051,COA001289,2025-06-09,591,682,91,59.18415451049805,Medium,Engineering,Yes,41,2,147.0,2025-06-09,4.0,Normal,94.0
BR000230,TMS000282,AST001723,C00020,COA001030,2025-06-02,984,1055,71,40.487388610839844,Medium,Engineering,No,42,1,42.0,2025-06-02,4.0,Normal,76.0
BR000249,TMS000306,AST001532,C00002,COA000347,2025-06-26,72,120,48,52.46213150024414,Medium,Engineering,Yes,43,0,0.0,,0.0,,0.0
BR000249,TMS000306,AST001532,C00002,COA000898,2025-06-26,196,244,48,52.46213150024414,Medium,Engineering,Yes,44,1,33.0,,0.0,,0.0
BR000259,TMS000319,AST004348,C00039,COA000175,2025-06-14,366,470,104,35.69047164916992,Low,Engineering,Yes,45,0,0.0,2025-06-14,4.0,Normal,73.0
BR000264,TMS000325,AST002478,C00032,COA000875,2025-06-14,270,335,65,59.70527267456055,Medium,Engineering,Yes,46,1,40.0,2025-06-14,4.0,Normal,93.0
BR000264,TMS000325,AST002478,C00032,COA000875,2025-06-14,270,335,65,59.70527267456055,Medium,Engineering,Yes,46,1,40.0,2025-06-14,3.0,Normal,71.0
BR000264,TMS000325,AST002478,C00032,COA000875,2025-06-14,270,335,65,59.70527267456055,Medium,Engineering,Yes,46,1,40.0,2025-06-14,4.0,Off-Peak,86.0
BR000264,TMS000325,AST002478,C00032,COA000920,2025-06-14,198,263,65,59.70527267456055,Medium,Engineering,Yes,47,2,53.0,2025-06-14,4.0,Normal,93.0
BR000264,TMS000325,AST002478,C00032,COA000920,2025-06-14,198,263,65,59.70527267456055,Medium,Engineering,Yes,47,2,53.0,2025-06-14,3.0,Normal,71.0
BR000264,TMS000325,AST002478,C00032,COA000920,2025-06-14,198,263,65,59.70527267456055,Medium,Engineering,Yes,47,2,53.0,2025-06-14,4.0,Off-Peak,86.0
BR000274,TMS000336,AST000853,C00053,COA000789,2025-06-02,558,663,105,61.18579864501953,High,Engineering,No,48,1,98.0,2025-06-02,5.0,Normal,93.0
BR000289,TMS000360,AST000112,C00091,COA001317,2025-06-02,292,366,74,49.593055725097656,Medium,Engineering,Yes,49,2,139.0,,0.0,,0.0
BR000304,TMS000376,AST003204,C00037,COA000508,2025-06-06,709,765,56,47.81586837768555,Medium,Engineering,Yes,50,0,0.0,2025-06-06,10.0,Off-Peak,74.0
BR000304,TMS000376,AST003204,C00037,COA000508,2025-06-06,709,765,56,47.81586837768555,Medium,Engineering,Yes,50,0,0.0,2025-06-06,2.0,Peak,82.0
BR000308,TMS000382,AST003995,C00058,COA000458,2025-06-20,168,208,40,33.66064453125,Low,Engineering,Yes,51,1,38.0,2025-06-20,4.0,Normal,95.0
BR000308,TMS000382,AST003995,C00058,COA000458,2025-06-20,168,208,40,33.66064453125,Low,Engineering,Yes,51,1,38.0,2025-06-20,4.0,Off-Peak,80.0
BR000308,TMS000382,AST003995,C00058,COA000990,2025-06-20,247,287,40,33.66064453125,Low,Engineering,Yes,52,1,40.0,2025-06-20,4.0,Normal,95.0
BR000308,TMS000382,AST003995,C00058,COA000990,2025-06-20,247,287,40,33.66064453125,Low,Engineering,Yes,52,1,40.0,2025-06-20,4.0,Off-Peak,80.0
BR000325,TMS000407,AST001839,C00095,COA001422,2025-06-14,252,374,122,29.876026153564453,Low,Engineering,Yes,53,2,210.0,2025-06-14,5.0,Normal,77.0
BR000325,TMS000407,AST001839,C00095,COA001422,2025-06-14,252,374,122,29.876026153564453,Low,Engineering,Yes,53,2,210.0,2025-06-14,3.0,Off-Peak,73.0
BR000326,TMS000411,AST000235,C00084,COA000120,2025-06-21,415,464,49,32.527828216552734,Low,Engineering,Yes,54,1,10.0,2025-06-21,2.0,Normal,88.0
BR000326,TMS000411,AST000235,C00084,COA000120,2025-06-21,415,464,49,32.527828216552734,Low,Engineering,Yes,54,1,10.0,2025-06-21,3.0,Off-Peak,71.0
BR000328,TMS000413,AST001400,C00005,COA000338,2025-06-25,956,1005,49,32.843353271484375,Low,Engineering,Yes,55,1,49.0,2025-06-25,3.0,Normal,85.0
BR000335,TMS000422,AST004554,C00078,COA000293,2025-06-05,208,284,76,29.119583129882812,Low,Engineering,Yes,56,0,0.0,2025-06-05,3.0,Normal,77.0
BR000335,TMS000422,AST004554,C00078,COA000293,2025-06-05,208,284,76,29.119583129882812,Low,Engineering,Yes,56,0,0.0,2025-06-05,3.0,Peak,83.0
BR000335,TMS000422,AST004554,C00078,COA000293,2025-06-05,208,284,76,29.119583129882812,Low,Engineering,Yes,56,0,0.0,2025-06-05,4.0,Normal,92.0
BR000336,TMS000423,AST003516,C00055,COA001100,2025-06-28,192,241,49,36.672454833984375,Low,Engineering,Yes,57,0,0.0,,0.0,,0.0
BR000339,TMS000427,AST002409,C00080,COA000444,2025-06-06,57,218,161,44.83461380004883,Medium,Engineering,Yes,58,2,137.0,2025-06-06,3.0,Off-Peak,73.0
BR000341,TMS000430,AST002929,C00100,COA000848,2025-06-18,1,66,65,47.35833740234375,Medium,Engineering,Yes,59,0,0.0,,0.0,,0.0
BR000367,TMS000464,AST002000,C00077,COA001141,2025-06-13,438,486,48,48.902130126953125,Medium,Engineering,Yes,60,2,88.0,2025-06-13,3.0,Normal,93.0
BR000367,TMS000464,AST002000,C00077,COA001141,2025-06-13,438,486,48,48.902130126953125,Medium,Engineering,Yes,60,2,88.0,2025-06-13,3.0,Off-Peak,82.0
BR000367,TMS000464,AST002000,C00077,COA001255,2025-06-13,390,438,48,48.902130126953125,Medium,Engineering,Yes,61,1,39.0,2025-06-13,3.0,Normal,93.0
BR000367,TMS000464,AST002000,C00077,COA001255,2025-06-13,390,438,48,48.902130126953125,Medium,Engineering,Yes,61,1,39.0,2025-06-13,3.0,Off-Peak,82.0
BR000372,TMS000470,AST002160,C00018,COA000484,2025-06-23,815,925,110,53.39499282836914,Medium,Engineering,Yes,62,0,0.0,2025-06-23,5.0,Normal,82.0
BR000391,TMS000495,AST002749,C00007,COA000693,2025-06-03,89,207,118,64.08495330810547,High,Engineering,Yes,63,1,74.0,2025-06-03,4.0,Normal,77.0
BR000391,TMS000495,AST002749,C00007,COA000693,2025-06-03,89,207,118,64.08495330810547,High,Engineering,Yes,63,1,74.0,2025-06-03,5.0,Off-Peak,81.0
BR000391,TMS000495,AST002749,C00007,COA000693,2025-06-03,89,207,118,64.08495330810547,High,Engineering,Yes,63,1,74.0,2025-06-03,5.0,Peak,87.0
BR000404,TMS000510,AST001118,C00013,COA001415,2025-06-30,810,989,179,48.35883712768555,Medium,Engineering,No,64,0,0.0,,0.0,,0.0
BR000407,TMS000513,AST000799,C00006,COA000103,2025-06-23,561,644,83,66.24956512451172,High,Engineering,Yes,65,0,0.0,2025-06-23,1.0,Normal,88.0
BR000407,TMS000513,AST000799,C00006,COA000103,2025-06-23,561,644,83,66.24956512451172,High,Engineering,Yes,65,0,0.0,2025-06-23,5.0,Normal,80.0
BR000407,TMS000513,AST000799,C00006,COA000586,2025-06-23,993,1076,83,66.24956512451172,High,Engineering,Yes,66,1,21.0,2025-06-23,1.0,Normal,88.0
BR000407,TMS000513,AST000799,C00006,COA000586,2025-06-23,993,1076,83,66.24956512451172,High,Engineering,Yes,66,1,21.0,2025-06-23,5.0,Normal,80.0
BR000422,TMS000532,AST005157,C00031,COA000015,2025-06-09,1084,1145,61,34.429691314697266,Low,Engineering,No,67,0,0.0,,0.0,,0.0
BR000423,TMS000534,AST002957,C00058,COA001077,2025-06-04,606,718,112,30.802143096923828,Low,Engineering,Yes,68,2,87.0,2025-06-04,7.0,Normal,85.0
BR000423,TMS000534,AST002957,C00058,COA001077,2025-06-04,606,718,112,30.802143096923828,Low,Engineering,Yes,68,2,87.0,2025-06-04,5.0,Normal,84.0
BR000425,TMS000536,AST004290,C00097,COA001064,2025-06-05,862,969,107,71.3008804321289,High,Engineering,Yes,69,0,0.0,,0.0,,0.0
BR000439,TMS000555,AST004816,C00045,COA000239,2025-06-22,696,780,84,40.86472702026367,Medium,Engineering,Yes,70,0,0.0,2025-06-22,9.0,Peak,95.0
BR000448,TMS000566,AST004848,C00031,COA000306,2025-06-28,600,631,31,36.257686614990234,Low,Engineering,No,71,0,0.0,,0.0,,0.0
BR000455,TMS000574,AST000917,C00013,COA000275,2025-06-10,1126,1256,130,47.91828918457031,Medium,Engineering,Yes,72,0,0.0,2025-06-10,4.0,Peak,85.0
BR000469,TMS000596,AST000513,C00035,COA000765,2025-06-24,453,588,135,57.095848083496094,Medium,Engineering,Yes,73,0,0.0,2025-06-24,2.0,Normal,71.0
BR000469,TMS000596,AST000513,C00035,COA000765,2025-06-24,453,588,135,57.095848083496094,Medium,Engineering,Yes,73,0,0.0,2025-06-24,5.0,Normal,89.0
BR000470,TMS000597,AST003719,C00053,COA000715,2025-06-17,677,766,89,31.279273986816406,Low,Engineering,No,74,1,2.0,2025-06-17,6.0,Normal,94.0
BR000470,TMS000597,AST003719,C00053,COA000715,2025-06-17,677,766,89,31.279273986816406,Low,Engineering,No,74,1,2.0,2025-06-17,6.0,Off-Peak,87.0
BR000474,TMS000601,AST002623,C00031,COA000897,2025-06-16,38,161,123,30.625194549560547,Low,Engineering,Yes,75,0,0.0,2025-06-16,4.0,Normal,89.0
BR000474,TMS000601,AST002623,C00031,COA000897,2025-06-16,38,161,123,30.625194549560547,Low,Engineering,Yes,75,0,0.0,2025-06-16,2.0,Normal,91.0
BR000498,TMS000632,AST003399,C00043,COA000405,2025-06-29,452,579,127,44.80398941040039,Medium,Engineering,Yes,76,1,49.0,2025-06-29,3.0,Normal,94.0
BR000512,TMS000648,AST004818,C00014,COA000289,2025-06-11,375,513,138,65.1375732421875,High,Engineering,Yes,77,1,134.0,2025-06-11,3.0,Normal,79.0
BR000520,TMS000658,AST003570,C00011,COA000056,2025-06-13,703,798,95,42.156211853027344,Medium,Engineering,Yes,78,2,94.0,,0.0,,0.0
BR000520,TMS000658,AST003570,C00011,COA000909,2025-06-13,542,637,95,42.156211853027344,Medium,Engineering,Yes,79,2,190.0,,0.0,,0.0
BR000526,TMS000667,AST003907,C00055,COA000249,2025-06-11,1107,1185,78,18.98447608947754,Low,Engineering,Yes,80,0,0.0,,0.0,,0.0
BR000526,TMS000667,AST003907,C00055,COA001209,2025-06-11,994,1072,78,18.98447608947754,Low,Engineering,Yes,81,0,0.0,,0.0,,0.0
BR000530,TMS000672,AST003791,C00058,COA000458,2025-06-20,168,208,40,60.652252197265625,High,Engineering,No,82,1,38.0,2025-06-20,4.0,Normal,95.0
BR000530,TMS000672,AST003791,C00058,COA000458,2025-06-20,168,208,40,60.652252197265625,High,Engineering,No,82,1,38.0,2025-06-20,4.0,Off-Peak,80.0
BR000530,TMS000672,AST003791,C00058,COA000990,2025-06-20,247,287,40,60.652252197265625,High,Engineering,No,83,1,40.0,2025-06-20,4.0,Normal,95.0
BR000530,TMS000672,AST003791,C00058,COA000990,2025-06-20,247,287,40,60.652252197265625,High,Engineering,No,83,1,40.0,2025-06-20,4.0,Off-Peak,80.0
BR000531,TMS000673,AST003211,C00003,COA000948,2025-06-23,132,287,155,67.15543365478516,High,Engineering,Yes,84,0,0.0,,0.0,,0.0
BR000535,TMS000678,AST003725,C00049,COA000430,2025-06-14,808,907,99,57.56301498413086,Medium,Engineering,Yes,85,1,21.0,2025-06-14,7.0,Normal,89.0
BR000535,TMS000678,AST003725,C00049,COA000430,2025-06-14,808,907,99,57.56301498413086,Medium,Engineering,Yes,85,1,21.0,2025-06-14,7.0,Off-Peak,71.0
BR000536,TMS000679,AST004908,C00019,COA001242,2025-06-04,1191,1225,34,56.72065353393555,Medium,Engineering,Yes,86,1,34.0,,0.0,,0.0
BR000543,TMS000686,AST001238,C00020,COA001323,2025-06-10,741,885,144,28.523103713989258,Low,Engineering,Yes,87,0,0.0,,0.0,,0.0
BR000544,TMS000687,AST004247,C00047,COA000584,2025-06-13,340,505,165,40.92325210571289,Medium,Engineering,Yes,88,2,170.0,2025-06-13,9.0,Normal,89.0
BR000548,TMS000693,AST004282,C00098,COA001002,2025-06-22,7,72,65,72.72721099853516,High,Engineering,Yes,89,1,26.0,,0.0,,0.0
BR000583,TMS000741,AST004590,C00013,COA001415,2025-06-30,810,942,132,17.573448181152344,Low,Engineering,Yes,90,0,0.0,,0.0,,0.0
BR000619,TMS000797,AST004551,C00002,COA000596,2025-06-22,546,642,96,36.27513122558594,Low,Engineering,Yes,91,0,0.0,,0.0,,0.0
BR000628,TMS000809,AST000950,C00006,COA000586,2025-06-23,993,1120,127,84.33378601074219,Critical,Engineering,Yes,92,1,21.0,2025-06-23,1.0,Normal,88.0
BR000628,TMS000809,AST000950,C00006,COA000586,2025-06-23,993,1120,127,84.33378601074219,Critical,Engineering,Yes,92,1,21.0,2025-06-23,5.0,Normal,80.0
BR000629,TMS000810,AST000056,C00076,COA000572,2025-06-12,218,299,81,49.691978454589844,Medium,Engineering,Yes,93,1,81.0,2025-06-12,4.0,Normal,81.0
BR000629,TMS000810,AST000056,C00076,COA000572,2025-06-12,218,299,81,49.691978454589844,Medium,Engineering,Yes,93,1,81.0,2025-06-12,4.0,Off-Peak,80.0
BR000629,TMS000810,AST000056,C00076,COA000572,2025-06-12,218,299,81,49.691978454589844,Medium,Engineering,Yes,93,1,81.0,2025-06-12,8.0,Peak,77.0
BR000631,TMS000813,AST004263,C00011,COA000690,2025-06-10,932,1030,98,48.62418746948242,Medium,Engineering,Yes,94,5,263.0,2025-06-10,8.0,Normal,90.0
BR000631,TMS000813,AST004263,C00011,COA000690,2025-06-10,932,1030,98,48.62418746948242,Medium,Engineering,Yes,94,5,263.0,2025-06-10,4.0,Normal,83.0
BR000631,TMS000813,AST004263,C00011,COA000690,2025-06-10,932,1030,98,48.62418746948242,Medium,Engineering,Yes,94,5,263.0,2025-06-10,4.0,Normal,79.0
BR000631,TMS000813,AST004263,C00011,COA000690,2025-06-10,932,1030,98,48.62418746948242,Medium,Engineering,Yes,94,5,263.0,2025-06-10,5.0,Normal,92.0
BR000636,TMS000820,AST002763,C00081,COA000124,2025-06-03,181,316,135,20.74152374267578,Low,Engineering,Yes,95,0,0.0,,0.0,,0.0
BR000636,TMS000820,AST002763,C00081,COA000559,2025-06-03,285,420,135,20.74152374267578,Low,Engineering,Yes,96,0,0.0,,0.0,,0.0
BR000638,TMS000823,AST001210,C00066,COA000080,2025-06-05,1124,1276,152,38.33488464355469,Low,Engineering,Yes,97,2,149.0,,0.0,,0.0
BR000639,TMS000824,AST002230,C00099,COA000614,2025-06-04,604,676,72,53.29069519042969,Medium,Engineering,No,98,0,0.0,2025-06-04,5.0,Off-Peak,70.0
BR000642,TMS000828,AST004301,C00017,COA000379,2025-06-04,1086,1147,61,39.71046829223633,Low,Engineering,Yes,99,0,0.0,2025-06-04,6.0,Off-Peak,87.0
BR000673,TMS000862,AST004121,C00094,COA001471,2025-06-27,305,343,38,34.734703063964844,Low,Engineering,Yes,100,0,0.0,,0.0,,0.0
BR000690,TMS000885,AST000183,C00007,COA000028,2025-06-01,669,784,115,25.33670425415039,Low,Engineering,Yes,101,3,264.0,,0.0,,0.0
BR000690,TMS000885,AST000183,C00007,COA000105,2025-06-01,1126,1241,115,25.33670425415039,Low,Engineering,Yes,102,2,141.0,,0.0,,0.0
BR000691,TMS000888,AST000690,C00086,COA000605,2025-06-03,397,513,116,65.4158706665039,High,Engineering,Yes,103,0,0.0,,0.0,,0.0
BR000709,TMS000914,AST001373,C00041,COA000189,2025-06-24,253,335,82,57.4510612487793,Medium,Engineering,Yes,104,1,49.0,,0.0,,0.0
BR000723,TMS000934,AST000602,C00040,COA000177,2025-06-28,571,616,45,35.81829071044922,Low,Engineering,Yes,105,1,10.0,,0.0,,0.0
BR000729,TMS000942,AST002018,C00080,COA000739,2025-06-09,48,173,125,32.2530403137207,Low,Engineering,Yes,106,3,120.0,2025-06-09,9.0,Normal,70.0
BR000729,TMS000942,AST002018,C00080,COA000739,2025-06-09,48,173,125,32.2530403137207,Low,Engineering,Yes,106,3,120.0,2025-06-09,6.0,Normal,71.0
