candidate_id,block_request_id,task_id,block_window_id,corridor_id,train_no,movement_id,movement_type,movement_start,movement_end,conflict_buffer_min,conflict_duration_min
122,BR000853,TMS001104,COA000600,C00030,51995,MW008341,Train Movement,07:43,10:28,11,17
124,BR000890,TMS001148,COA000927,C00044,12620,MW000867,Train Movement,02:59,03:48,8,52
126,BR000896,TMS001158,COA000144,C00051,13838,MW002681,Train Movement,06:25,07:07,11,23
133,BR000928,TMS001208,COA000693,C00007,95846,MW014465,Train Movement,02:20,08:05,7,61
136,BR000963,TMS001255,COA000591,C00008,12392,MW000583,Train Movement,00:56,02:38,5,37
137,BR000973,TMS001265,COA001334,C00081,53165,MW008770,Train Movement,11:48,13:36,9,29
138,BR000982,TMS001280,COA000093,C00007,12981,MW001367,Train Movement,05:30,07:54,5,144
138,BR000982,TMS001280,COA000093,C00007,59288,MW010718,Train Movement,01:17,05:48,6,30
138,BR000982,TMS001280,COA000093,C00007,69391,MW012365,Train Movement,02:03,06:44,9,89
139,BR000985,TMS001283,COA001080,C00091,13411,MW001947,Train Movement,17:33,20:20,14,56
139,BR000985,TMS001283,COA001080,C00091,16102,MW006050,Train Movement,17:14,20:39,12,73
140,BR000995,TMS001294,COA000973,C00063,95518,MW014416,Train Movement,17:34,22:02,12,116
141,BR001001,TMS001301,COA001253,C00014,16816,MW007017,Train Movement,07:26,08:57,8,35
143,BR001006,TMS001306,COA000310,C00094,15105,MW004491,Train Movement,14:38,17:37,13,53
144,BR001006,TMS001306,COA001247,C00094,15105,MW004491,Train Movement,14:38,17:37,13,56
148,BR001035,TMS001343,COA000189,C00041,15930,MW005818,Train Movement,04:18,04:57,5,49
151,BR001064,TMS001376,COA000648,C00086,58935,MW010644,Train Movement,07:23,12:57,15,87
153,BR001072,TMS001386,COA000368,C00075,51403,MW008136,Train Movement,17:52,21:12,11,9
155,BR001077,TMS001393,COA001293,C00030,59354,MW010784,Train Movement,18:38,21:29,8,51
156,BR001083,TMS001399,COA001393,C00068,50174,MW007807,Train Movement,08:48,12:09,7,31
158,BR001116,TMS001448,COA001304,C00073,12077,MW000127,Train Movement,15:10,16:52,8,93
158,BR001116,TMS001448,COA001304,C00073,13401,MW001934,Train Movement,17:08,18:52,5,35
158,BR001116,TMS001448,COA001304,C00073,92589,MW013909,Train Movement,17:36,21:59,8,10
159,BR001126,TMS001462,COA000919,C00016,16602,MW006747,Train Movement,02:40,03:54,7,13
161,BR001132,TMS001472,COA000668,C00014,12262,MW000365,Train Movement,16:32,17:45,15,103
162,BR001141,TMS001484,COA000795,C00016,53924,MW009119,Train Movement,17:05,18:51,7,17
163,BR001145,TMS001492,COA000051,C00095,13541,MW002166,Train Movement,08:25,09:34,13,77
163,BR001145,TMS001492,COA000051,C00095,14799,MW004061,Train Movement,07:27,08:56,6,32
163,BR001145,TMS001492,COA000051,C00095,54438,MW009222,Train Movement,07:21,09:41,11,82
163,BR001145,TMS001492,COA000051,C00095,93443,MW014080,Train Movement,08:42,12:04,10,93
167,BR001176,TMS001532,COA000797,C00012,68587,MW012176,Train Movement,18:56,21:51,10,80
168,BR001189,TMS001549,COA001387,C00072,56470,MW009844,Train Movement,11:02,13:26,9,52
168,BR001189,TMS001549,COA001387,C00072,76804,MW012798,Train Movement,10:36,13:25,9,52
169,BR001191,TMS001551,COA000248,C00064,14610,MW003745,Train Movement,03:17,06:01,7,48
169,BR001191,TMS001551,COA000248,C00064,17322,MW007532,Train Movement,07:06,09:11,6,25
170,BR001197,TMS001558,COA000943,C00022,12538,MW000777,Train Movement,10:57,13:26,13,24
174,BR001263,TMS001644,COA000309,C00014,12262,MW000365,Train Movement,16:32,17:45,15,74
175,BR001263,TMS001644,COA000668,C00014,12262,MW000365,Train Movement,16:32,17:45,15,56
177,BR001289,TMS001673,COA000643,C00085,78732,MW013169,Train Movement,15:10,21:12,5,65
178,BR001289,TMS001673,COA000847,C00085,78732,MW013169,Train Movement,15:10,21:12,5,65
180,BR001302,TMS001690,COA000289,C00014,79342,MW013305,Train Movement,06:33,09:09,14,92
181,BR001316,TMS001707,COA000730,C00058,17503,MW007581,Train Movement,15:55,16:45,7,32
183,BR001331,TMS001727,COA000694,C00011,53936,MW009122,Train Movement,02:30,09:30,13,78
186,BR001348,TMS001745,COA000797,C00012,68587,MW012176,Train Movement,18:56,21:51,10,62
188,BR001364,TMS001767,COA000653,C00003,53393,MW008856,Train Movement,18:21,20:24,9,7
188,BR001364,TMS001767,COA000653,C00003,79342,MW013295,Train Movement,15:50,18:05,9,103
189,BR001364,TMS001767,COA000748,C00003,98722,MW014866,Train Movement,12:01,15:04,12,83
190,BR001364,TMS001767,COA001234,C00003,53393,MW008856,Train Movement,18:21,20:24,9,34
190,BR001364,TMS001767,COA001234,C00003,79342,MW013295,Train Movement,15:50,18:05,9,76
194,BR001397,TMS001811,COA000343,C00029,67525,MW011804,Train Movement,06:30,08:59,11,84
197,BR001431,TMS001854,COA000666,C00091,15320,MW004906,Train Movement,07:32,11:00,13,50
198,BR001438,TMS001861,COA001423,C00049,53617,MW008996,Train Movement,04:11,06:47,8,95
198,BR001438,TMS001861,COA001423,C00049,67250,MW011685,Train Movement,05:27,08:11,14,162
199,BR001452,TMS001875,COA000380,C00089,15167,MW004589,Train Movement,00:34,02:04,11,92
201,BR001485,TMS001915,COA000528,C00025,12150,MW000227,Train Movement,08:50,13:41,5,71
201,BR001485,TMS001915,COA000528,C00025,13399,MW001924,Train Movement,09:45,14:34,6,107
201,BR001485,TMS001915,COA000528,C00025,17415,MW007560,Train Movement,14:26,18:59,14,10
201,BR001485,TMS001915,COA000528,C00025,56192,MW009722,Train Movement,13:41,22:48,6,47
201,BR001485,TMS001915,COA000528,C00025,56880,MW009966,Train Movement,08:56,18:04,14,107
202,BR001488,TMS001920,COA001106,C00018,16954,MW007277,Train Movement,12:30,14:04,14,77
202,BR001488,TMS001920,COA001106,C00018,99633,MW015015,Train Movement,14:07,17:27,11,40
203,BR001506,TMS001946,COA001460,C00025,13292,MW001810,Train Movement,08:30,13:21,14,39
203,BR001506,TMS001946,COA001460,C00025,95418,MW014402,Train Movement,02:51,14:36,14,99
204,BR001513,TMS001954,COA001422,C00095,12025,MW000033,Train Movement,04:43,05:57,15,104
204,BR001513,TMS001954,COA001422,C00095,98376,MW014806,Train Movement,04:33,07:48,5,155
208,BR001534,TMS001978,COA001127,C00078,13257,MW001754,Train Movement,11:14,12:56,8,13
208,BR001534,TMS001978,COA001127,C00078,92449,MW013868,Train Movement,13:19,17:33,8,44
209,BR001535,TMS001979,COA000310,C00094,15105,MW004491,Train Movement,14:38,17:37,13,39
210,BR001535,TMS001979,COA001247,C00094,15105,MW004491,Train Movement,14:38,17:37,13,42
211,BR001537,TMS001981,COA000668,C00014,12262,MW000365,Train Movement,16:32,17:45,15,103
212,BR001546,TMS001994,COA000060,C00092,54802,MW009325,Train Movement,08:06,10:22,12,59
214,BR001554,TMS002009,COA000784,C00047,13578,MW002202,Train Movement,16:22,17:13,7,65
214,BR001554,TMS002009,COA000784,C00047,14753,MW003977,Train Movement,14:29,15:32,14,6
214,BR001554,TMS002009,COA000784,C00047,66127,MW011407,Train Movement,17:15,18:52,9,38
215,BR001558,TMS002014,COA000883,C00039,59887,MW010916,Train Movement,00:17,01:13,6,63
217,BR001565,TMS002026,COA001434,C00072,68060,MW012004,Train Movement,17:35,20:13,11,47
218,BR001570,TMS002031,COA000291,C00023,94205,MW014170,Train Movement,06:39,08:23,10,1
220,BR001571,TMS002032,COA001446,C00032,65913,MW011366,Train Movement,15:36,16:12,15,1
224,BR001592,TMS002058,COA000528,C00025,12150,MW000227,Train Movement,08:50,13:41,5,71
224,BR001592,TMS002058,COA000528,C00025,13399,MW001924,Train Movement,09:45,14:34,6,72
224,BR001592,TMS002058,COA000528,C00025,56192,MW009722,Train Movement,13:41,22:48,6,12
224,BR001592,TMS002058,COA000528,C00025,56880,MW009966,Train Movement,08:56,18:04,14,72
226,BR001600,TMS002069,COA000527,C00086,13394,MW001893,Train Movement,06:22,09:21,12,46
226,BR001600,TMS002069,COA000527,C00086,54538,MW009263,Train Movement,05:09,10:42,13,120
227,BR001602,TMS002071,COA000379,C00017,13680,MW002366,Train Movement,19:25,19:33,14,25
228,BR001610,TMS002082,COA000784,C00047,13578,MW002202,Train Movement,16:22,17:13,7,53
228,BR001610,TMS002082,COA000784,C00047,14753,MW003977,Train Movement,14:29,15:32,14,6
228,BR001610,TMS002082,COA000784,C00047,66127,MW011407,Train Movement,17:15,18:52,9,2
229,BR001613,TMS002085,COA000511,C00078,14546,MW003646,Train Movement,17:30,19:46,8,21
229,BR001613,TMS002085,COA000511,C00078,77013,MW012828,Train Movement,16:41,20:22,11,60
230,BR001644,TMS002124,COA000327,C00026,50175,MW007826,Train Movement,02:00,11:11,10,71
230,BR001644,TMS002124,COA000327,C00026,53338,MW008827,Train Movement,04:42,13:51,11,71
230,BR001644,TMS002124,COA000327,C00026,55442,MW009474,Train Movement,04:19,13:27,9,71
230,BR001644,TMS002124,COA000327,C00026,66810,MW011598,Train Movement,04:14,13:56,6,71
232,BR001676,TMS002160,COA000715,C00053,17972,MW007734,Train Movement,12:56,14:24,12,4
234,BR001684,TMS002170,COA000957,C00078,15767,MW005603,Train Movement,00:44,02:55,11,49
235,BR001703,TMS002195,COA000215,C00087,50777,MW007962,Train Movement,06:01,10:08,13,14
235,BR001703,TMS002195,COA000215,C00087,54438,MW009221,Train Movement,03:07,07:21,10,41
235,BR001703,TMS002195,COA000215,C00087,65396,MW011166,Train Movement,02:43,07:12,8,41
237,BR001738,TMS002242,COA000627,C00024,16754,MW006929,Train Movement,08:01,09:29,10,32
238,BR001769,TMS002283,COA000938,C00083,68414,MW012150,Train Movement,19:49,22:25,11,32
239,BR001771,TMS002285,COA000548,C00031,13773,MW002549,Train Movement,02:15,03:20,9,69
240,BR001782,TMS002298,COA000789,C00053,12042,MW000059,Train Movement,09:16,10:46,10,92
242,BR001790,TMS002309,COA001331,C00002,17573,MW007602,Train Movement,10:35,11:51,10,53
243,BR001794,TMS002313,COA001436,C00087,16359,MW006408,Train Movement,18:37,21:23,12,98
243,BR001794,TMS002313,COA001436,C00087,16374,MW006434,Train Movement,20:41,23:24,9,11
251,BR001861,TMS002401,COA000254,C00094,92185,MW013793,Train Movement,13:48,19:17,12,119
253,BR001893,TMS002444,COA000535,C00056,54802,MW009334,Train Movement,15:31,16:31,14,73
254,BR001901,TMS002455,COA000059,C00089,14961,MW004291,Train Movement,03:31,04:59,10,46
254,BR001901,TMS002455,COA000059,C00089,15242,MW004786,Train Movement,03:28,04:55,10,49
256,BR001906,TMS002460,COA000591,C00008,12392,MW000583,Train Movement,00:56,02:38,5,40
257,BR001916,TMS002471,COA001033,C00016,53816,MW009060,Train Movement,01:25,03:04,12,65
258,BR001919,TMS002475,COA000291,C00023,94205,MW014170,Train Movement,06:39,08:23,10,39
262,BR001938,TMS002498,COA000078,C00026,15403,MW005022,Train Movement,09:44,15:43,6,110
262,BR001938,TMS002498,COA000078,C00026,15423,MW005095,Train Movement,09:31,15:39,14,114
262,BR001938,TMS002498,COA000078,C00026,16590,MW006728,Train Movement,10:17,16:23,12,114
262,BR001938,TMS002498,COA000078,C00026,58567,MW010547,Train Movement,13:34,22:39,13,114
263,BR001941,TMS002502,COA000062,C00088,99166,MW014932,Train Movement,02:45,06:14,15,8
264,BR001942,TMS002503,COA000750,C00005,53816,MW009062,Train Movement,07:41,10:32,6,9
266,BR001952,TMS002516,COA000682,C00001,53252,MW008786,Train Movement,02:47,12:41,10,48
266,BR001952,TMS002516,COA000682,C00001,75134,MW012568,Train Movement,05:11,16:11,15,67
266,BR001952,TMS002516,COA000682,C00001,77013,MW012832,Train Movement,10:26,21:33,9,67
273,BR001995,TMS002568,COA000296,C00041,76559,MW012750,Train Movement,09:40,10:38,10,78
274,BR002002,TMS002575,COA001257,C00070,15189,MW004655,Train Movement,11:15,11:48,5,35
275,BR002011,TMS002589,COA000235,C00015,15418,MW005064,Train Movement,17:12,19:58,15,87
278,BR002030,TMS002618,COA000028,C00007,12535,MW000774,Train Movement,13:17,15:43,5,1
278,BR002030,TMS002618,COA000028,C00007,55499,MW009506,Train Movement,07:09,11:36,7,34
278,BR002030,TMS002618,COA000028,C00007,65901,MW011339,Train Movement,09:37,14:19,11,124
278,BR002030,TMS002618,COA000028,C00007,66780,MW011570,Train Movement,11:11,15:52,14,124
282,BR002052,TMS002647,COA000580,C00005,54087,MW009164,Train Movement,08:00,10:59,9,40
287,BR002085,TMS002689,COA001249,C00083,68680,MW012187,Train Movement,00:52,03:30,15,30
288,BR002088,TMS002692,COA000356,C00033,78448,MW013110,Train Movement,01:16,04:05,12,27
288,BR002088,TMS002692,COA000356,C00033,79364,MW013311,Train Movement,02:36,05:25,13,108
289,BR002091,TMS002695,COA000908,C00089,15058,MW004397,Train Movement,06:47,08:19,14,45
289,BR002091,TMS002695,COA000908,C00089,16057,MW005969,Train Movement,08:33,10:04,14,84
289,BR002091,TMS002695,COA000908,C00089,55588,MW009517,Train Movement,07:10,09:20,6,98
289,BR002091,TMS002695,COA000908,C00089,66486,MW011483,Train Movement,07:07,09:17,13,102
293,BR002128,TMS002750,COA000471,C00025,15087,MW004450,Train Movement,14:08,20:12,13,87
293,BR002128,TMS002750,COA000471,C00025,56697,MW009938,Train Movement,11:23,20:29,6,103
293,BR002128,TMS002750,COA000471,C00025,79320,MW013266,Train Movement,07:01,17:10,7,103
293,BR002128,TMS002750,COA000471,C00025,98095,MW014756,Train Movement,11:15,22:47,10,103
295,BR002151,TMS002777,COA000653,C00003,53393,MW008856,Train Movement,18:21,20:24,9,7
295,BR002151,TMS002777,COA000653,C00003,79342,MW013295,Train Movement,15:50,18:05,9,103
296,BR002151,TMS002777,COA000748,C00003,98722,MW014866,Train Movement,12:01,15:04,12,83
297,BR002151,TMS002777,COA001234,C00003,53393,MW008856,Train Movement,18:21,20:24,9,34
297,BR002151,TMS002777,COA001234,C00003,79342,MW013295,Train Movement,15:50,18:05,9,76
299,BR002160,TMS002788,COA000542,C00039,50904,MW008025,Train Movement,19:41,20:37,7,62
300,BR002168,TMS002798,COA000359,C00100,14473,MW003558,Train Movement,15:29,15:35,12,11
302,BR002174,TMS002805,COA000074,C00049,59963,MW010951,Train Movement,14:47,17:25,12,82
303,BR002174,TMS002805,COA001481,C00049,68882,MW012232,Train Movement,07:06,09:51,14,59
304,BR002177,TMS002808,COA001132,C00059,68328,MW012085,Train Movement,05:18,11:09,13,26
305,BR002179,TMS002811,COA000481,C00081,51521,MW008173,Train Movement,17:53,19:40,6,51
305,BR002179,TMS002811,COA000481,C00081,65091,MW010982,Train Movement,17:46,19:37,15,57
305,BR002179,TMS002811,COA000481,C00081,69445,MW012399,Train Movement,17:18,19:09,12,26
306,BR002182,TMS002814,COA000080,C00066,12336,MW000470,Train Movement,18:55,19:42,7,61
306,BR002182,TMS002814,COA000080,C00066,16241,MW006189,Train Movement,19:58,20:58,14,88
307,BR002187,TMS002821,COA001253,C00014,16816,MW007017,Train Movement,07:26,08:57,8,90
307,BR002187,TMS002821,COA001253,C00014,79032,MW013205,Train Movement,08:01,10:41,6,53
310,BR002192,TMS002826,COA001065,C00060,13770,MW002530,Train Movement,00:34,01:15,12,52
311,BR002195,TMS002830,COA001282,C00090,15079,MW004414,Train Movement,07:52,09:15,10,49
311,BR002195,TMS002830,COA001282,C00090,16302,MW006324,Train Movement,07:01,08:26,10,46
313,BR002203,TMS002839,COA001467,C00063,91665,MW013718,Train Movement,03:49,08:33,9,113
313,BR002203,TMS002839,COA001467,C00063,98474,MW014816,Train Movement,04:37,09:08,15,113
316,BR002236,TMS002881,COA000141,C00091,17712,MW007645,Train Movement,16:12,18:51,8,15
316,BR002236,TMS002881,COA000141,C00091,52371,MW008445,Train Movement,10:16,15:33,6,52
316,BR002236,TMS002881,COA000141,C00091,96658,MW014568,Train Movement,09:16,16:16,9,92
317,BR002236,TMS002881,COA000203,C00091,52371,MW008445,Train Movement,10:16,15:33,6,92
317,BR002236,TMS002881,COA000203,C00091,96658,MW014568,Train Movement,09:16,16:16,9,92
319,BR002247,TMS002896,COA000481,C00081,51521,MW008173,Train Movement,17:53,19:40,6,51
319,BR002247,TMS002896,COA000481,C00081,65091,MW010982,Train Movement,17:46,19:37,15,57
319,BR002247,TMS002896,COA000481,C00081,69445,MW012399,Train Movement,17:18,19:09,12,26
322,BR002266,TMS002920,COA001139,C00088,56202,MW009734,Train Movement,07:42,10:13,11,61
324,BR002277,TMS002938,COA001087,C00019,75138,MW012573,Train Movement,07:05,11:01,6,100
325,BR002278,TMS002939,COA000551,C00025,16048,MW005936,Train Movement,15:30,21:35,9,43
325,BR002278,TMS002939,COA000551,C00025,16839,MW007093,Train Movement,13:13,19:19,6,39
325,BR002278,TMS002939,COA000551,C00025,75652,MW012647,Train Movement,08:41,18:50,15,19
326,BR002285,TMS002949,COA000017,C00011,15676,MW005494,Train Movement,10:20,15:02,15,140
326,BR002285,TMS002949,COA000017,C00011,52670,MW008550,Train Movement,05:47,12:45,11,146
326,BR002285,TMS002949,COA000017,C00011,53445,MW008907,Train Movement,11:01,17:59,14,98
326,BR002285,TMS002949,COA000017,C00011,55499,MW009507,Train Movement,11:36,18:32,13,62
326,BR002285,TMS002949,COA000017,C00011,94638,MW014243,Train Movement,09:30,18:58,15,146
327,BR002285,TMS002949,COA001252,C00011,13726,MW002493,Train Movement,18:02,21:46,15,146
327,BR002285,TMS002949,COA001252,C00011,52282,MW008397,Train Movement,13:25,20:22,9,138
327,BR002285,TMS002949,COA001252,C00011,55499,MW009507,Train Movement,11:36,18:32,13,32
327,BR002285,TMS002949,COA001252,C00011,94638,MW014243,Train Movement,09:30,18:58,15,60
329,BR002303,TMS002969,COA000207,C00015,15298,MW004888,Train Movement,08:22,11:12,8,39
329,BR002303,TMS002969,COA000207,C00015,15613,MW005408,Train Movement,09:29,12:12,6,39
330,BR002303,TMS002969,COA001214,C00015,56609,MW009901,Train Movement,14:17,18:23,9,39
330,BR002303,TMS002969,COA001214,C00015,65094,MW010991,Train Movement,12:33,16:57,11,39
331,BR002306,TMS002972,COA000179,C00082,14226,MW003207,Train Movement,10:53,13:03,11,114
335,BR002348,TMS003027,COA000780,C00059,15671,MW005484,Train Movement,14:11,17:49,8,120
335,BR002348,TMS003027,COA000780,C00059,52693,MW008563,Train Movement,13:02,18:31,9,120
