block_request_id,task_id,asset_id,department,corridor_id,block_window_id,recommended_date,predicted_priority,priority_category,recommended_start,recommended_end,recommended_duration_min,train_conflict_count,conflict_duration_min,forecast_goods_trains,feasibility,reason_for_recommendation
BR000249,TMS000306,AST001532,Engineering,C00002,COA000347,2025-06-26,52.46213150024414,Medium,01:12,02:00,48,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000259,TMS000319,AST004348,Engineering,C00039,COA000175,2025-06-14,35.69047164916992,Low,06:06,07:50,104,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000304,TMS000376,AST003204,Engineering,C00037,COA000508,2025-06-06,47.81586837768555,Medium,11:49,12:45,56,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000335,TMS000422,AST004554,Engineering,C00078,COA000293,2025-06-05,29.119583129882812,Low,03:28,04:44,76,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000336,TMS000423,AST003516,Engineering,C00055,COA001100,2025-06-28,36.672454833984375,Low,03:12,04:01,49,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000341,TMS000430,AST002929,Engineering,C00100,COA000848,2025-06-18,47.35833740234375,Medium,00:01,01:06,65,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000372,TMS000470,AST002160,Engineering,C00018,COA000484,2025-06-23,53.39499282836914,Medium,13:35,15:25,110,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000404,TMS000510,AST001118,Engineering,C00013,COA001415,2025-06-30,48.35883712768555,Medium,13:30,16:29,179,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000407,TMS000513,AST000799,Engineering,C00006,COA000103,2025-06-23,66.24956512451172,High,09:21,10:44,83,0,0.0,1.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000448,TMS000566,AST004848,Engineering,C00031,COA000306,2025-06-28,36.257686614990234,Low,10:00,10:31,31,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000455,TMS000574,AST000917,Engineering,C00013,COA000275,2025-06-10,47.91828918457031,Medium,18:46,20:56,130,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000469,TMS000596,AST000513,Engineering,C00035,COA000765,2025-06-24,57.095848083496094,Medium,07:33,09:48,135,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000531,TMS000673,AST003211,Engineering,C00003,COA000948,2025-06-23,67.15543365478516,High,02:12,04:47,155,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000619,TMS000797,AST004551,Engineering,C00002,COA000596,2025-06-22,36.27513122558594,Low,09:06,10:42,96,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000628,TMS000809,AST000950,Engineering,C00006,COA000586,2025-06-23,84.33378601074219,Critical,16:33,18:40,127,1,21.0,1.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000636,TMS000820,AST002763,Engineering,C00081,COA000559,2025-06-03,20.74152374267578,Low,04:45,07:00,135,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000639,TMS000824,AST002230,Engineering,C00099,COA000614,2025-06-04,53.29069519042969,Medium,10:04,11:16,72,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000642,TMS000828,AST004301,Engineering,C00017,COA000379,2025-06-04,39.71046829223633,Low,18:06,19:07,61,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000673,TMS000862,AST004121,Engineering,C00094,COA001471,2025-06-27,34.734703063964844,Low,05:05,05:43,38,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000691,TMS000888,AST000690,Engineering,C00086,COA000605,2025-06-03,65.4158706665039,High,06:37,08:33,116,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000804,TMS001043,AST003413,Engineering,C00004,COA000764,2025-06-19,50.48440170288086,Medium,08:12,10:41,149,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000807,TMS001047,AST000257,Engineering,C00041,COA000939,2025-06-05,50.37519454956055,Medium,07:12,09:47,155,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000814,TMS001059,AST005247,Engineering,C00077,COA000650,2025-06-26,70.0226058959961,High,06:39,07:34,55,0,0.0,9.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000890,TMS001148,AST003224,Engineering,C00044,COA001444,2025-06-16,47.0586051940918,Medium,15:59,17:09,70,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000911,TMS001185,AST003195,Engineering,C00050,COA001037,2025-06-16,30.02313804626465,Low,14:53,15:39,46,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000912,TMS001187,AST000019,Engineering,C00100,COA000087,2025-06-28,53.65614318847656,Medium,01:20,02:38,78,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000913,TMS001188,AST002472,Engineering,C00055,COA000249,2025-06-11,59.123992919921875,Medium,18:27,19:35,68,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000924,TMS001204,AST001111,Engineering,C00082,COA000623,2025-06-21,37.83534622192383,Low,16:05,16:54,49,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000939,TMS001224,AST000342,Engineering,C00031,COA000897,2025-06-16,34.760005950927734,Low,00:38,03:14,156,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR000943,TMS001228,AST004592,Engineering,C00043,COA000027,2025-06-18,41.95737838745117,Medium,00:03,02:25,142,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001002,TMS001302,AST004299,Engineering,C00079,COA001262,2025-06-21,27.148283004760742,Low,01:19,02:36,77,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001020,TMS001323,AST004078,Engineering,C00097,COA000216,2025-06-20,29.898649215698242,Low,07:55,10:30,155,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001043,TMS001354,AST003520,Engineering,C00046,COA001429,2025-06-05,44.75938415527344,Medium,05:27,06:56,89,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001068,TMS001381,AST000086,Engineering,C00042,COA001128,2025-06-08,50.189666748046875,Medium,14:23,16:24,121,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001077,TMS001393,AST003583,Engineering,C00030,COA000218,2025-06-06,47.58542251586914,Medium,06:33,08:35,122,0,0.0,7.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001106,TMS001435,AST002453,Engineering,C00071,COA000731,2025-06-19,33.518157958984375,Low,09:29,09:59,30,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001168,TMS001524,AST001009,Engineering,C00077,COA001259,2025-06-09,43.06232452392578,Medium,05:05,06:11,66,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001172,TMS001528,AST002590,Engineering,C00056,COA000270,2025-06-14,36.63232421875,Low,12:58,15:34,156,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001246,TMS001623,AST003068,Engineering,C00033,COA000649,2025-06-27,53.35737609863281,Medium,11:58,13:07,69,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001249,TMS001627,AST001555,Engineering,C00035,COA000635,2025-06-02,33.792537689208984,Low,15:11,17:04,113,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001258,TMS001637,AST000448,Engineering,C00003,COA000746,2025-06-03,29.25566864013672,Low,07:52,08:32,40,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001299,TMS001685,AST002951,Engineering,C00034,COA001223,2025-06-11,17.58233642578125,Low,11:36,14:17,161,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001347,TMS001744,AST003986,Engineering,C00001,COA000326,2025-06-22,31.41425895690918,Low,08:25,10:32,127,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001350,TMS001748,AST005115,Engineering,C00015,COA001123,2025-06-19,62.82112503051758,High,15:05,16:52,107,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001389,TMS001799,AST000034,Engineering,C00082,COA000661,2025-06-08,72.79035186767578,High,14:22,15:03,41,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001430,TMS001853,AST001052,Engineering,C00092,COA001012,2025-06-03,79.2149887084961,High,02:44,04:57,133,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001516,TMS001957,AST000343,Engineering,C00042,COA000788,2025-06-09,27.895862579345703,Low,10:27,11:40,73,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001517,TMS001958,AST003323,Engineering,C00023,COA000590,2025-06-20,36.178646087646484,Low,08:23,11:07,164,0,0.0,7.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001546,TMS001994,AST001052,Engineering,C00092,COA000589,2025-06-17,66.90011596679688,High,00:54,01:53,59,0,0.0,3.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001564,TMS002025,AST001818,Engineering,C00097,COA001295,2025-06-27,59.10942077636719,Medium,06:51,09:06,135,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001570,TMS002031,AST000997,Engineering,C00023,COA000947,2025-06-12,31.043508529663086,Low,17:17,17:51,34,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001588,TMS002053,AST005113,Engineering,C00035,COA001250,2025-06-19,28.56853675842285,Low,10:22,11:04,42,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001592,TMS002058,AST002507,Engineering,C00025,COA001404,2025-06-07,30.135183334350586,Low,02:14,03:26,72,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001644,TMS002124,AST005233,Engineering,C00026,COA000977,2025-06-28,35.898990631103516,Low,17:19,18:30,71,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001679,TMS002164,AST000486,Engineering,C00060,COA000076,2025-06-18,48.16926956176758,Medium,18:11,19:19,68,0,0.0,7.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001784,TMS002301,AST000452,Engineering,C00013,COA000620,2025-06-12,71.52735137939453,High,06:18,08:37,139,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001795,TMS002314,AST004227,Engineering,C00013,COA000645,2025-06-28,63.75917053222656,High,19:03,20:14,71,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001814,TMS002337,AST001427,Engineering,C00063,COA000911,2025-06-12,29.5369930267334,Low,07:09,07:56,47,0,0.0,12.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001827,TMS002357,AST000495,Engineering,C00073,COA000201,2025-06-12,20.526111602783203,Low,15:27,16:28,61,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001848,TMS002383,AST005270,Engineering,C00052,COA000341,2025-06-03,40.626731872558594,Medium,10:46,11:18,32,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001932,TMS002490,AST001964,Engineering,C00006,COA001325,2025-06-05,54.928680419921875,Medium,15:10,16:44,94,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001947,TMS002510,AST003977,Engineering,C00045,COA001131,2025-06-10,42.60279083251953,Medium,03:30,04:42,72,0,0.0,7.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001970,TMS002537,AST000202,Engineering,C00023,COA001111,2025-06-08,37.67305374145508,Low,08:39,09:41,62,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001979,TMS002549,AST002998,Engineering,C00058,COA000043,2025-06-30,37.659584045410156,Low,17:45,18:27,42,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR001985,TMS002555,AST000013,Engineering,C00001,COA000785,2025-06-03,41.69219970703125,Medium,19:44,21:10,86,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002012,TMS002590,AST004726,Engineering,C00023,COA001496,2025-06-08,61.053253173828125,High,19:20,20:11,51,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002038,TMS002630,AST001943,Engineering,C00079,COA000125,2025-06-19,18.972074508666992,Low,19:31,20:31,60,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002049,TMS002642,AST000833,Engineering,C00060,COA000578,2025-06-06,27.841440200805664,Low,00:44,02:32,108,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002062,TMS002659,AST003362,Engineering,C00030,COA001191,2025-06-05,32.85316848754883,Low,19:49,21:24,95,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002076,TMS002677,AST000225,Engineering,C00048,COA001366,2025-06-27,27.01528549194336,Low,00:30,01:19,49,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002082,TMS002684,AST002933,Engineering,C00023,COA001201,2025-06-24,40.5394287109375,Medium,09:24,11:01,97,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002099,TMS002705,AST002803,Engineering,C00013,COA000240,2025-06-12,78.09130859375,High,10:23,11:41,78,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002137,TMS002761,AST001071,Engineering,C00058,COA001024,2025-06-02,57.41082000732422,Medium,04:07,05:00,53,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002155,TMS002781,AST000091,Engineering,C00012,COA000475,2025-06-16,24.784048080444336,Low,12:38,13:22,44,0,0.0,8.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002168,TMS002798,AST001501,Engineering,C00100,COA000492,2025-06-27,23.667530059814453,Low,01:33,02:41,68,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002192,TMS002826,AST003510,Engineering,C00060,COA000838,2025-06-12,54.53652572631836,Medium,05:30,06:22,52,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002195,TMS002830,AST004532,Engineering,C00090,COA001489,2025-06-25,31.555673599243164,Low,10:46,11:35,49,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002216,TMS002857,AST002984,Engineering,C00008,COA000940,2025-06-28,48.16788101196289,Medium,12:16,13:05,49,0,0.0,6.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002244,TMS002893,AST003405,Engineering,C00093,COA000975,2025-06-28,82.43401336669922,Critical,11:45,12:33,48,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002255,TMS002907,AST004129,Engineering,C00060,COA000634,2025-06-29,63.177677154541016,High,06:25,08:39,134,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002276,TMS002937,AST002120,Engineering,C00051,COA000843,2025-06-19,49.61964416503906,Medium,13:13,14:33,80,0,0.0,1.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002302,TMS002968,AST000345,Engineering,C00046,COA000558,2025-06-29,36.749366760253906,Low,19:03,19:48,45,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002309,TMS002975,AST000647,Engineering,C00060,COA000292,2025-06-16,35.433143615722656,Low,17:25,19:31,126,0,0.0,2.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002337,TMS003009,AST000926,Engineering,C00012,COA000491,2025-06-26,47.0804557800293,Medium,19:19,20:25,66,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002409,TMS003097,AST001788,Engineering,C00066,COA000466,2025-06-11,36.407814025878906,Low,00:30,01:16,46,0,0.0,5.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002430,TMS003122,AST003013,Engineering,C00038,COA000737,2025-06-05,55.59790802001953,Medium,15:15,17:20,125,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002451,TMS003146,AST004977,Engineering,C00075,COA000038,2025-06-01,37.79122543334961,Low,14:03,14:49,46,0,0.0,8.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002466,TMS003166,AST000781,Engineering,C00003,COA001455,2025-06-09,38.04336929321289,Low,16:55,18:27,92,0,0.0,4.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
BR002468,TMS003168,AST000195,Engineering,C00013,COA000213,2025-06-09,48.4577751159668,Medium,07:38,09:23,105,0,0.0,0.0,FEASIBLE,"Selected by the global CP-SAT optimizer based on maintenance priority, train conflicts, conflict duration, goods-train activity and block constraints."
