block_request_id,task_id,asset_id,department,corridor_id,predicted_priority,priority_category,requested_duration_min,recommended_date,recommended_start,recommended_end,recommended_duration_min,train_conflict_count,conflict_duration_min,forecast_goods_trains,affected_trains,feasibility,request_status,reason_for_recommendation
BR000404,TMS000510,AST001118,Engineering,C00013,48.35883712768555,Medium,,2025-06-30,13:30,16:29,179,0,0.0,0.0,55588,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 179 min block
BR000407,TMS000513,AST000799,Engineering,C00006,66.24956512451172,High,,2025-06-23,09:21,10:44,83,0,0.0,1.0,"12504, 13676, 55017",Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 83 min block
BR000448,TMS000566,AST004848,Engineering,C00031,36.257686614990234,Low,,2025-06-28,10:00,10:31,31,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 31 min block
BR000455,TMS000574,AST000917,Engineering,C00013,47.91828918457031,Medium,,2025-06-10,18:46,20:56,130,0,0.0,4.0,"13247, 15927, 53252",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 130 min block
BR000469,TMS000596,AST000513,Engineering,C00035,57.095848083496094,Medium,,2025-06-24,07:33,09:48,135,0,0.0,2.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 135 min block
BR000531,TMS000673,AST003211,Engineering,C00003,67.15543365478516,High,,2025-06-23,02:12,04:47,155,0,0.0,0.0,95846,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 155 min block
BR000619,TMS000797,AST004551,Engineering,C00002,36.27513122558594,Low,,2025-06-22,09:06,10:42,96,0,0.0,0.0,16816,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 96 min block
BR000628,TMS000809,AST000950,Engineering,C00006,84.33378601074219,Critical,,2025-06-23,16:33,18:40,127,1,21.0,1.0,,Feasible with Operational Impact,OPTIMIZED,Critical priority maintenance; 1 train conflict(s); 127 min block
BR000636,TMS000820,AST002763,Engineering,C00081,20.74152374267578,Low,,2025-06-03,04:45,07:00,135,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 135 min block
BR000639,TMS000824,AST002230,Engineering,C00099,53.29069519042969,Medium,,2025-06-04,10:04,11:16,72,0,0.0,5.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 72 min block
BR000642,TMS000828,AST004301,Engineering,C00017,39.71046829223633,Low,,2025-06-04,18:06,19:07,61,0,0.0,6.0,59354,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 61 min block
BR000673,TMS000862,AST004121,Engineering,C00094,34.734703063964844,Low,,2025-06-27,05:05,05:43,38,0,0.0,0.0,50174,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 38 min block
BR000691,TMS000888,AST000690,Engineering,C00086,65.4158706665039,High,,2025-06-03,06:37,08:33,116,0,0.0,0.0,16602,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 116 min block
BR000804,TMS001043,AST003413,Engineering,C00004,50.48440170288086,Medium,,2025-06-19,08:12,10:41,149,0,0.0,0.0,12262,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 149 min block
BR000807,TMS001047,AST000257,Engineering,C00041,50.37519454956055,Medium,,2025-06-05,07:12,09:47,155,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 155 min block
BR000814,TMS001059,AST005247,Engineering,C00077,70.0226058959961,High,,2025-06-26,06:39,07:34,55,0,0.0,9.0,78732,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 55 min block
BR000890,TMS001148,AST003224,Engineering,C00044,47.0586051940918,Medium,,2025-06-16,15:59,17:09,70,0,0.0,4.0,68587,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 70 min block
BR000911,TMS001185,AST003195,Engineering,C00050,30.02313804626465,Low,,2025-06-16,14:53,15:39,46,0,0.0,6.0,98722,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 46 min block
BR000912,TMS001187,AST000019,Engineering,C00100,53.65614318847656,Medium,,2025-06-28,01:20,02:38,78,0,0.0,0.0,"53393, 79342",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 78 min block
BR000913,TMS001188,AST002472,Engineering,C00055,59.123992919921875,Medium,,2025-06-11,18:27,19:35,68,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 68 min block
BR000924,TMS001204,AST001111,Engineering,C00082,37.83534622192383,Low,,2025-06-21,16:05,16:54,49,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 49 min block
BR000939,TMS001224,AST000342,Engineering,C00031,34.760005950927734,Low,,2025-06-16,00:38,03:14,156,0,0.0,2.0,15320,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 156 min block
BR000943,TMS001228,AST004592,Engineering,C00043,41.95737838745117,Medium,,2025-06-18,00:03,02:25,142,0,0.0,0.0,15167,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 142 min block
BR001002,TMS001302,AST004299,Engineering,C00079,27.148283004760742,Low,,2025-06-21,01:19,02:36,77,0,0.0,0.0,12262,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 77 min block
BR001020,TMS001323,AST004078,Engineering,C00097,29.898649215698242,Low,,2025-06-20,07:55,10:30,155,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 155 min block
BR001043,TMS001354,AST003520,Engineering,C00046,44.75938415527344,Medium,,2025-06-05,05:27,06:56,89,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 89 min block
BR001068,TMS001381,AST000086,Engineering,C00042,50.189666748046875,Medium,,2025-06-08,14:23,16:24,121,0,0.0,0.0,"13394, 54538",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 121 min block
BR001077,TMS001393,AST003583,Engineering,C00030,47.58542251586914,Medium,,2025-06-06,06:33,08:35,122,0,0.0,7.0,"14546, 77013",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 122 min block
BR001106,TMS001435,AST002453,Engineering,C00071,33.518157958984375,Low,,2025-06-19,09:29,09:59,30,0,0.0,2.0,15767,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 30 min block
BR001168,TMS001524,AST001009,Engineering,C00077,43.06232452392578,Medium,,2025-06-09,05:05,06:11,66,0,0.0,3.0,17573,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 66 min block
BR001172,TMS001528,AST002590,Engineering,C00056,36.63232421875,Low,,2025-06-14,12:58,15:34,156,0,0.0,5.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 156 min block
BR001246,TMS001623,AST003068,Engineering,C00033,53.35737609863281,Medium,,2025-06-27,11:58,13:07,69,0,0.0,5.0,92185,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 69 min block
BR001249,TMS001627,AST001555,Engineering,C00035,33.792537689208984,Low,,2025-06-02,15:11,17:04,113,0,0.0,3.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 113 min block
BR001258,TMS001637,AST000448,Engineering,C00003,29.25566864013672,Low,,2025-06-03,07:52,08:32,40,0,0.0,6.0,54802,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 40 min block
BR001299,TMS001685,AST002951,Engineering,C00034,17.58233642578125,Low,,2025-06-11,11:36,14:17,161,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 161 min block
BR001347,TMS001744,AST003986,Engineering,C00001,31.41425895690918,Low,,2025-06-22,08:25,10:32,127,0,0.0,5.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 127 min block
BR001350,TMS001748,AST005115,Engineering,C00015,62.82112503051758,High,,2025-06-19,15:05,16:52,107,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 107 min block
BR001389,TMS001799,AST000034,Engineering,C00082,72.79035186767578,High,,2025-06-08,14:22,15:03,41,0,0.0,3.0,54087,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 41 min block
BR001430,TMS001853,AST001052,Engineering,C00092,79.2149887084961,High,,2025-06-03,02:44,04:57,133,0,0.0,5.0,68680,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 133 min block
BR001516,TMS001957,AST000343,Engineering,C00042,27.895862579345703,Low,,2025-06-09,10:27,11:40,73,0,0.0,6.0,14473,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 73 min block
BR001517,TMS001958,AST003323,Engineering,C00023,36.178646087646484,Low,,2025-06-20,08:23,11:07,164,0,0.0,7.0,59963,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 164 min block
BR001546,TMS001994,AST001052,Engineering,C00092,66.90011596679688,High,,2025-06-17,00:54,01:53,59,0,0.0,3.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 59 min block
BR001564,TMS002025,AST001818,Engineering,C00097,59.10942077636719,Medium,,2025-06-27,06:51,09:06,135,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 135 min block
BR001570,TMS002031,AST000997,Engineering,C00023,31.043508529663086,Low,,2025-06-12,17:17,17:51,34,0,0.0,5.0,56202,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 34 min block
BR001588,TMS002053,AST005113,Engineering,C00035,28.56853675842285,Low,,2025-06-19,10:22,11:04,42,0,0.0,0.0,"13726, 52282, 55499, 94638",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 42 min block
BR001592,TMS002058,AST002507,Engineering,C00025,30.135183334350586,Low,,2025-06-07,02:14,03:26,72,0,0.0,6.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 72 min block
BR001644,TMS002124,AST005233,Engineering,C00026,35.898990631103516,Low,,2025-06-28,17:19,18:30,71,0,0.0,0.0,98237,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 71 min block
BR001679,TMS002164,AST000486,Engineering,C00060,48.16926956176758,Medium,,2025-06-18,18:11,19:19,68,0,0.0,7.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 68 min block
BR001784,TMS002301,AST000452,Engineering,C00013,71.52735137939453,High,,2025-06-12,06:18,08:37,139,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 139 min block
BR001795,TMS002314,AST004227,Engineering,C00013,63.75917053222656,High,,2025-06-28,19:03,20:14,71,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 71 min block
BR001814,TMS002337,AST001427,Engineering,C00063,29.5369930267334,Low,,2025-06-12,07:09,07:56,47,0,0.0,12.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 47 min block
BR001827,TMS002357,AST000495,Engineering,C00073,20.526111602783203,Low,,2025-06-12,15:27,16:28,61,0,0.0,5.0,68377,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 61 min block
BR001848,TMS002383,AST005270,Engineering,C00052,40.626731872558594,Medium,,2025-06-03,10:46,11:18,32,0,0.0,0.0,"14085, 14378, 16405",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 32 min block
BR001932,TMS002490,AST001964,Engineering,C00006,54.928680419921875,Medium,,2025-06-05,15:10,16:44,94,0,0.0,2.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 94 min block
BR001947,TMS002510,AST003977,Engineering,C00045,42.60279083251953,Medium,,2025-06-10,03:30,04:42,72,0,0.0,7.0,"15666, 99670",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 72 min block
BR001970,TMS002537,AST000202,Engineering,C00023,37.67305374145508,Low,,2025-06-08,08:39,09:41,62,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 62 min block
BR001979,TMS002549,AST002998,Engineering,C00058,37.659584045410156,Low,,2025-06-30,17:45,18:27,42,0,0.0,0.0,92185,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 42 min block
BR001985,TMS002555,AST000013,Engineering,C00001,41.69219970703125,Medium,,2025-06-03,19:44,21:10,86,0,0.0,0.0,"13177, 14352, 50154",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 86 min block
BR002012,TMS002590,AST004726,Engineering,C00023,61.053253173828125,High,,2025-06-08,19:20,20:11,51,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 51 min block
BR002038,TMS002630,AST001943,Engineering,C00079,18.972074508666992,Low,,2025-06-19,19:31,20:31,60,0,0.0,0.0,52593,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 60 min block
BR002049,TMS002642,AST000833,Engineering,C00060,27.841440200805664,Low,,2025-06-06,00:44,02:32,108,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 108 min block
BR002062,TMS002659,AST003362,Engineering,C00030,32.85316848754883,Low,,2025-06-05,19:49,21:24,95,0,0.0,6.0,"12412, 50300",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 95 min block
BR002076,TMS002677,AST000225,Engineering,C00048,27.01528549194336,Low,,2025-06-27,00:30,01:19,49,0,0.0,0.0,"56470, 76804",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 49 min block
BR002082,TMS002684,AST002933,Engineering,C00023,40.5394287109375,Medium,,2025-06-24,09:24,11:01,97,0,0.0,5.0,68056,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 97 min block
BR002099,TMS002705,AST002803,Engineering,C00013,78.09130859375,High,,2025-06-12,10:23,11:41,78,0,0.0,4.0,53617,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 78 min block
BR002137,TMS002761,AST001071,Engineering,C00058,57.41082000732422,Medium,,2025-06-02,04:07,05:00,53,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 53 min block
BR002155,TMS002781,AST000091,Engineering,C00012,24.784048080444336,Low,,2025-06-16,12:38,13:22,44,0,0.0,8.0,15210,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 44 min block
BR002168,TMS002798,AST001501,Engineering,C00100,23.667530059814453,Low,,2025-06-27,01:33,02:41,68,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 68 min block
BR002192,TMS002826,AST003510,Engineering,C00060,54.53652572631836,Medium,,2025-06-12,05:30,06:22,52,0,0.0,5.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 52 min block
BR002195,TMS002830,AST004532,Engineering,C00090,31.555673599243164,Low,,2025-06-25,10:46,11:35,49,0,0.0,0.0,"52282, 92673",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 49 min block
BR002216,TMS002857,AST002984,Engineering,C00008,48.16788101196289,Medium,,2025-06-28,12:16,13:05,49,0,0.0,6.0,"51023, 55709, 56900, 68060, 78365",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 49 min block
BR002244,TMS002893,AST003405,Engineering,C00093,82.43401336669922,Critical,,2025-06-28,11:45,12:33,48,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Critical priority maintenance; 0 train conflict(s); 48 min block
BR002255,TMS002907,AST004129,Engineering,C00060,63.177677154541016,High,,2025-06-29,06:25,08:39,134,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 134 min block
BR002276,TMS002937,AST002120,Engineering,C00051,49.61964416503906,Medium,,2025-06-19,13:13,14:33,80,0,0.0,1.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 80 min block
BR002302,TMS002968,AST000345,Engineering,C00046,36.749366760253906,Low,,2025-06-29,19:03,19:48,45,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 45 min block
BR002309,TMS002975,AST000647,Engineering,C00060,35.433143615722656,Low,,2025-06-16,17:25,19:31,126,0,0.0,2.0,13057,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 126 min block
BR002337,TMS003009,AST000926,Engineering,C00012,47.0804557800293,Medium,,2025-06-26,19:19,20:25,66,0,0.0,4.0,"12450, 68377",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 66 min block
BR002409,TMS003097,AST001788,Engineering,C00066,36.407814025878906,Low,,2025-06-11,00:30,01:16,46,0,0.0,5.0,"14265, 59887, 67608, 99297",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 46 min block
BR002430,TMS003122,AST003013,Engineering,C00038,55.59790802001953,Medium,,2025-06-05,15:15,17:20,125,0,0.0,4.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 125 min block
BR002451,TMS003146,AST004977,Engineering,C00075,37.79122543334961,Low,,2025-06-01,14:03,14:49,46,0,0.0,8.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 46 min block
BR002466,TMS003166,AST000781,Engineering,C00003,38.04336929321289,Low,,2025-06-09,16:55,18:27,92,0,0.0,4.0,13923,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 92 min block
BR002468,TMS003168,AST000195,Engineering,C00013,48.4577751159668,Medium,,2025-06-09,07:38,09:23,105,0,0.0,0.0,57042,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 105 min block
BR002471,TMS003171,AST000439,Engineering,C00013,56.40998840332031,Medium,,2025-06-16,06:00,07:38,98,0,0.0,6.0,"52770, 98198",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 98 min block
BR002475,TMS003175,AST003098,Engineering,C00064,39.68883514404297,Low,,2025-06-17,19:13,19:53,40,0,0.0,0.0,,Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 40 min block
BR002504,TMS003209,AST002424,Engineering,C00045,61.301177978515625,High,,2025-06-22,11:36,13:24,108,0,0.0,9.0,,Feasible - No Train Conflict,OPTIMIZED,High priority maintenance; 0 train conflict(s); 108 min block
BR002528,TMS003241,AST002141,Engineering,C00020,40.13140869140625,Medium,,2025-06-10,12:21,14:38,137,0,0.0,0.0,67608,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 137 min block
BR002574,TMS003301,AST000073,Engineering,C00021,27.46466827392578,Low,,2025-06-20,17:27,19:35,128,0,0.0,0.0,"13868, 51175, 53863",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 128 min block
BR002614,TMS003352,AST002409,Engineering,C00080,72.92066955566406,High,,2025-06-21,15:30,17:16,106,1,8.0,0.0,"15420, 52599",Feasible with Operational Impact,OPTIMIZED,High priority maintenance; 1 train conflict(s); 106 min block
BR002657,TMS003412,AST001419,Engineering,C00008,52.5659294128418,Medium,,2025-06-09,00:45,01:19,34,0,0.0,3.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 34 min block
BR002658,TMS003413,AST004989,Engineering,C00077,57.190460205078125,Medium,,2025-06-07,04:25,05:09,44,0,0.0,6.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 44 min block
BR002684,TMS003446,AST004597,Engineering,C00044,54.28020095825195,Medium,,2025-06-07,03:29,04:19,50,0,0.0,5.0,,Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 50 min block
BR002687,TMS003450,AST003274,Engineering,C00008,20.422527313232422,Low,,2025-06-12,01:11,01:47,36,0,0.0,2.0,"51995, 55144",Feasible - No Train Conflict,OPTIMIZED,Low priority maintenance; 0 train conflict(s); 36 min block
BR002703,TMS003472,AST003872,Engineering,C00062,56.4355354309082,Medium,,2025-06-05,02:43,03:22,39,0,0.0,2.0,"13771, 99943",Feasible - No Train Conflict,OPTIMIZED,Medium priority maintenance; 0 train conflict(s); 39 min block
