movement_id,train_no,from_station_sequence,corridor_id,from_station_code,to_station_code,arrival_time,next_arrival_time,movement_date,movement_type,conflict_buffer_min
MOV-00034,22436,1,COR-067,SC,CNB,21:15,22:50,2026-09-16,Passenger Express,19
MOV-00035,54321,7,COR-019,MAS,BE,18:45,19:05,2026-09-21,Suburban Local,31
MOV-00036,54321,5,COR-093,LKO,BZA,05:30,05:20,2026-09-21,Freight Heavy,17
MOV-00037,54321,1,COR-024,LKO,KGP,20:45,21:05,2026-09-14,Freight Heavy,20
MOV-00038,12301,4,COR-075,PRYJ,BZA,18:45,18:20,2026-09-23,Freight Heavy,35
MOV-00039,22436,2,COR-089,MAS,MYS,19:00,19:20,2026-09-18,Passenger Express,18
MOV-00040,54321,8,COR-022,HWH,BE,09:45,09:05,2026-09-19,Freight Heavy,11
MOV-00041,12301,1,COR-079,LKO,KZJ,11:45,11:05,2026-09-21,Passenger Express,14
MOV-00042,22436,2,COR-086,SC,DDU,11:15,11:35,2026-09-25,Special Freight,29
MOV-00043,12951,2,COR-075,HWH,MYS,22:30,22:20,2026-09-19,Passenger Express,18
MOV-00044,22436,6,COR-070,HWH,DDU,10:15,11:05,2026-09-13,Suburban Local,14
MOV-00045,58901,1,COR-070,LKO,BZA,19:15,19:35,2026-09-10,Passenger Express,24
MOV-00046,22436,1,COR-007,PRYJ,PUNE,18:00,19:35,2026-09-19,Suburban Local,17
MOV-00047,12951,8,COR-050,PRYJ,MYS,17:15,18:50,2026-09-11,Freight Heavy,14
MOV-00048,54321,6,COR-097,SBC,BE,14:15,14:05,2026-09-16,Passenger Express,13
MOV-00049,54321,6,COR-021,SC,BZA,01:45,01:05,2026-09-16,Passenger Express,5
MOV-00050,12002,1,COR-077,MAS,MYS,13:45,14:35,2026-09-26,Special Freight,26
MOV-00051,12002,3,COR-053,SBC,CNB,05:30,05:20,2026-09-29,Suburban Local,34
MOV-00052,12301,4,COR-059,LKO,MYS,21:15,21:05,2026-09-21,Suburban Local,21
MOV-00053,12951,4,COR-043,LKO,CNB,17:30,17:20,2026-09-14,Freight Heavy,28
MOV-00054,12626,7,COR-038,NDLS,DDU,03:00,04:35,2026-09-23,Passenger Express,26
MOV-00055,22436,5,COR-075,CSMT,DDU,13:00,14:35,2026-09-20,Passenger Express,5
MOV-00056,12301,5,COR-039,SC,PUNE,01:30,01:05,2026-09-16,Special Freight,9
MOV-00057,12301,3,COR-035,PRYJ,KZJ,06:45,07:35,2026-09-11,Freight Heavy,14
MOV-00058,12951,8,COR-066,SBC,BE,13:15,13:35,2026-09-15,Special Freight,22
MOV-00059,12002,2,COR-087,LKO,BZA,21:15,21:35,2026-09-22,Freight Heavy,31
MOV-00060,12626,7,COR-080,HWH,BE,19:30,19:20,2026-09-17,Passenger Express,10
MOV-00061,12301,4,COR-070,LKO,BZA,10:15,10:35,2026-09-12,Freight Heavy,27
MOV-00062,58901,4,COR-076,NDLS,CNB,22:45,22:05,2026-09-17,Suburban Local,15
MOV-00063,12301,6,COR-071,NDLS,BE,03:30,03:50,2026-09-20,Special Freight,9
MOV-00064,54321,5,COR-035,CSMT,PUNE,10:15,11:35,2026-09-27,Passenger Express,31
MOV-00065,22436,4,COR-059,NDLS,CNB,17:30,17:20,2026-09-23,Passenger Express,33
MOV-00066,12626,4,COR-002,PRYJ,MYS,17:30,18:05,2026-09-15,Passenger Express,9
MOV-00067,54321,2,COR-066,LKO,PUNE,21:15,22:50,2026-09-28,Freight Heavy,18
MOV-00068,12626,4,COR-091,HWH,CNB,00:15,00:05,2026-09-16,Freight Heavy,13
MOV-00069,58901,2,COR-021,SBC,CNB,22:00,22:20,2026-09-24,Freight Heavy,30
MOV-00070,12301,3,COR-060,MAS,MYS,13:45,14:35,2026-09-09,Suburban Local,28
MOV-00071,58901,3,COR-053,LKO,CNB,15:00,16:35,2026-09-27,Freight Heavy,33
MOV-00072,22436,4,COR-006,PRYJ,BE,04:15,05:50,2026-09-14,Suburban Local,12
MOV-00073,54321,7,COR-035,PRYJ,MYS,13:15,14:35,2026-09-16,Passenger Express,28
MOV-00074,12626,7,COR-004,SC,BE,06:30,07:05,2026-09-22,Suburban Local,31
MOV-00075,12301,3,COR-088,SBC,PUNE,13:15,14:50,2026-09-16,Suburban Local,10
MOV-00076,58901,1,COR-056,PRYJ,CNB,08:15,08:50,2026-09-23,Freight Heavy,7
MOV-00077,12002,5,COR-095,PRYJ,BZA,20:45,20:05,2026-09-19,Suburban Local,19
MOV-00078,12626,8,COR-042,SBC,BZA,02:15,02:35,2026-09-14,Passenger Express,2
MOV-00079,22436,3,COR-043,HWH,KGP,01:45,02:05,2026-09-25,Passenger Express,18
MOV-00080,12626,3,COR-012,SC,DDU,20:45,21:20,2026-09-18,Special Freight,22
MOV-00081,58901,6,COR-019,SC,PUNE,09:45,09:05,2026-09-22,Special Freight,3
MOV-00082,12002,5,COR-034,HWH,KGP,09:15,09:35,2026-09-12,Suburban Local,26
MOV-00083,12951,7,COR-025,SC,PUNE,12:15,13:05,2026-09-18,Suburban Local,16
MOV-00084,12002,5,COR-029,LKO,BE,05:30,06:05,2026-09-21,Special Freight,24
MOV-00085,12951,5,COR-036,PRYJ,KGP,11:45,12:35,2026-09-17,Suburban Local,29
MOV-00086,22436,6,COR-073,SC,MYS,02:00,03:50,2026-09-20,Freight Heavy,17
MOV-00087,22436,5,COR-025,LKO,CNB,07:30,07:50,2026-09-12,Special Freight,5
MOV-00088,22436,8,COR-078,HWH,KZJ,05:30,06:20,2026-09-18,Suburban Local,21
MOV-00089,12951,3,COR-023,SBC,DDU,17:00,18:50,2026-09-09,Special Freight,3
MOV-00090,22436,5,COR-056,CSMT,BE,19:45,19:35,2026-09-19,Passenger Express,34
MOV-00091,12301,2,COR-033,CSMT,DDU,17:45,17:05,2026-09-18,Special Freight,27
MOV-00092,58901,1,COR-028,HWH,DDU,00:15,00:50,2026-09-21,Suburban Local,5
MOV-00093,12951,3,COR-035,MAS,MYS,04:45,04:35,2026-09-10,Suburban Local,16
MOV-00094,58901,4,COR-098,MAS,BZA,22:30,22:50,2026-09-17,Suburban Local,27
MOV-00095,12301,6,COR-011,SC,KZJ,09:00,09:35,2026-09-27,Passenger Express,33
MOV-00096,22436,4,COR-029,PRYJ,CNB,02:30,03:05,2026-09-14,Freight Heavy,18
MOV-00097,12951,2,COR-034,LKO,KZJ,10:45,11:20,2026-09-16,Special Freight,7
MOV-00098,12301,4,COR-049,PRYJ,KGP,21:15,21:50,2026-09-28,Suburban Local,28
MOV-00099,12626,2,COR-058,CSMT,BZA,02:00,02:20,2026-09-16,Freight Heavy,17
MOV-00100,22436,6,COR-067,SC,KGP,14:00,15:20,2026-09-17,Suburban Local,17
MOV-00101,22436,5,COR-052,HWH,DDU,21:30,22:20,2026-09-14,Suburban Local,8
MOV-00102,12002,2,COR-100,CSMT,PUNE,12:00,13:35,2026-09-28,Passenger Express,31
MOV-00103,12951,7,COR-039,SBC,BE,14:30,15:50,2026-09-13,Suburban Local,22
MOV-00104,12951,8,COR-059,LKO,BE,09:45,09:20,2026-09-26,Special Freight,32
MOV-00105,12951,4,COR-045,SBC,KZJ,10:30,11:20,2026-09-12,Suburban Local,11
MOV-00106,12951,4,COR-021,HWH,BE,01:15,02:35,2026-09-11,Freight Heavy,27
MOV-00107,22436,6,COR-002,CSMT,PUNE,19:30,20:05,2026-09-11,Suburban Local,28
MOV-00108,58901,6,COR-038,SBC,KZJ,12:45,13:05,2026-09-09,Suburban Local,23
MOV-00109,54321,1,COR-060,PRYJ,CNB,08:45,08:20,2026-09-13,Special Freight,5
MOV-00110,22436,4,COR-078,LKO,BE,22:15,23:35,2026-09-09,Suburban Local,33
MOV-00111,12951,1,COR-050,SBC,KZJ,02:30,03:05,2026-09-23,Special Freight,19
MOV-00112,12951,6,COR-097,LKO,KZJ,15:15,16:50,2026-09-21,Special Freight,17
MOV-00113,58901,6,COR-003,MAS,KZJ,04:30,05:20,2026-09-19,Suburban Local,3
MOV-00114,22436,6,COR-055,SC,KZJ,09:00,09:50,2026-09-18,Passenger Express,31
MOV-00115,12951,7,COR-018,LKO,DDU,13:45,14:20,2026-09-10,Passenger Express,22
MOV-00116,54321,7,COR-078,LKO,DDU,07:30,07:20,2026-09-11,Special Freight,26
MOV-00117,12301,3,COR-041,SBC,DDU,00:45,00:35,2026-09-23,Suburban Local,34
MOV-00118,22436,5,COR-006,LKO,MYS,19:45,19:20,2026-09-17,Passenger Express,23
MOV-00119,12002,3,COR-034,LKO,BZA,00:00,01:35,2026-09-12,Suburban Local,34
MOV-00120,58901,7,COR-013,SBC,BZA,05:30,05:50,2026-09-17,Suburban Local,10
MOV-00121,54321,2,COR-003,CSMT,DDU,16:30,16:20,2026-09-24,Passenger Express,4
MOV-00122,54321,4,COR-087,CSMT,DDU,09:15,10:05,2026-09-21,Freight Heavy,22
MOV-00123,12301,6,COR-015,CSMT,DDU,13:30,13:50,2026-09-12,Special Freight,31
MOV-00124,22436,6,COR-063,SBC,KZJ,03:45,03:05,2026-09-25,Passenger Express,34
MOV-00125,54321,2,COR-004,SC,KGP,12:30,13:20,2026-09-27,Freight Heavy,35
MOV-00126,22436,7,COR-088,LKO,MYS,21:00,21:35,2026-09-24,Freight Heavy,33
MOV-00127,22436,6,COR-095,MAS,KGP,00:45,01:05,2026-09-29,Special Freight,8
MOV-00128,58901,2,COR-033,SBC,BZA,05:15,05:50,2026-09-20,Passenger Express,29
MOV-00129,54321,2,COR-077,PRYJ,CNB,20:00,20:20,2026-09-26,Special Freight,26
MOV-00130,12626,3,COR-005,CSMT,CNB,09:15,10:05,2026-09-16,Freight Heavy,7
MOV-00131,12626,8,COR-073,CSMT,MYS,20:15,21:50,2026-09-29,Suburban Local,17
MOV-00132,12951,6,COR-072,CSMT,KGP,13:45,14:05,2026-09-13,Suburban Local,21
MOV-00133,12626,7,COR-082,LKO,BE,17:00,17:50,2026-09-28,Freight Heavy,35
MOV-00134,12301,7,COR-024,NDLS,MYS,10:45,11:35,2026-09-09,Suburban Local,3
MOV-00135,58901,3,COR-048,SC,KZJ,10:00,11:35,2026-09-20,Freight Heavy,22
MOV-00136,22436,1,COR-017,PRYJ,MYS,12:30,12:50,2026-09-17,Suburban Local,33
MOV-00137,22436,2,COR-034,MAS,KZJ,13:30,13:50,2026-09-21,Special Freight,17
MOV-00138,58901,7,COR-093,CSMT,BE,00:45,01:05,2026-09-17,Special Freight,28
MOV-00139,12301,2,COR-058,PRYJ,PUNE,18:15,19:35,2026-09-28,Freight Heavy,31
MOV-00140,12626,1,COR-060,PRYJ,CNB,06:30,07:50,2026-09-11,Special Freight,30
MOV-00141,22436,6,COR-095,HWH,BZA,20:45,20:20,2026-09-16,Suburban Local,7
MOV-00142,12951,7,COR-062,SBC,BZA,20:30,20:05,2026-09-28,Passenger Express,25
MOV-00143,12002,1,COR-024,NDLS,KGP,05:30,06:05,2026-09-23,Passenger Express,29
MOV-00144,12626,5,COR-030,SBC,PUNE,20:30,20:05,2026-09-23,Passenger Express,31
MOV-00145,54321,8,COR-002,PRYJ,BZA,16:15,17:05,2026-09-20,Passenger Express,11
MOV-00146,22436,1,COR-019,PRYJ,MYS,06:15,07:35,2026-09-21,Special Freight,10
MOV-00147,12626,8,COR-015,CSMT,KZJ,02:15,03:50,2026-09-24,Passenger Express,20
MOV-00148,12626,1,COR-018,LKO,BZA,10:15,11:05,2026-09-27,Passenger Express,27
MOV-00149,58901,8,COR-003,PRYJ,DDU,04:45,04:20,2026-09-22,Special Freight,7
MOV-00150,58901,7,COR-001,CSMT,KGP,16:00,16:50,2026-09-14,Suburban Local,35
MOV-00151,54321,6,COR-065,NDLS,PUNE,04:00,05:50,2026-09-26,Freight Heavy,24
MOV-00152,58901,8,COR-042,SBC,PUNE,13:15,14:35,2026-09-23,Passenger Express,19
MOV-00153,22436,7,COR-081,MAS,BE,16:00,16:20,2026-09-15,Freight Heavy,13
MOV-00154,54321,3,COR-055,PRYJ,DDU,13:30,13:05,2026-09-18,Suburban Local,33
MOV-00155,12002,5,COR-059,HWH,KZJ,18:15,18:35,2026-09-23,Suburban Local,32
MOV-00156,12301,6,COR-034,CSMT,MYS,19:15,20:50,2026-09-25,Suburban Local,4
MOV-00157,12002,7,COR-098,LKO,DDU,17:30,18:50,2026-09-23,Passenger Express,26
MOV-00158,22436,1,COR-085,SBC,DDU,00:30,00:05,2026-09-16,Special Freight,23
MOV-00159,12626,1,COR-077,SC,MYS,03:30,03:50,2026-09-24,Freight Heavy,10
MOV-00160,54321,3,COR-005,HWH,DDU,11:45,11:35,2026-09-09,Passenger Express,30
MOV-00161,12951,5,COR-066,MAS,MYS,04:15,04:35,2026-09-24,Passenger Express,5
MOV-00162,54321,4,COR-080,NDLS,PUNE,20:30,20:50,2026-09-22,Passenger Express,7
MOV-00163,54321,8,COR-081,MAS,KGP,04:30,04:05,2026-09-27,Freight Heavy,24
MOV-00164,12951,2,COR-042,SC,MYS,20:15,21:50,2026-09-14,Freight Heavy,20
MOV-00165,12951,5,COR-072,SC,KZJ,21:15,22:50,2026-09-28,Special Freight,31
MOV-00166,12626,2,COR-031,PRYJ,BZA,21:30,21:50,2026-09-29,Suburban Local,22
MOV-00167,12002,8,COR-090,SBC,BE,13:00,13:50,2026-09-26,Suburban Local,10
MOV-00168,12002,3,COR-092,HWH,KGP,20:00,20:50,2026-09-21,Suburban Local,16
MOV-00169,12002,2,COR-072,PRYJ,DDU,03:45,03:05,2026-09-24,Special Freight,15
MOV-00170,12951,1,COR-092,NDLS,BE,08:45,09:20,2026-09-26,Freight Heavy,15
MOV-00171,54321,7,COR-065,HWH,BE,20:00,21:50,2026-09-13,Suburban Local,7
MOV-00172,58901,5,COR-093,SC,DDU,18:30,18:50,2026-09-16,Special Freight,31
MOV-00173,12951,2,COR-053,HWH,BZA,20:15,21:35,2026-09-15,Passenger Express,3
MOV-00174,54321,1,COR-052,LKO,PUNE,10:30,11:20,2026-09-18,Freight Heavy,32
MOV-00175,12951,2,COR-035,MAS,DDU,04:45,05:20,2026-09-26,Passenger Express,16
MOV-00176,54321,8,COR-091,PRYJ,DDU,21:30,21:20,2026-09-12,Passenger Express,24
MOV-00177,12301,2,COR-023,HWH,BZA,08:15,08:05,2026-09-29,Special Freight,3
MOV-00178,12626,8,COR-081,NDLS,PUNE,18:15,18:05,2026-09-28,Freight Heavy,24
MOV-00179,54321,5,COR-013,HWH,BE,15:45,16:05,2026-09-28,Suburban Local,17
MOV-00180,58901,1,COR-088,SBC,PUNE,15:15,15:05,2026-09-26,Freight Heavy,14
MOV-00181,12626,4,COR-008,PRYJ,DDU,20:00,21:20,2026-09-17,Suburban Local,32
MOV-00182,12951,2,COR-086,HWH,DDU,16:45,16:35,2026-09-19,Passenger Express,20
MOV-00183,12002,6,COR-066,SC,MYS,14:15,14:50,2026-09-23,Freight Heavy,35
MOV-00184,12301,5,COR-005,SC,MYS,22:00,22:35,2026-09-25,Freight Heavy,20
MOV-00185,58901,2,COR-013,CSMT,MYS,12:00,13:50,2026-09-29,Passenger Express,25
MOV-00186,12301,2,COR-053,NDLS,CNB,09:30,09:20,2026-09-19,Suburban Local,25
MOV-00187,12301,8,COR-072,NDLS,KZJ,20:15,21:05,2026-09-24,Freight Heavy,2
MOV-00188,12301,5,COR-034,SBC,DDU,20:00,21:50,2026-09-18,Special Freight,28
MOV-00189,54321,6,COR-075,NDLS,KZJ,01:15,01:50,2026-09-16,Suburban Local,9
MOV-00190,58901,8,COR-011,SBC,CNB,13:45,13:35,2026-09-18,Special Freight,31
MOV-00191,12002,3,COR-085,LKO,BZA,19:30,19:05,2026-09-10,Passenger Express,19
MOV-00192,58901,5,COR-073,LKO,PUNE,04:00,04:20,2026-09-12,Passenger Express,5
MOV-00193,22436,5,COR-009,CSMT,CNB,19:00,19:50,2026-09-17,Special Freight,15
MOV-00194,58901,1,COR-059,SC,KZJ,04:30,05:20,2026-09-26,Suburban Local,34
MOV-00195,22436,3,COR-015,LKO,BZA,14:30,14:05,2026-09-17,Passenger Express,12
MOV-00196,58901,5,COR-078,LKO,BZA,19:30,19:50,2026-09-24,Suburban Local,33
MOV-00197,12002,4,COR-079,HWH,KGP,00:15,01:50,2026-09-10,Passenger Express,4
MOV-00198,12951,6,COR-045,PRYJ,KGP,11:45,12:20,2026-09-18,Special Freight,13
MOV-00199,58901,2,COR-032,LKO,BZA,06:30,06:05,2026-09-19,Special Freight,20
MOV-00200,58901,8,COR-040,NDLS,DDU,17:00,18:35,2026-09-12,Passenger Express,26
MOV-00201,12301,5,COR-059,LKO,MYS,22:45,23:35,2026-09-18,Freight Heavy,31
MOV-00202,12951,6,COR-078,MAS,MYS,10:45,11:05,2026-09-14,Suburban Local,29
MOV-00203,12951,6,COR-029,LKO,KZJ,04:15,05:50,2026-09-24,Freight Heavy,20
MOV-00204,22436,3,COR-072,MAS,BE,22:30,23:05,2026-09-15,Passenger Express,35
MOV-00205,12951,7,COR-002,LKO,BZA,11:15,11:05,2026-09-26,Freight Heavy,32
MOV-00206,12626,8,COR-063,HWH,MYS,01:30,02:20,2026-09-20,Passenger Express,32
MOV-00207,12301,7,COR-034,HWH,KZJ,02:00,02:50,2026-09-18,Suburban Local,22
MOV-00208,12301,4,COR-013,PRYJ,PUNE,11:15,11:05,2026-09-28,Special Freight,15
MOV-00209,58901,6,COR-035,MAS,PUNE,00:30,00:50,2026-09-21,Passenger Express,20
MOV-00210,12301,6,COR-079,SBC,BE,15:30,15:20,2026-09-23,Special Freight,3
MOV-00211,12002,5,COR-011,SC,MYS,16:30,16:50,2026-09-17,Freight Heavy,11
MOV-00212,12301,6,COR-070,PRYJ,BE,00:30,00:05,2026-09-16,Suburban Local,11
MOV-00213,22436,1,COR-056,CSMT,BZA,03:15,03:35,2026-09-19,Special Freight,17
MOV-00214,54321,1,COR-038,PRYJ,MYS,06:15,06:35,2026-09-19,Special Freight,4
MOV-00215,12002,3,COR-016,LKO,PUNE,06:30,07:20,2026-09-17,Suburban Local,13
MOV-00216,12951,3,COR-070,MAS,PUNE,18:15,18:50,2026-09-29,Suburban Local,26
MOV-00217,12002,7,COR-021,SBC,MYS,06:00,07:35,2026-09-22,Freight Heavy,8
MOV-00218,12002,3,COR-057,SBC,PUNE,07:45,08:35,2026-09-25,Passenger Express,11
MOV-00219,58901,7,COR-010,HWH,CNB,05:45,06:05,2026-09-23,Special Freight,23
MOV-00220,12626,5,COR-089,HWH,DDU,20:15,20:35,2026-09-12,Freight Heavy,6
MOV-00221,12951,1,COR-055,HWH,KGP,20:30,20:20,2026-09-09,Freight Heavy,6
MOV-00222,54321,2,COR-013,SC,BE,14:00,15:20,2026-09-24,Special Freight,10
MOV-00223,58901,5,COR-091,LKO,KGP,20:45,20:05,2026-09-20,Special Freight,18
MOV-00224,12626,3,COR-046,NDLS,BZA,07:15,07:05,2026-09-29,Special Freight,30
MOV-00225,12002,2,COR-048,SBC,PUNE,18:30,19:50,2026-09-19,Suburban Local,35
MOV-00226,12951,3,COR-075,CSMT,PUNE,02:45,02:20,2026-09-28,Suburban Local,2
MOV-00227,12301,2,COR-031,SC,BE,09:00,09:20,2026-09-27,Special Freight,26
MOV-00228,12301,4,COR-078,CSMT,CNB,04:30,05:05,2026-09-14,Freight Heavy,11
MOV-00229,58901,2,COR-093,CSMT,BE,19:30,19:20,2026-09-20,Special Freight,33
MOV-00230,12626,4,COR-064,MAS,BE,11:30,12:50,2026-09-26,Passenger Express,17
MOV-00231,12002,4,COR-096,PRYJ,DDU,21:15,21:35,2026-09-29,Passenger Express,12
MOV-00232,58901,8,COR-062,NDLS,KGP,19:00,20:35,2026-09-18,Suburban Local,3
MOV-00233,12301,3,COR-082,PRYJ,PUNE,03:15,04:50,2026-09-20,Freight Heavy,25
MOV-00234,12951,1,COR-024,SBC,KGP,02:45,02:20,2026-09-28,Passenger Express,13
MOV-00235,58901,2,COR-055,SC,BZA,12:15,12:05,2026-09-27,Suburban Local,25
MOV-00236,12002,7,COR-050,LKO,CNB,20:00,21:35,2026-09-20,Suburban Local,27
MOV-00237,12626,8,COR-089,PRYJ,CNB,13:30,14:20,2026-09-19,Freight Heavy,4
MOV-00238,12301,4,COR-013,CSMT,BZA,18:30,19:50,2026-09-15,Passenger Express,18
MOV-00239,12626,3,COR-007,NDLS,PUNE,17:15,17:35,2026-09-24,Passenger Express,9
MOV-00240,54321,6,COR-035,NDLS,KZJ,01:15,01:35,2026-09-28,Passenger Express,9
MOV-00241,22436,7,COR-080,CSMT,MYS,07:30,07:20,2026-09-10,Passenger Express,20
MOV-00242,12951,2,COR-017,MAS,MYS,10:15,10:35,2026-09-11,Freight Heavy,16
MOV-00243,12951,4,COR-019,SC,CNB,11:45,11:05,2026-09-28,Passenger Express,31
MOV-00244,58901,1,COR-057,HWH,BE,09:15,10:05,2026-09-25,Passenger Express,21
MOV-00245,12951,3,COR-064,SBC,BE,15:30,15:50,2026-09-23,Suburban Local,13
MOV-00246,12301,5,COR-014,NDLS,KZJ,05:15,05:05,2026-09-09,Passenger Express,18
MOV-00247,54321,2,COR-089,SBC,CNB,03:30,03:20,2026-09-16,Passenger Express,12
MOV-00248,12301,6,COR-073,MAS,BE,18:45,18:35,2026-09-24,Freight Heavy,34
MOV-00249,12626,2,COR-039,PRYJ,MYS,14:15,15:50,2026-09-27,Freight Heavy,13
MOV-00250,54321,2,COR-065,SBC,KGP,02:45,03:05,2026-09-20,Freight Heavy,13
MOV-00251,12626,5,COR-038,NDLS,BE,22:45,22:20,2026-09-16,Suburban Local,26
MOV-00252,12951,8,COR-029,CSMT,DDU,22:30,23:20,2026-09-24,Suburban Local,9
MOV-00253,58901,8,COR-092,MAS,KZJ,14:30,14:50,2026-09-18,Special Freight,19
MOV-00254,12301,1,COR-089,NDLS,BZA,05:00,05:20,2026-09-18,Suburban Local,14
MOV-00255,54321,7,COR-022,HWH,BZA,06:45,07:20,2026-09-19,Suburban Local,35
MOV-00256,12626,1,COR-065,MAS,PUNE,08:45,08:05,2026-09-27,Passenger Express,29
MOV-00257,54321,4,COR-002,LKO,CNB,14:00,14:50,2026-09-17,Special Freight,18
MOV-00258,58901,8,COR-034,LKO,CNB,12:30,13:50,2026-09-24,Special Freight,32
MOV-00259,12626,7,COR-047,PRYJ,DDU,08:15,08:35,2026-09-22,Freight Heavy,18
MOV-00260,12002,4,COR-058,HWH,KZJ,17:30,17:20,2026-09-28,Special Freight,4
MOV-00261,12301,4,COR-033,LKO,KGP,08:15,08:35,2026-09-24,Passenger Express,2
MOV-00262,12301,8,COR-044,SBC,MYS,01:45,01:20,2026-09-29,Passenger Express,2
MOV-00263,58901,3,COR-070,NDLS,KGP,22:00,23:35,2026-09-27,Special Freight,25
MOV-00264,12626,4,COR-049,MAS,PUNE,03:45,03:20,2026-09-19,Passenger Express,24
MOV-00265,12002,1,COR-049,NDLS,PUNE,03:15,03:35,2026-09-22,Passenger Express,16
MOV-00266,58901,7,COR-011,PRYJ,KZJ,04:00,04:20,2026-09-23,Special Freight,14
MOV-00267,58901,4,COR-033,SBC,DDU,09:30,10:20,2026-09-23,Freight Heavy,17
MOV-00268,12626,2,COR-044,PRYJ,MYS,08:15,08:05,2026-09-18,Suburban Local,8
MOV-00269,54321,7,COR-024,NDLS,CNB,08:45,09:35,2026-09-10,Suburban Local,12
MOV-00270,12951,2,COR-063,SC,MYS,17:30,18:05,2026-09-11,Special Freight,33
MOV-00271,12951,2,COR-086,PRYJ,CNB,08:00,08:35,2026-09-25,Suburban Local,15
MOV-00272,58901,4,COR-084,HWH,CNB,05:15,05:50,2026-09-13,Special Freight,21
MOV-00273,58901,1,COR-016,SC,MYS,04:45,05:05,2026-09-10,Passenger Express,32
MOV-00274,58901,4,COR-013,SC,PUNE,03:30,03:20,2026-09-09,Passenger Express,4
MOV-00275,12301,8,COR-068,LKO,CNB,01:00,02:35,2026-09-21,Passenger Express,24
MOV-00276,22436,8,COR-100,SC,KZJ,04:30,05:20,2026-09-10,Suburban Local,20
MOV-00277,12951,2,COR-078,CSMT,BZA,00:30,00:20,2026-09-25,Suburban Local,6
MOV-00278,54321,6,COR-009,NDLS,MYS,16:15,17:05,2026-09-21,Freight Heavy,31
MOV-00279,12626,3,COR-006,LKO,KZJ,08:00,09:50,2026-09-13,Special Freight,5
MOV-00280,22436,2,COR-015,SBC,BZA,10:00,11:50,2026-09-21,Freight Heavy,27
