historical_plan_id,block_request_id,corridor_id,planned_date,planned_start_time,planned_duration_min,planning_method,conflict_count,utilization_pct,status
HIST-00129,BLK-00129,COR-013,2026-09-14,19:15,60,AI Optimization Engine,1,95.0,Partial Conflict
HIST-00130,BLK-00130,COR-071,2026-09-28,14:00,60,AI Optimization Engine,1,93.8,Partial Conflict
HIST-00131,BLK-00131,COR-033,2026-09-18,02:30,300,Manual Rule-Based,8,73.9,Cancelled
HIST-00132,BLK-00132,COR-068,2026-09-18,03:45,360,AI Optimization Engine,1,88.6,Partial Conflict
HIST-00133,BLK-00133,COR-048,2026-09-25,01:00,300,AI Optimization Engine,0,90.3,Executed Cleanly
HIST-00134,BLK-00134,COR-068,2026-09-14,17:15,240,AI Optimization Engine,0,85.9,Executed Cleanly
HIST-00135,BLK-00135,COR-025,2026-09-25,01:30,120,Manual Rule-Based,4,64.8,Cancelled
HIST-00136,BLK-00136,COR-039,2026-09-17,14:00,300,Manual Rule-Based,8,61.9,Cancelled
HIST-00137,BLK-00137,COR-064,2026-09-25,01:45,240,Manual Rule-Based,5,69.6,Cancelled
HIST-00138,BLK-00138,COR-035,2026-09-24,12:15,120,Manual Rule-Based,5,68.9,Cancelled
HIST-00139,BLK-00139,COR-097,2026-09-17,03:15,360,Manual Rule-Based,6,74.1,Cancelled
HIST-00140,BLK-00140,COR-097,2026-09-26,18:30,120,AI Optimization Engine,0,91.4,Executed Cleanly
HIST-00141,BLK-00141,COR-078,2026-09-14,11:45,180,Manual Rule-Based,7,66.7,Cancelled
HIST-00142,BLK-00142,COR-024,2026-09-13,16:00,240,AI Optimization Engine,0,91.4,Executed Cleanly
HIST-00143,BLK-00143,COR-095,2026-09-21,00:15,120,Manual Rule-Based,8,72.9,Cancelled
HIST-00144,BLK-00144,COR-024,2026-09-27,13:15,120,Manual Rule-Based,4,69.0,Cancelled
HIST-00145,BLK-00145,COR-002,2026-09-09,04:30,180,AI Optimization Engine,1,87.7,Partial Conflict
HIST-00146,BLK-00146,COR-035,2026-09-22,22:30,60,AI Optimization Engine,1,95.6,Partial Conflict
HIST-00147,BLK-00147,COR-093,2026-09-23,14:00,120,Manual Rule-Based,8,69.6,Cancelled
HIST-00148,BLK-00148,COR-057,2026-09-12,01:45,60,Manual Rule-Based,3,60.5,Partial Conflict
HIST-00149,BLK-00149,COR-095,2026-09-28,20:15,240,AI Optimization Engine,0,94.1,Executed Cleanly
HIST-00150,BLK-00150,COR-076,2026-09-14,13:30,60,AI Optimization Engine,0,94.1,Executed Cleanly
HIST-00151,BLK-00151,COR-018,2026-09-20,05:30,120,Manual Rule-Based,6,70.9,Cancelled
HIST-00152,BLK-00152,COR-070,2026-09-27,06:45,240,Manual Rule-Based,3,75.2,Partial Conflict
HIST-00153,BLK-00153,COR-073,2026-09-25,05:45,300,AI Optimization Engine,0,85.1,Executed Cleanly
HIST-00154,BLK-00154,COR-058,2026-09-18,00:15,300,AI Optimization Engine,1,85.7,Partial Conflict
HIST-00155,BLK-00155,COR-015,2026-09-24,12:45,240,AI Optimization Engine,0,92.6,Executed Cleanly
HIST-00156,BLK-00156,COR-093,2026-09-21,13:15,300,AI Optimization Engine,0,88.0,Executed Cleanly
HIST-00157,BLK-00157,COR-067,2026-09-16,13:00,240,Manual Rule-Based,4,61.2,Cancelled
HIST-00158,BLK-00158,COR-004,2026-09-22,10:00,300,AI Optimization Engine,1,90.8,Partial Conflict
HIST-00159,BLK-00159,COR-047,2026-09-20,00:15,300,AI Optimization Engine,1,88.3,Partial Conflict
HIST-00160,BLK-00160,COR-046,2026-09-24,18:30,120,Manual Rule-Based,4,69.9,Cancelled
HIST-00161,BLK-00161,COR-048,2026-09-20,00:00,300,Manual Rule-Based,6,69.2,Cancelled
HIST-00162,BLK-00162,COR-063,2026-09-11,14:45,180,AI Optimization Engine,0,95.0,Executed Cleanly
HIST-00163,BLK-00163,COR-053,2026-09-16,19:15,360,Manual Rule-Based,8,63.8,Cancelled
HIST-00164,BLK-00164,COR-022,2026-09-24,03:45,300,AI Optimization Engine,1,96.1,Partial Conflict
HIST-00165,BLK-00165,COR-070,2026-09-23,09:45,300,Manual Rule-Based,6,63.2,Cancelled
HIST-00166,BLK-00166,COR-100,2026-09-22,18:00,180,AI Optimization Engine,0,89.9,Executed Cleanly
HIST-00167,BLK-00167,COR-073,2026-09-26,22:30,300,Manual Rule-Based,4,64.8,Cancelled
HIST-00168,BLK-00168,COR-097,2026-09-17,04:45,360,AI Optimization Engine,0,95.9,Executed Cleanly
HIST-00169,BLK-00169,COR-019,2026-09-23,20:30,120,Manual Rule-Based,5,69.1,Cancelled
HIST-00170,BLK-00170,COR-042,2026-09-21,20:15,120,AI Optimization Engine,1,93.9,Partial Conflict
HIST-00171,BLK-00171,COR-028,2026-09-15,18:30,360,Manual Rule-Based,3,70.2,Partial Conflict
HIST-00172,BLK-00172,COR-013,2026-09-22,07:45,60,Manual Rule-Based,4,65.6,Cancelled
HIST-00173,BLK-00173,COR-084,2026-09-18,17:15,180,AI Optimization Engine,1,95.0,Partial Conflict
HIST-00174,BLK-00174,COR-093,2026-09-16,13:15,120,Manual Rule-Based,6,62.5,Cancelled
HIST-00175,BLK-00175,COR-002,2026-09-28,23:00,180,Manual Rule-Based,8,67.9,Cancelled
HIST-00176,BLK-00176,COR-041,2026-09-10,04:45,60,AI Optimization Engine,1,92.7,Partial Conflict
HIST-00177,BLK-00177,COR-057,2026-09-27,18:45,240,Manual Rule-Based,3,69.8,Partial Conflict
HIST-00178,BLK-00178,COR-045,2026-09-21,03:30,120,AI Optimization Engine,1,96.1,Partial Conflict
HIST-00179,BLK-00179,COR-067,2026-09-12,07:45,120,Manual Rule-Based,8,62.8,Cancelled
HIST-00180,BLK-00180,COR-068,2026-09-12,01:00,60,Manual Rule-Based,8,65.3,Cancelled
HIST-00181,BLK-00181,COR-076,2026-09-29,15:30,300,Manual Rule-Based,3,61.1,Partial Conflict
HIST-00182,BLK-00182,COR-011,2026-09-28,06:15,360,Manual Rule-Based,7,69.8,Cancelled
HIST-00183,BLK-00183,COR-076,2026-09-28,07:30,120,AI Optimization Engine,1,92.1,Partial Conflict
HIST-00184,BLK-00184,COR-079,2026-09-12,16:15,120,AI Optimization Engine,0,90.8,Executed Cleanly
HIST-00185,BLK-00185,COR-048,2026-09-11,03:45,120,AI Optimization Engine,0,90.4,Executed Cleanly
HIST-00186,BLK-00186,COR-092,2026-09-24,13:00,120,AI Optimization Engine,0,91.1,Executed Cleanly
HIST-00187,BLK-00187,COR-033,2026-09-25,15:45,240,AI Optimization Engine,0,89.7,Executed Cleanly
HIST-00188,BLK-00188,COR-047,2026-09-17,00:45,120,AI Optimization Engine,0,86.8,Executed Cleanly
HIST-00189,BLK-00189,COR-010,2026-09-22,04:15,360,Manual Rule-Based,8,75.5,Cancelled
HIST-00190,BLK-00190,COR-012,2026-09-21,14:15,300,Manual Rule-Based,4,66.7,Cancelled
HIST-00191,BLK-00191,COR-094,2026-09-18,13:45,120,Manual Rule-Based,5,62.1,Cancelled
HIST-00192,BLK-00192,COR-001,2026-09-18,17:00,360,AI Optimization Engine,1,94.4,Partial Conflict
HIST-00193,BLK-00193,COR-006,2026-09-24,06:15,180,Manual Rule-Based,5,66.4,Cancelled
HIST-00194,BLK-00194,COR-082,2026-09-26,12:00,60,AI Optimization Engine,0,97.2,Executed Cleanly
HIST-00195,BLK-00195,COR-041,2026-09-18,08:00,300,Manual Rule-Based,4,71.9,Cancelled
HIST-00196,BLK-00196,COR-053,2026-09-28,11:15,60,Manual Rule-Based,7,61.1,Cancelled
HIST-00197,BLK-00197,COR-042,2026-09-11,13:00,360,AI Optimization Engine,0,88.9,Executed Cleanly
HIST-00198,BLK-00198,COR-072,2026-09-18,06:45,180,AI Optimization Engine,0,95.5,Executed Cleanly
HIST-00199,BLK-00199,COR-052,2026-09-20,02:00,120,AI Optimization Engine,0,92.4,Executed Cleanly
HIST-00200,BLK-00200,COR-043,2026-09-17,14:00,360,AI Optimization Engine,0,95.4,Executed Cleanly
HIST-00201,BLK-00201,COR-046,2026-09-15,12:00,360,AI Optimization Engine,0,95.6,Executed Cleanly
HIST-00202,BLK-00202,COR-071,2026-09-22,03:45,120,Manual Rule-Based,4,71.9,Cancelled
HIST-00203,BLK-00203,COR-070,2026-09-20,16:00,180,AI Optimization Engine,1,94.2,Partial Conflict
HIST-00204,BLK-00204,COR-100,2026-09-21,00:15,180,Manual Rule-Based,6,71.5,Cancelled
HIST-00205,BLK-00205,COR-098,2026-09-11,14:00,120,AI Optimization Engine,1,93.6,Partial Conflict
HIST-00206,BLK-00206,COR-091,2026-09-22,07:15,360,AI Optimization Engine,1,91.4,Partial Conflict
HIST-00207,BLK-00207,COR-012,2026-09-20,08:30,120,Manual Rule-Based,4,63.0,Cancelled
HIST-00208,BLK-00208,COR-008,2026-09-15,15:00,300,Manual Rule-Based,3,74.3,Partial Conflict
HIST-00209,BLK-00209,COR-039,2026-09-20,08:00,180,AI Optimization Engine,1,92.4,Partial Conflict
HIST-00210,BLK-00210,COR-086,2026-09-21,02:45,120,Manual Rule-Based,8,74.1,Cancelled
HIST-00211,BLK-00211,COR-024,2026-09-16,11:00,180,Manual Rule-Based,6,65.0,Cancelled
HIST-00212,BLK-00212,COR-041,2026-09-25,08:30,180,AI Optimization Engine,1,89.2,Partial Conflict
HIST-00213,BLK-00213,COR-045,2026-09-18,20:15,300,AI Optimization Engine,1,94.4,Partial Conflict
HIST-00214,BLK-00214,COR-070,2026-09-15,07:30,360,Manual Rule-Based,3,72.6,Partial Conflict
HIST-00215,BLK-00215,COR-041,2026-09-18,08:45,360,AI Optimization Engine,0,92.0,Executed Cleanly
HIST-00216,BLK-00216,COR-056,2026-09-09,11:45,360,AI Optimization Engine,1,85.4,Partial Conflict
HIST-00217,BLK-00217,COR-039,2026-09-13,06:00,180,Manual Rule-Based,7,65.9,Cancelled
HIST-00218,BLK-00218,COR-085,2026-09-12,20:45,240,AI Optimization Engine,0,91.0,Executed Cleanly
HIST-00219,BLK-00219,COR-063,2026-09-19,23:00,120,AI Optimization Engine,1,94.6,Partial Conflict
HIST-00220,BLK-00220,COR-060,2026-09-11,13:30,180,Manual Rule-Based,8,72.2,Cancelled
HIST-00221,BLK-00221,COR-071,2026-09-10,21:00,60,Manual Rule-Based,6,70.5,Cancelled
HIST-00222,BLK-00222,COR-051,2026-09-20,10:15,120,AI Optimization Engine,0,92.7,Executed Cleanly
HIST-00223,BLK-00223,COR-025,2026-09-11,12:15,180,Manual Rule-Based,7,72.4,Cancelled
HIST-00224,BLK-00224,COR-072,2026-09-09,01:45,300,Manual Rule-Based,4,60.6,Cancelled
HIST-00225,BLK-00225,COR-020,2026-09-23,11:30,180,AI Optimization Engine,1,94.2,Partial Conflict
HIST-00226,BLK-00226,COR-050,2026-09-14,05:30,240,Manual Rule-Based,4,62.8,Cancelled
HIST-00227,BLK-00227,COR-089,2026-09-22,21:30,360,AI Optimization Engine,1,94.6,Partial Conflict
HIST-00228,BLK-00228,COR-039,2026-09-26,18:30,360,AI Optimization Engine,1,85.8,Partial Conflict
HIST-00229,BLK-00229,COR-008,2026-09-29,14:00,240,AI Optimization Engine,0,94.1,Executed Cleanly
HIST-00230,BLK-00230,COR-026,2026-09-10,20:30,300,AI Optimization Engine,1,89.6,Partial Conflict
HIST-00231,BLK-00231,COR-088,2026-09-19,00:15,60,Manual Rule-Based,7,72.4,Cancelled
HIST-00232,BLK-00232,COR-096,2026-09-28,00:30,60,AI Optimization Engine,1,87.7,Partial Conflict
HIST-00233,BLK-00233,COR-066,2026-09-13,11:30,180,Manual Rule-Based,6,62.7,Cancelled
HIST-00234,BLK-00234,COR-092,2026-09-23,09:30,180,Manual Rule-Based,6,70.4,Cancelled
HIST-00235,BLK-00235,COR-001,2026-09-22,18:15,60,AI Optimization Engine,1,85.5,Partial Conflict
HIST-00236,BLK-00236,COR-036,2026-09-16,21:15,60,Manual Rule-Based,6,75.0,Cancelled
HIST-00237,BLK-00237,COR-085,2026-09-16,16:00,180,AI Optimization Engine,1,88.7,Partial Conflict
HIST-00238,BLK-00238,COR-075,2026-09-23,00:15,240,Manual Rule-Based,7,75.4,Cancelled
HIST-00239,BLK-00239,COR-085,2026-09-27,23:45,360,AI Optimization Engine,0,91.8,Executed Cleanly
HIST-00240,BLK-00240,COR-046,2026-09-21,09:30,120,Manual Rule-Based,6,61.5,Cancelled
HIST-00241,BLK-00241,COR-007,2026-09-19,20:30,60,AI Optimization Engine,0,95.4,Executed Cleanly
HIST-00242,BLK-00242,COR-007,2026-09-16,05:45,360,Manual Rule-Based,6,74.2,Cancelled
HIST-00243,BLK-00243,COR-081,2026-09-24,22:30,120,AI Optimization Engine,0,87.9,Executed Cleanly
HIST-00244,BLK-00244,COR-079,2026-09-13,06:00,300,AI Optimization Engine,0,88.9,Executed Cleanly
HIST-00245,BLK-00245,COR-003,2026-09-10,05:15,60,AI Optimization Engine,0,94.9,Executed Cleanly
HIST-00246,BLK-00246,COR-009,2026-09-25,15:45,120,Manual Rule-Based,6,70.5,Cancelled
HIST-00247,BLK-00247,COR-097,2026-09-29,17:30,60,Manual Rule-Based,8,64.5,Cancelled
HIST-00248,BLK-00248,COR-047,2026-09-14,06:30,180,AI Optimization Engine,1,87.8,Partial Conflict
HIST-00249,BLK-00249,COR-054,2026-09-11,11:00,240,AI Optimization Engine,1,87.2,Partial Conflict
HIST-00250,BLK-00250,COR-054,2026-09-20,03:45,300,AI Optimization Engine,1,89.1,Partial Conflict
