block_window_id,corridor_id,block_date,window_start,window_end,available_duration_min,availability_status,source
COA-00063,COR-085,2026-09-26,08:00,11:00,180,Reserved,COA System Feed
COA-00064,COR-061,2026-09-24,15:00,19:00,240,Blocked for Track Machine,COA System Feed
COA-00065,COR-036,2026-09-11,06:00,10:00,240,Available,AI Predicted Margin
COA-00066,COR-096,2026-09-15,13:00,16:00,180,Reserved,COA System Feed
COA-00067,COR-017,2026-09-24,20:00,23:00,180,Available,COA System Feed
COA-00068,COR-001,2026-09-09,07:00,09:00,120,Occupied by Freight,AI Predicted Margin
COA-00069,COR-057,2026-09-23,18:00,21:00,180,Blocked for Track Machine,AI Predicted Margin
COA-00070,COR-083,2026-09-18,03:00,05:00,120,Available,COA System Feed
COA-00071,COR-017,2026-09-17,01:00,05:00,240,Blocked for Track Machine,Division Manual Entry
COA-00072,COR-022,2026-09-09,14:00,16:00,120,Blocked for Track Machine,Division Manual Entry
COA-00073,COR-094,2026-09-17,02:00,04:00,120,Blocked for Track Machine,Division Manual Entry
COA-00074,COR-089,2026-09-25,05:00,07:00,120,Available,COA System Feed
COA-00075,COR-053,2026-09-24,13:00,16:00,180,Blocked for Track Machine,Division Manual Entry
COA-00076,COR-085,2026-09-24,17:00,21:00,240,Reserved,COA System Feed
COA-00077,COR-022,2026-09-20,19:00,23:00,240,Reserved,COA System Feed
COA-00078,COR-051,2026-09-22,05:00,08:00,180,Reserved,Division Manual Entry
COA-00079,COR-079,2026-09-09,06:00,09:00,180,Occupied by Freight,AI Predicted Margin
COA-00080,COR-068,2026-09-24,08:00,12:00,240,Occupied by Freight,Division Manual Entry
COA-00081,COR-039,2026-09-22,04:00,08:00,240,Reserved,Division Manual Entry
COA-00082,COR-056,2026-09-13,16:00,19:00,180,Reserved,Division Manual Entry
COA-00083,COR-074,2026-09-16,10:00,14:00,240,Available,COA System Feed
COA-00084,COR-095,2026-09-14,20:00,23:00,180,Available,COA System Feed
COA-00085,COR-077,2026-09-28,05:00,07:00,120,Blocked for Track Machine,AI Predicted Margin
COA-00086,COR-083,2026-09-24,20:00,22:00,120,Blocked for Track Machine,COA System Feed
COA-00087,COR-021,2026-09-28,15:00,19:00,240,Blocked for Track Machine,COA System Feed
COA-00088,COR-058,2026-09-13,16:00,20:00,240,Available,Division Manual Entry
COA-00089,COR-084,2026-09-19,14:00,18:00,240,Occupied by Freight,AI Predicted Margin
COA-00090,COR-035,2026-09-13,01:00,04:00,180,Blocked for Track Machine,COA System Feed
COA-00091,COR-027,2026-09-13,08:00,11:00,180,Occupied by Freight,AI Predicted Margin
COA-00092,COR-042,2026-09-20,12:00,14:00,120,Occupied by Freight,AI Predicted Margin
COA-00093,COR-008,2026-09-11,07:00,10:00,180,Reserved,Division Manual Entry
COA-00094,COR-030,2026-09-16,00:00,04:00,240,Available,AI Predicted Margin
COA-00095,COR-026,2026-09-21,10:00,14:00,240,Occupied by Freight,AI Predicted Margin
COA-00096,COR-062,2026-09-10,06:00,09:00,180,Reserved,AI Predicted Margin
COA-00097,COR-024,2026-09-14,19:00,21:00,120,Occupied by Freight,COA System Feed
COA-00098,COR-035,2026-09-21,02:00,06:00,240,Reserved,COA System Feed
COA-00099,COR-008,2026-09-14,17:00,21:00,240,Available,AI Predicted Margin
COA-00100,COR-077,2026-09-18,07:00,11:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00101,COR-044,2026-09-21,01:00,04:00,180,Occupied by Freight,Division Manual Entry
COA-00102,COR-022,2026-09-20,07:00,10:00,180,Blocked for Track Machine,Division Manual Entry
COA-00103,COR-092,2026-09-12,12:00,16:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00104,COR-100,2026-09-20,08:00,11:00,180,Blocked for Track Machine,COA System Feed
COA-00105,COR-004,2026-09-15,07:00,10:00,180,Available,COA System Feed
COA-00106,COR-077,2026-09-20,03:00,07:00,240,Available,COA System Feed
COA-00107,COR-055,2026-09-23,00:00,02:00,120,Reserved,COA System Feed
COA-00108,COR-030,2026-09-16,10:00,14:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00109,COR-006,2026-09-19,12:00,16:00,240,Reserved,AI Predicted Margin
COA-00110,COR-090,2026-09-10,20:00,23:00,180,Occupied by Freight,Division Manual Entry
COA-00111,COR-018,2026-09-16,18:00,20:00,120,Available,COA System Feed
COA-00112,COR-073,2026-09-14,03:00,06:00,180,Reserved,Division Manual Entry
COA-00113,COR-014,2026-09-13,19:00,21:00,120,Available,COA System Feed
COA-00114,COR-037,2026-09-21,14:00,16:00,120,Reserved,AI Predicted Margin
COA-00115,COR-059,2026-09-24,00:00,03:00,180,Blocked for Track Machine,Division Manual Entry
COA-00116,COR-004,2026-09-13,16:00,18:00,120,Available,Division Manual Entry
COA-00117,COR-068,2026-09-12,20:00,23:00,180,Occupied by Freight,Division Manual Entry
COA-00118,COR-059,2026-09-11,06:00,10:00,240,Available,Division Manual Entry
COA-00119,COR-100,2026-09-16,14:00,17:00,180,Reserved,Division Manual Entry
COA-00120,COR-100,2026-09-12,15:00,17:00,120,Reserved,Division Manual Entry
COA-00121,COR-030,2026-09-19,14:00,18:00,240,Available,AI Predicted Margin
COA-00122,COR-082,2026-09-21,09:00,13:00,240,Reserved,COA System Feed
COA-00123,COR-008,2026-09-26,02:00,04:00,120,Occupied by Freight,Division Manual Entry
COA-00124,COR-082,2026-09-27,09:00,12:00,180,Available,AI Predicted Margin
COA-00125,COR-080,2026-09-09,10:00,12:00,120,Reserved,Division Manual Entry
COA-00126,COR-022,2026-09-16,09:00,13:00,240,Available,Division Manual Entry
COA-00127,COR-047,2026-09-25,13:00,17:00,240,Reserved,Division Manual Entry
COA-00128,COR-079,2026-09-13,05:00,08:00,180,Blocked for Track Machine,AI Predicted Margin
COA-00129,COR-064,2026-09-12,01:00,03:00,120,Blocked for Track Machine,Division Manual Entry
COA-00130,COR-067,2026-09-28,16:00,20:00,240,Blocked for Track Machine,COA System Feed
COA-00131,COR-023,2026-09-26,20:00,23:00,180,Blocked for Track Machine,COA System Feed
COA-00132,COR-060,2026-09-16,11:00,15:00,240,Reserved,Division Manual Entry
COA-00133,COR-049,2026-09-21,07:00,09:00,120,Occupied by Freight,COA System Feed
COA-00134,COR-084,2026-09-16,07:00,09:00,120,Reserved,Division Manual Entry
COA-00135,COR-075,2026-09-20,20:00,22:00,120,Available,Division Manual Entry
COA-00136,COR-044,2026-09-29,01:00,03:00,120,Available,AI Predicted Margin
COA-00137,COR-088,2026-09-21,16:00,19:00,180,Occupied by Freight,Division Manual Entry
COA-00138,COR-014,2026-09-15,18:00,22:00,240,Reserved,COA System Feed
COA-00139,COR-047,2026-09-11,19:00,23:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00140,COR-017,2026-09-22,19:00,22:00,180,Available,COA System Feed
COA-00141,COR-035,2026-09-19,07:00,11:00,240,Reserved,Division Manual Entry
COA-00142,COR-092,2026-09-25,05:00,09:00,240,Blocked for Track Machine,COA System Feed
COA-00143,COR-041,2026-09-18,16:00,20:00,240,Occupied by Freight,COA System Feed
COA-00144,COR-053,2026-09-27,13:00,17:00,240,Occupied by Freight,Division Manual Entry
COA-00145,COR-083,2026-09-15,02:00,05:00,180,Reserved,AI Predicted Margin
COA-00146,COR-052,2026-09-28,04:00,08:00,240,Available,COA System Feed
COA-00147,COR-098,2026-09-25,06:00,08:00,120,Reserved,AI Predicted Margin
COA-00148,COR-007,2026-09-11,12:00,14:00,120,Occupied by Freight,AI Predicted Margin
COA-00149,COR-099,2026-09-15,00:00,02:00,120,Occupied by Freight,AI Predicted Margin
COA-00150,COR-019,2026-09-14,01:00,03:00,120,Reserved,Division Manual Entry
COA-00151,COR-075,2026-09-17,01:00,04:00,180,Occupied by Freight,AI Predicted Margin
COA-00152,COR-088,2026-09-21,17:00,21:00,240,Reserved,COA System Feed
COA-00153,COR-066,2026-09-21,19:00,21:00,120,Reserved,COA System Feed
COA-00154,COR-053,2026-09-10,09:00,12:00,180,Reserved,Division Manual Entry
COA-00155,COR-084,2026-09-25,20:00,23:00,180,Occupied by Freight,Division Manual Entry
COA-00156,COR-074,2026-09-19,07:00,10:00,180,Available,Division Manual Entry
COA-00157,COR-021,2026-09-23,02:00,05:00,180,Reserved,Division Manual Entry
COA-00158,COR-025,2026-09-16,15:00,18:00,180,Occupied by Freight,COA System Feed
COA-00159,COR-017,2026-09-17,19:00,23:00,240,Reserved,Division Manual Entry
COA-00160,COR-073,2026-09-23,14:00,16:00,120,Available,AI Predicted Margin
COA-00161,COR-006,2026-09-21,05:00,09:00,240,Blocked for Track Machine,COA System Feed
COA-00162,COR-023,2026-09-22,02:00,06:00,240,Blocked for Track Machine,COA System Feed
COA-00163,COR-010,2026-09-19,07:00,10:00,180,Blocked for Track Machine,AI Predicted Margin
COA-00164,COR-058,2026-09-15,04:00,06:00,120,Available,Division Manual Entry
COA-00165,COR-007,2026-09-22,09:00,11:00,120,Blocked for Track Machine,COA System Feed
COA-00166,COR-096,2026-09-18,13:00,17:00,240,Reserved,Division Manual Entry
COA-00167,COR-056,2026-09-23,01:00,05:00,240,Occupied by Freight,COA System Feed
COA-00168,COR-022,2026-09-28,03:00,07:00,240,Available,COA System Feed
COA-00169,COR-040,2026-09-25,03:00,05:00,120,Available,AI Predicted Margin
COA-00170,COR-071,2026-09-27,06:00,09:00,180,Available,COA System Feed
COA-00171,COR-053,2026-09-09,15:00,19:00,240,Reserved,COA System Feed
COA-00172,COR-005,2026-09-19,15:00,19:00,240,Reserved,COA System Feed
COA-00173,COR-002,2026-09-17,08:00,11:00,180,Available,Division Manual Entry
COA-00174,COR-042,2026-09-19,06:00,09:00,180,Blocked for Track Machine,COA System Feed
COA-00175,COR-065,2026-09-29,11:00,14:00,180,Available,Division Manual Entry
COA-00176,COR-064,2026-09-21,19:00,21:00,120,Available,Division Manual Entry
COA-00177,COR-057,2026-09-09,18:00,20:00,120,Available,Division Manual Entry
COA-00178,COR-100,2026-09-14,02:00,06:00,240,Reserved,COA System Feed
COA-00179,COR-079,2026-09-23,07:00,11:00,240,Reserved,Division Manual Entry
COA-00180,COR-074,2026-09-23,12:00,15:00,180,Reserved,AI Predicted Margin
COA-00181,COR-023,2026-09-11,01:00,04:00,180,Available,AI Predicted Margin
COA-00182,COR-060,2026-09-29,14:00,16:00,120,Available,Division Manual Entry
COA-00183,COR-003,2026-09-26,09:00,13:00,240,Occupied by Freight,AI Predicted Margin
COA-00184,COR-067,2026-09-26,12:00,16:00,240,Occupied by Freight,COA System Feed
COA-00185,COR-083,2026-09-11,02:00,06:00,240,Available,Division Manual Entry
COA-00186,COR-074,2026-09-22,04:00,07:00,180,Blocked for Track Machine,Division Manual Entry
COA-00187,COR-054,2026-09-16,02:00,04:00,120,Blocked for Track Machine,Division Manual Entry
COA-00188,COR-015,2026-09-17,07:00,09:00,120,Occupied by Freight,AI Predicted Margin
COA-00189,COR-098,2026-09-23,15:00,18:00,180,Reserved,AI Predicted Margin
COA-00190,COR-074,2026-09-23,10:00,12:00,120,Available,AI Predicted Margin
COA-00191,COR-081,2026-09-21,19:00,23:00,240,Available,AI Predicted Margin
COA-00192,COR-099,2026-09-26,04:00,07:00,180,Available,Division Manual Entry
COA-00193,COR-054,2026-09-12,07:00,09:00,120,Available,AI Predicted Margin
COA-00194,COR-091,2026-09-22,04:00,07:00,180,Occupied by Freight,AI Predicted Margin
COA-00195,COR-005,2026-09-19,01:00,04:00,180,Occupied by Freight,AI Predicted Margin
COA-00196,COR-062,2026-09-22,14:00,16:00,120,Blocked for Track Machine,Division Manual Entry
COA-00197,COR-080,2026-09-11,08:00,11:00,180,Occupied by Freight,Division Manual Entry
COA-00198,COR-082,2026-09-20,12:00,14:00,120,Reserved,AI Predicted Margin
COA-00199,COR-021,2026-09-23,12:00,14:00,120,Blocked for Track Machine,AI Predicted Margin
COA-00200,COR-044,2026-09-09,17:00,20:00,180,Blocked for Track Machine,AI Predicted Margin
COA-00201,COR-006,2026-09-21,09:00,11:00,120,Reserved,COA System Feed
COA-00202,COR-003,2026-09-11,00:00,03:00,180,Occupied by Freight,Division Manual Entry
COA-00203,COR-039,2026-09-18,10:00,12:00,120,Reserved,Division Manual Entry
COA-00204,COR-093,2026-09-12,13:00,16:00,180,Occupied by Freight,Division Manual Entry
COA-00205,COR-030,2026-09-13,16:00,18:00,120,Available,AI Predicted Margin
COA-00206,COR-037,2026-09-26,15:00,18:00,180,Reserved,Division Manual Entry
COA-00207,COR-008,2026-09-18,10:00,14:00,240,Reserved,COA System Feed
COA-00208,COR-046,2026-09-27,01:00,05:00,240,Available,COA System Feed
COA-00209,COR-086,2026-09-09,19:00,23:00,240,Available,AI Predicted Margin
COA-00210,COR-059,2026-09-20,17:00,20:00,180,Available,AI Predicted Margin
COA-00211,COR-051,2026-09-24,01:00,03:00,120,Available,COA System Feed
COA-00212,COR-047,2026-09-11,17:00,21:00,240,Blocked for Track Machine,COA System Feed
COA-00213,COR-034,2026-09-12,00:00,04:00,240,Reserved,COA System Feed
COA-00214,COR-072,2026-09-28,14:00,16:00,120,Reserved,Division Manual Entry
COA-00215,COR-068,2026-09-21,00:00,03:00,180,Available,Division Manual Entry
COA-00216,COR-060,2026-09-24,20:00,22:00,120,Reserved,Division Manual Entry
COA-00217,COR-009,2026-09-23,19:00,21:00,120,Available,Division Manual Entry
COA-00218,COR-087,2026-09-27,17:00,21:00,240,Occupied by Freight,AI Predicted Margin
COA-00219,COR-007,2026-09-29,15:00,17:00,120,Occupied by Freight,Division Manual Entry
COA-00220,COR-036,2026-09-12,18:00,21:00,180,Occupied by Freight,Division Manual Entry
COA-00221,COR-011,2026-09-16,01:00,03:00,120,Reserved,AI Predicted Margin
COA-00222,COR-012,2026-09-09,02:00,06:00,240,Occupied by Freight,AI Predicted Margin
COA-00223,COR-035,2026-09-16,19:00,23:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00224,COR-088,2026-09-19,13:00,15:00,120,Reserved,Division Manual Entry
COA-00225,COR-058,2026-09-12,09:00,12:00,180,Reserved,AI Predicted Margin
COA-00226,COR-028,2026-09-15,16:00,19:00,180,Blocked for Track Machine,COA System Feed
COA-00227,COR-093,2026-09-24,09:00,11:00,120,Available,COA System Feed
COA-00228,COR-029,2026-09-14,12:00,15:00,180,Available,Division Manual Entry
COA-00229,COR-090,2026-09-23,02:00,05:00,180,Available,AI Predicted Margin
COA-00230,COR-012,2026-09-22,19:00,23:00,240,Reserved,AI Predicted Margin
COA-00231,COR-032,2026-09-09,08:00,11:00,180,Available,Division Manual Entry
COA-00232,COR-021,2026-09-10,04:00,08:00,240,Occupied by Freight,AI Predicted Margin
COA-00233,COR-053,2026-09-21,09:00,13:00,240,Available,AI Predicted Margin
COA-00234,COR-051,2026-09-25,05:00,08:00,180,Available,COA System Feed
COA-00235,COR-018,2026-09-09,13:00,17:00,240,Occupied by Freight,AI Predicted Margin
COA-00236,COR-090,2026-09-09,10:00,12:00,120,Occupied by Freight,AI Predicted Margin
COA-00237,COR-006,2026-09-21,02:00,06:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00238,COR-050,2026-09-13,04:00,07:00,180,Blocked for Track Machine,COA System Feed
COA-00239,COR-011,2026-09-17,15:00,17:00,120,Occupied by Freight,COA System Feed
COA-00240,COR-092,2026-09-10,01:00,05:00,240,Available,AI Predicted Margin
COA-00241,COR-034,2026-09-17,07:00,11:00,240,Blocked for Track Machine,COA System Feed
COA-00242,COR-098,2026-09-21,12:00,16:00,240,Occupied by Freight,AI Predicted Margin
COA-00243,COR-087,2026-09-20,14:00,18:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00244,COR-046,2026-09-11,20:00,23:00,180,Available,AI Predicted Margin
COA-00245,COR-046,2026-09-21,20:00,23:00,180,Occupied by Freight,COA System Feed
COA-00246,COR-098,2026-09-17,16:00,20:00,240,Available,Division Manual Entry
COA-00247,COR-051,2026-09-21,12:00,14:00,120,Reserved,Division Manual Entry
COA-00248,COR-046,2026-09-22,08:00,10:00,120,Reserved,AI Predicted Margin
COA-00249,COR-055,2026-09-25,19:00,23:00,240,Occupied by Freight,COA System Feed
COA-00250,COR-098,2026-09-29,01:00,03:00,120,Available,AI Predicted Margin
COA-00251,COR-049,2026-09-29,05:00,08:00,180,Occupied by Freight,Division Manual Entry
COA-00252,COR-005,2026-09-27,03:00,07:00,240,Reserved,AI Predicted Margin
COA-00253,COR-008,2026-09-24,01:00,04:00,180,Blocked for Track Machine,AI Predicted Margin
COA-00254,COR-058,2026-09-19,05:00,09:00,240,Blocked for Track Machine,AI Predicted Margin
COA-00255,COR-090,2026-09-15,12:00,14:00,120,Occupied by Freight,Division Manual Entry
COA-00256,COR-084,2026-09-19,14:00,16:00,120,Available,COA System Feed
COA-00257,COR-057,2026-09-24,03:00,05:00,120,Blocked for Track Machine,AI Predicted Margin
COA-00258,COR-059,2026-09-18,20:00,22:00,120,Occupied by Freight,COA System Feed
COA-00259,COR-031,2026-09-13,10:00,12:00,120,Blocked for Track Machine,Division Manual Entry
COA-00260,COR-028,2026-09-22,16:00,19:00,180,Occupied by Freight,COA System Feed
COA-00261,COR-092,2026-09-18,11:00,15:00,240,Reserved,Division Manual Entry
COA-00262,COR-006,2026-09-17,09:00,11:00,120,Available,Division Manual Entry
COA-00263,COR-053,2026-09-17,02:00,05:00,180,Occupied by Freight,COA System Feed
COA-00264,COR-045,2026-09-12,07:00,11:00,240,Blocked for Track Machine,COA System Feed
COA-00265,COR-018,2026-09-25,08:00,12:00,240,Occupied by Freight,COA System Feed
COA-00266,COR-011,2026-09-27,10:00,14:00,240,Occupied by Freight,Division Manual Entry
COA-00267,COR-097,2026-09-10,05:00,08:00,180,Available,COA System Feed
COA-00268,COR-055,2026-09-24,11:00,13:00,120,Occupied by Freight,Division Manual Entry
COA-00269,COR-008,2026-09-10,10:00,12:00,120,Occupied by Freight,AI Predicted Margin
COA-00270,COR-044,2026-09-25,03:00,07:00,240,Available,AI Predicted Margin
COA-00271,COR-017,2026-09-12,01:00,04:00,180,Blocked for Track Machine,Division Manual Entry
COA-00272,COR-013,2026-09-27,10:00,12:00,120,Available,COA System Feed
COA-00273,COR-054,2026-09-20,17:00,20:00,180,Available,COA System Feed
COA-00274,COR-028,2026-09-27,14:00,18:00,240,Occupied by Freight,AI Predicted Margin
COA-00275,COR-028,2026-09-25,08:00,12:00,240,Available,Division Manual Entry
COA-00276,COR-059,2026-09-29,04:00,06:00,120,Occupied by Freight,COA System Feed
COA-00277,COR-085,2026-09-23,09:00,13:00,240,Occupied by Freight,COA System Feed
COA-00278,COR-003,2026-09-24,10:00,12:00,120,Occupied by Freight,COA System Feed
COA-00279,COR-060,2026-09-19,02:00,05:00,180,Occupied by Freight,COA System Feed
COA-00280,COR-098,2026-09-12,00:00,03:00,180,Reserved,COA System Feed
COA-00281,COR-002,2026-09-28,02:00,04:00,120,Reserved,COA System Feed
COA-00282,COR-030,2026-09-26,09:00,12:00,180,Occupied by Freight,Division Manual Entry
COA-00283,COR-041,2026-09-13,14:00,17:00,180,Available,AI Predicted Margin
COA-00284,COR-032,2026-09-22,03:00,05:00,120,Occupied by Freight,AI Predicted Margin
COA-00285,COR-069,2026-09-22,04:00,08:00,240,Blocked for Track Machine,COA System Feed
COA-00286,COR-018,2026-09-25,17:00,21:00,240,Reserved,COA System Feed
COA-00287,COR-048,2026-09-24,09:00,11:00,120,Blocked for Track Machine,AI Predicted Margin
COA-00288,COR-034,2026-09-21,07:00,10:00,180,Occupied by Freight,COA System Feed
COA-00289,COR-048,2026-09-16,01:00,03:00,120,Reserved,COA System Feed
COA-00290,COR-047,2026-09-25,01:00,05:00,240,Available,COA System Feed
COA-00291,COR-076,2026-09-17,07:00,11:00,240,Available,Division Manual Entry
COA-00292,COR-093,2026-09-28,17:00,20:00,180,Reserved,Division Manual Entry
COA-00293,COR-061,2026-09-27,16:00,19:00,180,Blocked for Track Machine,Division Manual Entry
COA-00294,COR-008,2026-09-16,13:00,15:00,120,Available,COA System Feed
COA-00295,COR-020,2026-09-27,05:00,09:00,240,Occupied by Freight,AI Predicted Margin
COA-00296,COR-055,2026-09-26,19:00,23:00,240,Blocked for Track Machine,COA System Feed
COA-00297,COR-080,2026-09-26,02:00,05:00,180,Available,COA System Feed
COA-00298,COR-097,2026-09-16,04:00,08:00,240,Available,Division Manual Entry
COA-00299,COR-002,2026-09-17,08:00,12:00,240,Available,AI Predicted Margin
COA-00300,COR-071,2026-09-25,20:00,23:00,180,Occupied by Freight,Division Manual Entry
COA-00301,COR-064,2026-09-21,09:00,12:00,180,Available,Division Manual Entry
COA-00302,COR-053,2026-09-29,11:00,13:00,120,Available,COA System Feed
COA-00303,COR-013,2026-09-10,10:00,12:00,120,Reserved,AI Predicted Margin
COA-00304,COR-053,2026-09-18,14:00,17:00,180,Available,Division Manual Entry
COA-00305,COR-060,2026-09-18,15:00,19:00,240,Reserved,Division Manual Entry
COA-00306,COR-028,2026-09-19,11:00,15:00,240,Occupied by Freight,COA System Feed
COA-00307,COR-035,2026-09-17,00:00,04:00,240,Occupied by Freight,AI Predicted Margin
COA-00308,COR-047,2026-09-15,12:00,14:00,120,Reserved,COA System Feed
COA-00309,COR-068,2026-09-15,04:00,06:00,120,Blocked for Track Machine,COA System Feed
COA-00310,COR-026,2026-09-29,03:00,07:00,240,Occupied by Freight,Division Manual Entry
COA-00311,COR-006,2026-09-12,16:00,20:00,240,Available,COA System Feed
COA-00312,COR-030,2026-09-27,16:00,19:00,180,Blocked for Track Machine,Division Manual Entry
COA-00313,COR-052,2026-09-20,00:00,04:00,240,Blocked for Track Machine,COA System Feed
COA-00314,COR-014,2026-09-13,18:00,21:00,180,Reserved,COA System Feed
COA-00315,COR-083,2026-09-10,20:00,23:00,180,Blocked for Track Machine,AI Predicted Margin
COA-00316,COR-011,2026-09-23,13:00,15:00,120,Available,Division Manual Entry
COA-00317,COR-072,2026-09-25,05:00,09:00,240,Blocked for Track Machine,COA System Feed
COA-00318,COR-024,2026-09-12,16:00,19:00,180,Reserved,COA System Feed
COA-00319,COR-004,2026-09-20,19:00,22:00,180,Available,Division Manual Entry
COA-00320,COR-008,2026-09-11,02:00,04:00,120,Available,AI Predicted Margin
COA-00321,COR-027,2026-09-23,20:00,22:00,120,Available,COA System Feed
