block_request_id,task_id,corridor_id,department,requested_duration_min,requested_date,priority,request_status
BLK-00159,TSK-00159,COR-047,Signal & Telecom,300,2026-09-20,P1 - Emergency,Pending
BLK-00160,TSK-00160,COR-046,Electrical,120,2026-09-24,P4 - Routine,Pending
BLK-00161,TSK-00161,COR-048,Signal & Telecom,300,2026-09-20,P1 - Emergency,Rejected
BLK-00162,TSK-00162,COR-063,Signal & Telecom,180,2026-09-11,P3 - Medium,Rejected
BLK-00163,TSK-00163,COR-053,Operating,360,2026-09-16,P4 - Routine,Scheduled
BLK-00164,TSK-00164,COR-022,Electrical,300,2026-09-24,P2 - High,Approved
BLK-00165,TSK-00165,COR-070,Operating,300,2026-09-23,P3 - Medium,Approved
BLK-00166,TSK-00166,COR-100,Engineering,180,2026-09-22,P4 - Routine,Scheduled
BLK-00167,TSK-00167,COR-073,Engineering,300,2026-09-26,P2 - High,Approved
BLK-00168,TSK-00168,COR-097,Signal & Telecom,360,2026-09-17,P3 - Medium,Conflict Flagged
BLK-00169,TSK-00169,COR-019,Operating,120,2026-09-23,P2 - High,Rejected
BLK-00170,TSK-00170,COR-042,Operating,120,2026-09-21,P1 - Emergency,Pending
BLK-00171,TSK-00171,COR-028,Operating,360,2026-09-15,P3 - Medium,Scheduled
BLK-00172,TSK-00172,COR-013,Engineering,60,2026-09-22,P3 - Medium,Pending
BLK-00173,TSK-00173,COR-084,Signal & Telecom,180,2026-09-18,P2 - High,Pending
BLK-00174,TSK-00174,COR-093,Electrical,120,2026-09-16,P3 - Medium,Conflict Flagged
BLK-00175,TSK-00175,COR-002,Operating,180,2026-09-28,P1 - Emergency,Rejected
BLK-00176,TSK-00176,COR-041,Engineering,60,2026-09-10,P3 - Medium,Rejected
BLK-00177,TSK-00177,COR-057,Signal & Telecom,240,2026-09-27,P1 - Emergency,Scheduled
BLK-00178,TSK-00178,COR-045,Operating,120,2026-09-21,P2 - High,Conflict Flagged
BLK-00179,TSK-00179,COR-067,Signal & Telecom,120,2026-09-12,P4 - Routine,Approved
BLK-00180,TSK-00180,COR-068,Engineering,60,2026-09-12,P2 - High,Approved
BLK-00181,TSK-00181,COR-076,Engineering,300,2026-09-29,P3 - Medium,Approved
BLK-00182,TSK-00182,COR-011,Operating,360,2026-09-28,P4 - Routine,Scheduled
BLK-00183,TSK-00183,COR-076,Operating,120,2026-09-28,P4 - Routine,Conflict Flagged
BLK-00184,TSK-00184,COR-079,Operating,120,2026-09-12,P2 - High,Scheduled
BLK-00185,TSK-00185,COR-048,Signal & Telecom,120,2026-09-11,P1 - Emergency,Conflict Flagged
BLK-00186,TSK-00186,COR-092,Electrical,120,2026-09-24,P2 - High,Scheduled
BLK-00187,TSK-00187,COR-033,Signal & Telecom,240,2026-09-25,P1 - Emergency,Scheduled
BLK-00188,TSK-00188,COR-047,Operating,120,2026-09-17,P4 - Routine,Approved
BLK-00189,TSK-00189,COR-010,Electrical,360,2026-09-22,P2 - High,Approved
BLK-00190,TSK-00190,COR-012,Electrical,300,2026-09-21,P4 - Routine,Approved
BLK-00191,TSK-00191,COR-094,Signal & Telecom,120,2026-09-18,P1 - Emergency,Approved
BLK-00192,TSK-00192,COR-001,Electrical,360,2026-09-18,P3 - Medium,Pending
BLK-00193,TSK-00193,COR-006,Engineering,180,2026-09-24,P4 - Routine,Scheduled
BLK-00194,TSK-00194,COR-082,Signal & Telecom,60,2026-09-26,P1 - Emergency,Rejected
BLK-00195,TSK-00195,COR-041,Electrical,300,2026-09-18,P4 - Routine,Rejected
BLK-00196,TSK-00196,COR-053,Electrical,60,2026-09-28,P1 - Emergency,Conflict Flagged
BLK-00197,TSK-00197,COR-042,Signal & Telecom,360,2026-09-11,P1 - Emergency,Scheduled
BLK-00198,TSK-00198,COR-072,Operating,180,2026-09-18,P2 - High,Approved
BLK-00199,TSK-00199,COR-052,Signal & Telecom,120,2026-09-20,P4 - Routine,Pending
BLK-00200,TSK-00200,COR-043,Engineering,360,2026-09-17,P1 - Emergency,Scheduled
BLK-00201,TSK-00201,COR-046,Signal & Telecom,360,2026-09-15,P3 - Medium,Scheduled
BLK-00202,TSK-00202,COR-071,Operating,120,2026-09-22,P1 - Emergency,Conflict Flagged
BLK-00203,TSK-00203,COR-070,Operating,180,2026-09-20,P4 - Routine,Conflict Flagged
BLK-00204,TSK-00204,COR-100,Engineering,180,2026-09-21,P4 - Routine,Approved
BLK-00205,TSK-00205,COR-098,Engineering,120,2026-09-11,P2 - High,Pending
BLK-00206,TSK-00206,COR-091,Engineering,360,2026-09-22,P3 - Medium,Scheduled
BLK-00207,TSK-00207,COR-012,Engineering,120,2026-09-20,P2 - High,Conflict Flagged
BLK-00208,TSK-00208,COR-008,Electrical,300,2026-09-15,P3 - Medium,Pending
BLK-00209,TSK-00209,COR-039,Electrical,180,2026-09-20,P4 - Routine,Conflict Flagged
BLK-00210,TSK-00210,COR-086,Signal & Telecom,120,2026-09-21,P3 - Medium,Scheduled
BLK-00211,TSK-00211,COR-024,Engineering,180,2026-09-16,P3 - Medium,Scheduled
BLK-00212,TSK-00212,COR-041,Electrical,180,2026-09-25,P3 - Medium,Approved
BLK-00213,TSK-00213,COR-045,Engineering,300,2026-09-18,P4 - Routine,Rejected
BLK-00214,TSK-00214,COR-070,Electrical,360,2026-09-15,P1 - Emergency,Scheduled
BLK-00215,TSK-00215,COR-041,Engineering,360,2026-09-18,P1 - Emergency,Scheduled
BLK-00216,TSK-00216,COR-056,Engineering,360,2026-09-09,P2 - High,Conflict Flagged
BLK-00217,TSK-00217,COR-039,Electrical,180,2026-09-13,P2 - High,Approved
BLK-00218,TSK-00218,COR-085,Electrical,240,2026-09-12,P1 - Emergency,Rejected
BLK-00219,TSK-00219,COR-063,Operating,120,2026-09-19,P4 - Routine,Scheduled
BLK-00220,TSK-00220,COR-060,Operating,180,2026-09-11,P1 - Emergency,Scheduled
BLK-00221,TSK-00221,COR-071,Signal & Telecom,60,2026-09-10,P1 - Emergency,Scheduled
BLK-00222,TSK-00222,COR-051,Engineering,120,2026-09-20,P3 - Medium,Approved
BLK-00223,TSK-00223,COR-025,Signal & Telecom,180,2026-09-11,P3 - Medium,Conflict Flagged
BLK-00224,TSK-00224,COR-072,Operating,300,2026-09-09,P3 - Medium,Rejected
BLK-00225,TSK-00225,COR-020,Operating,180,2026-09-23,P2 - High,Approved
BLK-00226,TSK-00226,COR-050,Electrical,240,2026-09-14,P1 - Emergency,Scheduled
BLK-00227,TSK-00227,COR-089,Electrical,360,2026-09-22,P3 - Medium,Scheduled
BLK-00228,TSK-00228,COR-039,Signal & Telecom,360,2026-09-26,P1 - Emergency,Conflict Flagged
BLK-00229,TSK-00229,COR-008,Electrical,240,2026-09-29,P3 - Medium,Approved
BLK-00230,TSK-00230,COR-026,Signal & Telecom,300,2026-09-10,P1 - Emergency,Pending
BLK-00231,TSK-00231,COR-088,Engineering,60,2026-09-19,P3 - Medium,Rejected
BLK-00232,TSK-00232,COR-096,Electrical,60,2026-09-28,P1 - Emergency,Conflict Flagged
BLK-00233,TSK-00233,COR-066,Operating,180,2026-09-13,P1 - Emergency,Rejected
BLK-00234,TSK-00234,COR-092,Electrical,180,2026-09-23,P3 - Medium,Pending
BLK-00235,TSK-00235,COR-001,Engineering,60,2026-09-22,P1 - Emergency,Approved
BLK-00236,TSK-00236,COR-036,Electrical,60,2026-09-16,P2 - High,Approved
BLK-00237,TSK-00237,COR-085,Operating,180,2026-09-16,P4 - Routine,Pending
BLK-00238,TSK-00238,COR-075,Engineering,240,2026-09-23,P3 - Medium,Approved
BLK-00239,TSK-00239,COR-085,Signal & Telecom,360,2026-09-27,P2 - High,Scheduled
BLK-00240,TSK-00240,COR-046,Signal & Telecom,120,2026-09-21,P3 - Medium,Approved
BLK-00241,TSK-00241,COR-007,Operating,60,2026-09-19,P2 - High,Rejected
BLK-00242,TSK-00242,COR-007,Operating,360,2026-09-16,P3 - Medium,Conflict Flagged
BLK-00243,TSK-00243,COR-081,Electrical,120,2026-09-24,P3 - Medium,Rejected
BLK-00244,TSK-00244,COR-079,Signal & Telecom,300,2026-09-13,P1 - Emergency,Approved
BLK-00245,TSK-00245,COR-003,Signal & Telecom,60,2026-09-10,P4 - Routine,Approved
BLK-00246,TSK-00246,COR-009,Signal & Telecom,120,2026-09-25,P2 - High,Approved
BLK-00247,TSK-00247,COR-097,Electrical,60,2026-09-29,P1 - Emergency,Approved
BLK-00248,TSK-00248,COR-047,Engineering,180,2026-09-14,P4 - Routine,Conflict Flagged
BLK-00249,TSK-00249,COR-054,Engineering,240,2026-09-11,P4 - Routine,Approved
BLK-00250,TSK-00250,COR-054,Signal & Telecom,300,2026-09-20,P4 - Routine,Conflict Flagged
BLK-00251,TSK-00251,COR-091,Electrical,300,2026-09-14,P4 - Routine,Rejected
BLK-00252,TSK-00252,COR-074,Engineering,360,2026-09-24,P3 - Medium,Pending
BLK-00253,TSK-00253,COR-060,Electrical,360,2026-09-20,P3 - Medium,Pending
BLK-00254,TSK-00254,COR-018,Engineering,180,2026-09-16,P4 - Routine,Conflict Flagged
BLK-00255,TSK-00255,COR-052,Operating,240,2026-09-19,P3 - Medium,Conflict Flagged
BLK-00256,TSK-00256,COR-054,Engineering,60,2026-09-20,P4 - Routine,Approved
BLK-00257,TSK-00257,COR-015,Operating,300,2026-09-16,P4 - Routine,Conflict Flagged
BLK-00258,TSK-00258,COR-067,Electrical,240,2026-09-13,P2 - High,Conflict Flagged
BLK-00259,TSK-00259,COR-083,Engineering,180,2026-09-12,P4 - Routine,Scheduled
BLK-00260,TSK-00260,COR-065,Engineering,300,2026-09-27,P3 - Medium,Approved
BLK-00261,TSK-00261,COR-016,Electrical,240,2026-09-24,P2 - High,Pending
BLK-00262,TSK-00262,COR-084,Signal & Telecom,180,2026-09-23,P1 - Emergency,Rejected
BLK-00263,TSK-00263,COR-013,Engineering,60,2026-09-21,P2 - High,Scheduled
BLK-00264,TSK-00264,COR-064,Signal & Telecom,360,2026-09-14,P1 - Emergency,Approved
BLK-00265,TSK-00265,COR-092,Signal & Telecom,180,2026-09-28,P2 - High,Pending
BLK-00266,TSK-00266,COR-001,Operating,60,2026-09-26,P1 - Emergency,Approved
BLK-00267,TSK-00267,COR-065,Electrical,180,2026-09-28,P2 - High,Approved
BLK-00268,TSK-00268,COR-053,Signal & Telecom,60,2026-09-22,P1 - Emergency,Scheduled
BLK-00269,TSK-00269,COR-088,Electrical,120,2026-09-14,P1 - Emergency,Approved
BLK-00270,TSK-00270,COR-087,Operating,60,2026-09-20,P4 - Routine,Pending
BLK-00271,TSK-00271,COR-035,Signal & Telecom,300,2026-09-11,P3 - Medium,Rejected
BLK-00272,TSK-00272,COR-014,Operating,120,2026-09-25,P1 - Emergency,Conflict Flagged
BLK-00273,TSK-00273,COR-054,Operating,120,2026-09-23,P3 - Medium,Pending
BLK-00274,TSK-00274,COR-100,Signal & Telecom,300,2026-09-24,P1 - Emergency,Approved
BLK-00275,TSK-00275,COR-055,Engineering,360,2026-09-14,P4 - Routine,Scheduled
BLK-00276,TSK-00276,COR-077,Electrical,120,2026-09-20,P2 - High,Conflict Flagged
BLK-00277,TSK-00277,COR-067,Signal & Telecom,60,2026-09-21,P4 - Routine,Conflict Flagged
BLK-00278,TSK-00278,COR-038,Electrical,120,2026-09-26,P4 - Routine,Scheduled
BLK-00279,TSK-00279,COR-006,Signal & Telecom,240,2026-09-26,P2 - High,Scheduled
BLK-00280,TSK-00280,COR-006,Operating,180,2026-09-10,P3 - Medium,Approved
BLK-00281,TSK-00281,COR-027,Engineering,60,2026-09-16,P4 - Routine,Conflict Flagged
BLK-00282,TSK-00282,COR-005,Electrical,120,2026-09-16,P4 - Routine,Pending
BLK-00283,TSK-00283,COR-041,Operating,360,2026-09-19,P3 - Medium,Rejected
BLK-00284,TSK-00284,COR-088,Electrical,180,2026-09-23,P1 - Emergency,Approved
BLK-00285,TSK-00285,COR-070,Operating,180,2026-09-21,P3 - Medium,Scheduled
BLK-00286,TSK-00286,COR-001,Engineering,360,2026-09-09,P4 - Routine,Pending
BLK-00287,TSK-00287,COR-029,Signal & Telecom,240,2026-09-15,P1 - Emergency,Rejected
BLK-00288,TSK-00288,COR-033,Engineering,360,2026-09-12,P4 - Routine,Pending
BLK-00289,TSK-00289,COR-058,Operating,360,2026-09-18,P2 - High,Conflict Flagged
BLK-00290,TSK-00290,COR-029,Signal & Telecom,180,2026-09-23,P2 - High,Conflict Flagged
BLK-00291,TSK-00291,COR-071,Operating,120,2026-09-09,P3 - Medium,Conflict Flagged
BLK-00292,TSK-00292,COR-003,Engineering,240,2026-09-20,P1 - Emergency,Rejected
BLK-00293,TSK-00293,COR-047,Signal & Telecom,360,2026-09-26,P1 - Emergency,Conflict Flagged
BLK-00294,TSK-00294,COR-065,Electrical,300,2026-09-16,P1 - Emergency,Rejected
BLK-00295,TSK-00295,COR-046,Operating,240,2026-09-20,P1 - Emergency,Rejected
BLK-00296,TSK-00296,COR-061,Operating,60,2026-09-26,P3 - Medium,Rejected
