schedule_id,train_no,train_name,train_type,source_station_code,source_station_name,destination_station_code,destination_station_name,station_sequence,station_code,station_name,arrival_time,departure_time,distance_km,running_days,direction
SCH-00011,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,2,HWST2,Intermediate Stn 2 (HWH),20:00,22:00,73.4,Sun,UP
SCH-00012,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,3,HWST3,Intermediate Stn 3 (HWH),22:15,23:30,110.1,"Tue, Thu, Sat",UP
SCH-00013,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,4,HWST4,Intermediate Stn 4 (HWH),23:45,15:30,146.8,Sun,UP
SCH-00014,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,5,HWST5,Intermediate Stn 5 (HWH),14:30,16:45,183.6,Sun,UP
SCH-00015,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,6,HWST6,Intermediate Stn 6 (HWH),03:30,01:30,220.3,"Tue, Thu, Sat",DN
SCH-00016,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,7,HWST7,Intermediate Stn 7 (HWH),07:45,08:15,257.0,"Tue, Thu, Sat",UP
SCH-00017,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,8,HWST8,Intermediate Stn 8 (HWH),05:45,15:00,293.7,Sun,DN
SCH-00018,12951,Mumbai Rajdhani Express,Rajdhani,HWH,Howrah,KGP,Kharagpur,9,HWST9,Intermediate Stn 9 (HWH),04:00,00:15,330.4,"Tue, Thu, Sat",UP
SCH-00019,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,1,CSST1,Intermediate Stn 1 (CSMT),14:30,12:15,17.9,Sun,UP
SCH-00020,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,2,CSST2,Intermediate Stn 2 (CSMT),13:00,08:00,35.8,"Mon, Wed, Fri",UP
SCH-00021,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,3,CSST3,Intermediate Stn 3 (CSMT),05:30,07:45,53.6,Sun,UP
SCH-00022,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,4,CSST4,Intermediate Stn 4 (CSMT),05:00,02:30,71.5,Sun,DN
SCH-00023,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,5,CSST5,Intermediate Stn 5 (CSMT),11:30,03:30,89.4,"Mon, Wed, Fri",DN
SCH-00024,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,6,CSST6,Intermediate Stn 6 (CSMT),09:30,08:00,107.3,Daily,DN
SCH-00025,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,7,CSST7,Intermediate Stn 7 (CSMT),12:45,17:15,125.1,Daily,DN
SCH-00026,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,8,CSST8,Intermediate Stn 8 (CSMT),04:00,22:00,143.0,Daily,DN
SCH-00027,22436,Vande Bharat Express,Vande Bharat,CSMT,Mumbai CSMT,PUNE,Pune Jn,9,CSST9,Intermediate Stn 9 (CSMT),23:00,10:45,160.9,Sun,DN
SCH-00028,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,1,MAST1,Intermediate Stn 1 (MAS),19:15,12:15,33.1,"Mon, Wed, Fri",UP
SCH-00029,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,2,MAST2,Intermediate Stn 2 (MAS),08:30,03:30,66.2,"Mon, Wed, Fri",DN
SCH-00030,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,3,MAST3,Intermediate Stn 3 (MAS),21:45,16:45,99.3,Daily,UP
SCH-00031,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,4,MAST4,Intermediate Stn 4 (MAS),21:15,23:00,132.4,"Mon, Wed, Fri",UP
SCH-00032,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,5,MAST5,Intermediate Stn 5 (MAS),15:00,10:00,165.6,Daily,DN
SCH-00033,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,6,MAST6,Intermediate Stn 6 (MAS),07:45,04:15,198.7,Daily,DN
SCH-00034,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,7,MAST7,Intermediate Stn 7 (MAS),09:30,07:00,231.8,Sun,UP
SCH-00035,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,8,MAST8,Intermediate Stn 8 (MAS),15:00,22:30,264.9,Sun,DN
SCH-00036,12002,Bhopal Shatabdi Express,Shatabdi,MAS,Chennai Central,BZA,Vijayawada,9,MAST9,Intermediate Stn 9 (MAS),16:30,01:30,298.0,"Tue, Thu, Sat",DN
SCH-00037,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,1,SBST1,Intermediate Stn 1 (SBC),03:45,00:30,17.7,Daily,DN
SCH-00038,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,2,SBST2,Intermediate Stn 2 (SBC),06:30,23:45,35.5,Sun,DN
SCH-00039,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,3,SBST3,Intermediate Stn 3 (SBC),14:45,11:30,53.2,"Tue, Thu, Sat",DN
SCH-00040,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,4,SBST4,Intermediate Stn 4 (SBC),18:15,11:15,71.0,"Mon, Wed, Fri",DN
SCH-00041,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,5,SBST5,Intermediate Stn 5 (SBC),23:45,08:15,88.7,"Mon, Wed, Fri",UP
SCH-00042,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,6,SBST6,Intermediate Stn 6 (SBC),06:15,19:00,106.5,"Tue, Thu, Sat",DN
SCH-00043,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,7,SBST7,Intermediate Stn 7 (SBC),16:15,14:30,124.2,"Mon, Wed, Fri",DN
SCH-00044,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,8,SBST8,Intermediate Stn 8 (SBC),12:15,02:30,142.0,"Mon, Wed, Fri",UP
SCH-00045,12626,Kerala Superfast Express,Superfast,SBC,Bengaluru City,MYS,Mysuru Jn,9,SBST9,Intermediate Stn 9 (SBC),08:30,08:45,159.7,Sun,UP
SCH-00046,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,1,SCST1,Intermediate Stn 1 (SC),13:15,13:00,43.7,Daily,DN
SCH-00047,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,2,SCST2,Intermediate Stn 2 (SC),00:15,08:30,87.5,"Tue, Thu, Sat",DN
SCH-00048,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,3,SCST3,Intermediate Stn 3 (SC),20:00,09:30,131.2,Sun,DN
SCH-00049,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,4,SCST4,Intermediate Stn 4 (SC),18:45,01:30,174.9,"Tue, Thu, Sat",UP
SCH-00050,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,5,SCST5,Intermediate Stn 5 (SC),19:15,23:30,218.7,"Mon, Wed, Fri",UP
SCH-00051,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,6,SCST6,Intermediate Stn 6 (SC),08:30,17:00,262.4,Daily,UP
SCH-00052,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,7,SCST7,Intermediate Stn 7 (SC),01:15,07:15,306.1,Sun,DN
SCH-00053,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,8,SCST8,Intermediate Stn 8 (SC),05:15,07:45,349.9,Daily,UP
SCH-00054,12860,Gitanjali Express,Express,SC,Secunderabad,KZJ,Kazipet Jn,9,SCST9,Intermediate Stn 9 (SC),03:00,19:45,393.6,Daily,DN
SCH-00055,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,1,PRST1,Intermediate Stn 1 (PRYJ),12:00,04:00,48.9,Sun,UP
SCH-00056,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,2,PRST2,Intermediate Stn 2 (PRYJ),23:00,04:00,97.8,"Mon, Wed, Fri",DN
SCH-00057,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,3,PRST3,Intermediate Stn 3 (PRYJ),00:45,06:45,146.7,"Tue, Thu, Sat",DN
SCH-00058,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,4,PRST4,Intermediate Stn 4 (PRYJ),22:30,22:15,195.6,Daily,DN
SCH-00059,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,5,PRST5,Intermediate Stn 5 (PRYJ),08:30,23:30,244.5,"Tue, Thu, Sat",UP
SCH-00060,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,6,PRST6,Intermediate Stn 6 (PRYJ),22:15,01:30,293.4,Sun,UP
SCH-00061,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,7,PRST7,Intermediate Stn 7 (PRYJ),04:00,11:15,342.3,"Tue, Thu, Sat",UP
SCH-00062,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,8,PRST8,Intermediate Stn 8 (PRYJ),22:30,18:45,391.2,"Tue, Thu, Sat",DN
SCH-00063,54321,Container Goods Rake Fast,Goods / Freight,PRYJ,Prayagraj Jn,DDU,Pt. DD Upadhyaya Jn,9,PRST9,Intermediate Stn 9 (PRYJ),00:30,00:00,440.1,Daily,UP
SCH-00064,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,1,LKST1,Intermediate Stn 1 (LKO),18:00,03:30,37.9,Daily,DN
SCH-00065,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,2,LKST2,Intermediate Stn 2 (LKO),10:00,19:30,75.7,"Mon, Wed, Fri",DN
SCH-00066,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,3,LKST3,Intermediate Stn 3 (LKO),01:30,04:00,113.6,Daily,DN
SCH-00067,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,4,LKST4,Intermediate Stn 4 (LKO),17:15,22:15,151.4,Daily,DN
SCH-00068,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,5,LKST5,Intermediate Stn 5 (LKO),22:00,13:00,189.3,"Mon, Wed, Fri",UP
SCH-00069,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,6,LKST6,Intermediate Stn 6 (LKO),12:45,04:15,227.1,Sun,UP
SCH-00070,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,7,LKST7,Intermediate Stn 7 (LKO),13:00,12:15,265.0,Daily,DN
SCH-00071,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,8,LKST8,Intermediate Stn 8 (LKO),15:45,10:30,302.8,Daily,DN
SCH-00072,58901,Coal Rake Super Heavy,Goods / Freight,LKO,Lucknow Charbagh,BE,Bareilly Jn,9,LKST9,Intermediate Stn 9 (LKO),22:30,04:30,340.7,"Mon, Wed, Fri",DN
SCH-00073,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,1,ADST1,Intermediate Stn 1 (ADI),07:30,11:15,24.5,"Tue, Thu, Sat",UP
SCH-00074,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,2,ADST2,Intermediate Stn 2 (ADI),14:15,13:45,49.0,Sun,UP
SCH-00075,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,3,ADST3,Intermediate Stn 3 (ADI),12:15,06:00,73.5,"Mon, Wed, Fri",UP
SCH-00076,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,4,ADST4,Intermediate Stn 4 (ADI),11:00,00:30,98.0,Sun,DN
SCH-00077,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,5,ADST5,Intermediate Stn 5 (ADI),12:15,01:15,122.6,Daily,DN
SCH-00078,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,6,ADST6,Intermediate Stn 6 (ADI),02:30,14:00,147.1,"Tue, Thu, Sat",UP
SCH-00079,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,7,ADST7,Intermediate Stn 7 (ADI),21:30,13:15,171.6,Sun,UP
SCH-00080,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,8,ADST8,Intermediate Stn 8 (ADI),14:15,16:15,196.1,Sun,DN
SCH-00081,63201,MEMU Passenger Local,MEMU / Passenger,ADI,Ahmedabad Jn,BRC,Vadodara Jn,9,ADST9,Intermediate Stn 9 (ADI),20:45,18:45,220.6,"Mon, Wed, Fri",DN
SCH-00082,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,1,NGST1,Intermediate Stn 1 (NGP),06:00,12:15,36.4,"Tue, Thu, Sat",UP
SCH-00083,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,2,NGST2,Intermediate Stn 2 (NGP),07:45,22:30,72.9,"Mon, Wed, Fri",DN
SCH-00084,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,3,NGST3,Intermediate Stn 3 (NGP),00:30,02:15,109.3,Daily,DN
SCH-00085,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,4,NGST4,Intermediate Stn 4 (NGP),06:30,20:15,145.8,Daily,UP
SCH-00086,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,5,NGST5,Intermediate Stn 5 (NGP),21:45,23:30,182.2,"Tue, Thu, Sat",DN
SCH-00087,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,6,NGST6,Intermediate Stn 6 (NGP),06:15,19:30,218.7,Sun,UP
SCH-00088,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,7,NGST7,Intermediate Stn 7 (NGP),17:30,14:00,255.1,"Mon, Wed, Fri",UP
SCH-00089,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,8,NGST8,Intermediate Stn 8 (NGP),03:45,12:30,291.6,"Tue, Thu, Sat",UP
SCH-00090,12301,Howrah Rajdhani Express,Rajdhani,NGP,Nagpur Jn,BPQ,Balharshah,9,NGST9,Intermediate Stn 9 (NGP),04:45,22:00,328.0,Sun,DN
SCH-00091,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,1,NDST1,Intermediate Stn 1 (NDLS),22:45,10:30,24.5,"Mon, Wed, Fri",DN
SCH-00092,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,2,NDST2,Intermediate Stn 2 (NDLS),02:00,06:30,49.0,"Tue, Thu, Sat",DN
SCH-00093,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,3,NDST3,Intermediate Stn 3 (NDLS),15:15,23:45,73.5,Sun,DN
SCH-00094,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,4,NDST4,Intermediate Stn 4 (NDLS),19:45,23:15,98.0,"Mon, Wed, Fri",UP
SCH-00095,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,5,NDST5,Intermediate Stn 5 (NDLS),17:30,05:00,122.4,Daily,UP
SCH-00096,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,6,NDST6,Intermediate Stn 6 (NDLS),15:00,20:15,146.9,Sun,UP
SCH-00097,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,7,NDST7,Intermediate Stn 7 (NDLS),02:00,19:00,171.4,Sun,DN
SCH-00098,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,8,NDST8,Intermediate Stn 8 (NDLS),07:15,22:00,195.9,"Tue, Thu, Sat",UP
SCH-00099,12951,Mumbai Rajdhani Express,Rajdhani,NDLS,New Delhi,CNB,Kanpur Central,9,NDST9,Intermediate Stn 9 (NDLS),01:30,00:15,220.4,Sun,UP
SCH-00100,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,1,HWST1,Intermediate Stn 1 (HWH),12:45,19:45,42.0,Daily,DN
SCH-00101,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,2,HWST2,Intermediate Stn 2 (HWH),03:15,09:15,84.0,"Tue, Thu, Sat",DN
SCH-00102,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,3,HWST3,Intermediate Stn 3 (HWH),04:00,17:30,126.0,Sun,DN
SCH-00103,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,4,HWST4,Intermediate Stn 4 (HWH),15:00,20:30,168.0,Daily,UP
SCH-00104,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,5,HWST5,Intermediate Stn 5 (HWH),14:45,16:00,209.9,"Mon, Wed, Fri",DN
SCH-00105,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,6,HWST6,Intermediate Stn 6 (HWH),19:00,06:00,251.9,"Tue, Thu, Sat",UP
SCH-00106,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,7,HWST7,Intermediate Stn 7 (HWH),08:45,08:45,293.9,"Mon, Wed, Fri",DN
SCH-00107,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,8,HWST8,Intermediate Stn 8 (HWH),06:15,15:45,335.9,Sun,DN
SCH-00108,22436,Vande Bharat Express,Vande Bharat,HWH,Howrah,KGP,Kharagpur,9,HWST9,Intermediate Stn 9 (HWH),07:00,13:30,377.9,"Tue, Thu, Sat",UP
SCH-00109,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,1,CSST1,Intermediate Stn 1 (CSMT),10:45,13:45,17.6,"Mon, Wed, Fri",UP
SCH-00110,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,2,CSST2,Intermediate Stn 2 (CSMT),20:30,14:30,35.3,Daily,UP
SCH-00111,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,3,CSST3,Intermediate Stn 3 (CSMT),10:00,14:45,52.9,Sun,UP
SCH-00112,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,4,CSST4,Intermediate Stn 4 (CSMT),23:00,16:30,70.5,Sun,UP
SCH-00113,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,5,CSST5,Intermediate Stn 5 (CSMT),21:00,11:30,88.2,"Mon, Wed, Fri",UP
SCH-00114,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,6,CSST6,Intermediate Stn 6 (CSMT),03:30,13:15,105.8,Sun,DN
SCH-00115,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,7,CSST7,Intermediate Stn 7 (CSMT),18:45,08:30,123.4,Daily,UP
SCH-00116,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,8,CSST8,Intermediate Stn 8 (CSMT),23:30,15:30,141.1,"Mon, Wed, Fri",DN
SCH-00117,12002,Bhopal Shatabdi Express,Shatabdi,CSMT,Mumbai CSMT,PUNE,Pune Jn,9,CSST9,Intermediate Stn 9 (CSMT),10:15,16:00,158.7,"Tue, Thu, Sat",UP
SCH-00118,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,1,MAST1,Intermediate Stn 1 (MAS),10:00,14:30,19.0,"Tue, Thu, Sat",DN
SCH-00119,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,2,MAST2,Intermediate Stn 2 (MAS),20:00,09:00,38.1,Sun,DN
SCH-00120,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,3,MAST3,Intermediate Stn 3 (MAS),03:15,19:00,57.1,Daily,UP
SCH-00121,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,4,MAST4,Intermediate Stn 4 (MAS),10:45,20:30,76.1,"Mon, Wed, Fri",UP
SCH-00122,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,5,MAST5,Intermediate Stn 5 (MAS),01:30,18:15,95.2,"Mon, Wed, Fri",UP
SCH-00123,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,6,MAST6,Intermediate Stn 6 (MAS),14:00,07:30,114.2,"Mon, Wed, Fri",DN
SCH-00124,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,7,MAST7,Intermediate Stn 7 (MAS),08:30,07:00,133.2,"Tue, Thu, Sat",DN
SCH-00125,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,8,MAST8,Intermediate Stn 8 (MAS),22:45,15:30,152.3,Sun,DN
SCH-00126,12626,Kerala Superfast Express,Superfast,MAS,Chennai Central,BZA,Vijayawada,9,MAST9,Intermediate Stn 9 (MAS),15:15,22:00,171.3,"Tue, Thu, Sat",DN
SCH-00127,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,1,SBST1,Intermediate Stn 1 (SBC),11:00,22:15,49.9,"Mon, Wed, Fri",UP
SCH-00128,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,2,SBST2,Intermediate Stn 2 (SBC),05:15,13:45,99.8,Daily,DN
SCH-00129,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,3,SBST3,Intermediate Stn 3 (SBC),07:15,03:15,149.7,"Tue, Thu, Sat",DN
SCH-00130,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,4,SBST4,Intermediate Stn 4 (SBC),03:30,20:45,199.6,"Tue, Thu, Sat",DN
SCH-00131,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,5,SBST5,Intermediate Stn 5 (SBC),21:15,21:00,249.4,Sun,DN
SCH-00132,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,6,SBST6,Intermediate Stn 6 (SBC),16:00,13:30,299.3,Sun,DN
SCH-00133,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,7,SBST7,Intermediate Stn 7 (SBC),23:30,06:15,349.2,"Mon, Wed, Fri",DN
SCH-00134,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,8,SBST8,Intermediate Stn 8 (SBC),03:45,09:45,399.1,"Mon, Wed, Fri",DN
SCH-00135,12860,Gitanjali Express,Express,SBC,Bengaluru City,MYS,Mysuru Jn,9,SBST9,Intermediate Stn 9 (SBC),17:45,17:15,449.0,Sun,UP
SCH-00136,54321,Container Goods Rake Fast,Goods / Freight,SC,Secunderabad,KZJ,Kazipet Jn,1,SCST1,Intermediate Stn 1 (SC),01:00,22:45,34.7,Sun,DN
SCH-00137,54321,Container Goods Rake Fast,Goods / Freight,SC,Secunderabad,KZJ,Kazipet Jn,2,SCST2,Intermediate Stn 2 (SC),04:00,18:00,69.4,"Tue, Thu, Sat",DN
SCH-00138,54321,Container Goods Rake Fast,Goods / Freight,SC,Secunderabad,KZJ,Kazipet Jn,3,SCST3,Intermediate Stn 3 (SC),08:00,02:30,104.1,Daily,DN
